ApprovedSymbol	Type	uniprot_gn_id	ensembl_gene_id	hgnc_symbol	gene_biotype	description	mean_tpm
ABCA1	receptor	O95477	ENSG00000165029	ABCA1	protein_coding	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	6.27038706202809
ACKR2	receptor	O00590	ENSG00000144648	ACKR2	protein_coding	atypical chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1565]	0.779492164439374
ACKR3	receptor	P25106	ENSG00000144476	ACKR3	protein_coding	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	12.535201146067417
ACKR4	receptor	Q9NPB9	ENSG00000129048	ACKR4	protein_coding	atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]	1.9356539325842697
ACVR1	receptor	Q04771	ENSG00000115170	ACVR1	protein_coding	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	42.61167493710062
ACVR1B	receptor	P36896	ENSG00000135503	ACVR1B	protein_coding	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	28.224420680898877
ACVR1C	receptor	Q8NER5	ENSG00000123612	ACVR1C	protein_coding	activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]	6.8535676373752805
ACVR2A	receptor	P27037	ENSG00000121989	ACVR2A	protein_coding	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	6.847262592153039
ACVR2B	receptor	Q13705	ENSG00000114739	ACVR2B	protein_coding	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]	1.6444038526966291
ACVRL1	receptor	P37023	ENSG00000139567	ACVRL1	protein_coding	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	6.016341458007941
ADCY1	receptor	Q08828	ENSG00000164742	ADCY1	protein_coding	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	7.408075280466442
ADCY7	receptor	P51828	ENSG00000121281	ADCY7	protein_coding	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	2.033440572957986
ADCY8	receptor	P40145	ENSG00000155897	ADCY8	protein_coding	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	0.024680983146067415
ADCY9	receptor	O60503	ENSG00000162104	ADCY9	protein_coding	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	9.301019051685394
ADCYAP1R1	receptor	P41586	ENSG00000078549	ADCYAP1R1	protein_coding	ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]	0.6151352084241156
ADIPOR1	receptor	Q96A54	ENSG00000159346	ADIPOR1	protein_coding	adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]	105.64473386231296
ADIPOR2	receptor	Q86V24	ENSG00000285070	ADIPOR2	protein_coding	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	17.398161798876405
ADIPOR2	receptor	Q86V24	ENSG00000006831	ADIPOR2	protein_coding	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	17.398161798876405
ADORA1	receptor	P30542	ENSG00000163485	ADORA1	protein_coding	adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]	3.5838882394992386
ADORA2B	receptor	P29275	ENSG00000170425	ADORA2B	protein_coding	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	0.8945338764044943
ADRA2A	receptor	P08913	ENSG00000150594	ADRA2A	protein_coding	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	3.383134561797753
ADRA2B	receptor	P18089	ENSG00000274286	ADRA2B	protein_coding	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]	0.08686057303370787
ADRB2	receptor	P07550	ENSG00000169252	ADRB2	protein_coding	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	NA
ADRB3	receptor	P13945	ENSG00000188778	ADRB3	protein_coding	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	0.013432167415730337
AGR2	receptor	O95994	ENSG00000106541	AGR2	protein_coding	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	63.98231575727091
AGTR1	receptor	P30556	ENSG00000144891	AGTR1	protein_coding	angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	0.32874575564515957
AGTR2	receptor	P50052	ENSG00000180772	AGTR2	protein_coding	angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]	0.007699924719101124
ALK	receptor	Q9UM73	ENSG00000171094	ALK	protein_coding	ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]	0.5390659617200216
AMFR	receptor	Q9UKV5	ENSG00000159461	AMFR	protein_coding	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	68.03481979636685
