Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
A0A024RBG1	A0A024RBG1	NUDT4B	12155.5	11356	12555.2	18520	14185.9
A0A075B6H7	A0A075B6H7	IGKV3-7	8508.6	8508.6			18922.6
A0A075B6K5	A0A075B6K5	IGLV3-9	33.2	33.2		230	559.9
A0A0B4J2D5	A0A0B4J2D5	GATD3B	69826.1	58420.6	75528.9	55427.7	85422.4
A0A0B4J2F0	A0A0B4J2F0	PIGBOS1	5100.1	3858.7	5438.6	9958	5437
A0A0U1RRI6	A0A0U1RRI6	CENPVL3	84709.2	66470.9	93828.3	6710.2	16935.9
A0A1B0GWB2	A0A1B0GWB2	PRRT1B	8509.4	12556.2	7497.7	5742	8178.8
A0AV02	A0AV02	SLC12A8				2332.5	1600
A0AV96	A0AV96	RBM47	5738	6414.3	5399.9	12364	10945.7
A0AVF1	A0AVF1	TTC26	29958.6	27910.8	30982.6	15987.7	33700.5
A0AVI4	A0AVI4	TMEM129	301.2	263.9	322.5		320.9
A0AVT1	A0AVT1	UBA6	37633.5	37282.2	37809.1	30327.4	38128.3
A0FGR8	A0FGR8	ESYT2	24188.7	26291.5	23137.3	26425.8	24712.6
A0JNW5	A0JNW5	UHRF1BP1L	3231.4	3501.6	3096.3	4278.7	3383.9
A0MZ66	A0MZ66	SHTN1	30727.6	35650.6	28266.2	48138.4	40131.1
A0PJW6	A0PJW6	TMEM223	5738.5	5929	5643.3	3526.6	6046.6
A0PJW8	A0PJW8	DAPL1					3601.1
A1A4S6	A1A4S6	ARHGAP10	83390.7	86826.8	81672.7	22681.1	105762.4
A1A5D9	A1A5D9	BICDL2	8224.4		8224.4		5204.2
A1IGU5	A1IGU5	ARHGEF37	1421.8		1421.8	7164.8	3513.8
A1L0T0	A1L0T0	ILVBL	30671.8	29309.9	31352.8	90074.7	34503.3
A1L390	A1L390	PLEKHG3	11729.1	13102.4	11042.4	10908.1	12403.3
A1X283	A1X283	SH3PXD2B	28854.8	29958.2	28303.2	7770.8	10296.2
A1XBS5	A1XBS5	FAM92A	951.3	955.2	949	780.2	791.2
A1Z1Q3	A1Z1Q3	MACROD2	3582.1	3901	3422.6	6136.6	4703.8
A2RRP1	A2RRP1	NBAS	12788.7	12334.8	13015.7	18880	15112.1
A2RTX5	A2RTX5	TARS3	5015.6	4519.4	5263.7	12668.4	6171.4
A2RU67	A2RU67	FAM234B	3293.9	4568.2	2656.7	8247.9	5083.1
A2RUC4	A2RUC4	TYW5	5002.3	4753.9	5499.1	5571.3	4850.9
A3KMH1	A3KMH1	VWA8	16523.8	15513.4	17029	24937.6	20195.6
A3KN83	A3KN83	SBNO1	3991.1	4182.2	3895.5	6646.7	4429.5
A4D126	A4D126	CRPPA	3354.9	2661.6	3733	5437.4	4468.9
A4D161	A4D161	FAM221A	900	974.2	853.7		942.5
A4D1B5	A4D1B5	GSAP					1413.1
A4D1E9	A4D1E9	GTPBP10	5727.5	6082.1	5534	6426.9	8706.8
A4D1P6	A4D1P6	WDR91	4238.5	3317.6	4698.9	13158.5	5777.5
A4D1S5	A4D1S5	RAB19	8309.1	10448.6	7239.4	6425.4	10622.8
A4D1U4	A4D1U4	DENND11	3907.4	3804.6	3958.7	10500.5	5378.4
A4D2B0	A4D2B0	MBLAC1	3185.4	2946.2	3291.7	3803.4	3223.4
A4FU01	A4FU01	MTMR11	9634.2	9845	9581.5		22004.2
A5D8V6	A5D8V6	VPS37C	8924.6	6602.8	9892.1	9206.1	8465.7
A5PKW4	A5PKW4	PSD	740.9	1194.2	514.3	551	582.4
A5PLN9	A5PLN9	TRAPPC13	10696.2	10646.5	10721	11990.4	12673.7
A5YKK6	A5YKK6	CNOT1	30788.7	31519.9	30423.2	28161.8	23262.2
A6NCC3	A6NCC3	GOLGA8O				3885.1	2748.2
A6NCE7	A6NCE7	MAP1LC3B2	114674.5	126242.9	108890.4	90918	102346.3
A6NCS6	A6NCS6	C2orf72	2419	2220.4	2617.6	2228.9	2408.1
A6ND36	A6ND36	FAM83G	7196.5		7196.5	2830.3	4382.8
A6NDB9	A6NDB9	PALM3	6915.3	6915.3		7934.4	8948.2
A6NDG6	A6NDG6	PGP	32972.7	31562.2	33678	21135.7	20326.6
A6NDU8	A6NDU8	C5orf51	3066.5	2540.8	3358.5	1279.9	2439.4
A6NE02	A6NE02	BTBD17	12688.6	15674.4	11195.8	1118.4	813.7
A6NED2	A6NED2	RCCD1	3978.3	4064.1	3935.5	4031.6	3136.9
A6NEL2	A6NEL2	SOWAHB	2793.8	3828.6	2276.4		2902.2
A6NFI3	A6NFI3	ZNF316	6399.6	6085.6	6556.6	3892.7	3672.5
A6NFQ2	A6NFQ2	TCAF2	15715.1	15715.1		28252.7	39603.4
A6NGB9	A6NGB9	WIPF3	197.2	139.6	216.4	264.5	196.9
A6NHL2	A6NHL2	TUBAL3	612.7	617.4	609.4		463.6
A6NHQ2	A6NHQ2	FBLL1	86349.4	98657	80195.6	110599.1	86526.6
A6NHR9	A6NHR9	SMCHD1	11493.3	10191.2	12144.4	12239.2	8219.5
A6NHX0	A6NHX0	CASTOR2	9042.6	10762.3	8182.8	4777.9	7854.5
A6NI28	A6NI28	ARHGAP42	430.4		430.4		563.1
A6NIH7	A6NIH7	UNC119B	26904.3	27285.7	26713.6	93296	23981.3
