Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
A0A024RBG1,A0A024RBG1,,NUDT4B,,7330.47
A0A0B4J2D5,A0A0B4J2D5,,GATD3B,,53390.6
A0A0B4J2F0,A0A0B4J2F0,,PIGBOS1,,497.521
A0A0U1RRI6,A0A0U1RRI6,,CENPVL3,,6291.15
A0A1B0GWB2,A0A1B0GWB2,,PRRT1B,,
A0AV96,A0AV96,,RBM47,,4591.26
A0AVF1,A0AVF1,,TTC26,,1048.04
A0AVI4,A0AVI4,,TMEM129,,1831.77
A0AVT1,A0AVT1,,UBA6,,15159.7
A0FGR8,A0FGR8,,ESYT2,,13439.2
A0FGR9,A0FGR9,,ESYT3,,776.59
A0JNW5,A0JNW5,,UHRF1BP1L,,738.314
A0MZ66,A0MZ66,,SHTN1,,23834.6
A0PJW6,A0PJW6,,TMEM223,,
A1IGU5,A1IGU5,,ARHGEF37,,2069.96
A1L0T0,A1L0T0,,ILVBL,,17141.1
A1L390,A1L390,,PLEKHG3,,5705.57
A1X283,A1X283,,SH3PXD2B,,4129.03
A1XBS5,A1XBS5,,FAM92A,,99.5372
A1Z1Q3,A1Z1Q3,,MACROD2,,1833.85
A2RRP1,A2RRP1,,NBAS,,9467.15
A2RTX5,A2RTX5,,TARS3,,1489.59
A2RU67,A2RU67,,FAM234B,,2074.77
A3KMH1,A3KMH1,,VWA8,,8567.25
A3KN83,A3KN83,,SBNO1,,2817.35
A4D126,A4D126,,CRPPA,,2211.58
A4D1E9,A4D1E9,,GTPBP10,,3300.09
A4D1P6,A4D1P6,,WDR91,,5129.94
A4D1S5,A4D1S5,,RAB19,,2538.91
A4D1U4,A4D1U4,,DENND11,,2403.56
A4D2B0,A4D2B0,,MBLAC1,,2175.59
A4FU01,A4FU01,,MTMR11,,5906.2
A5D8V6,A5D8V6,,VPS37C,,
A5PLN9,A5PLN9,,TRAPPC13,,4233.69
A5YKK6,A5YKK6,,CNOT1,,10505.6
A6NCC3,A6NCC3,,GOLGA8O,,627.005
A6NCE7,A6NCE7,,MAP1LC3B2,,43071.3
A6NCS6,A6NCS6,,C2orf72,,1607.28
A6NDB9,A6NDB9,,PALM3,,6458.3
A6NDG6,A6NDG6,,PGP,,6797.89
A6NDU8,A6NDU8,,C5orf51,,
A6NE02,A6NE02,,BTBD17,,644.65
A6NED2,A6NED2,,RCCD1,,2611.1
A6NFI3,A6NFI3,,ZNF316,,4152.93
A6NFQ2,A6NFQ2,,TCAF2,,9979.81
A6NGB9,A6NGB9,,WIPF3,,371.168
A6NHQ2,A6NHQ2,,FBLL1,,71367.9
A6NHR9,A6NHR9,,SMCHD1,,5599.1
A6NHX0,A6NHX0,,CASTOR2,,2411.55
A6NI28,A6NI28,,ARHGAP42,,
A6NIH7,A6NIH7,,UNC119B,,11995.3
A6NJ78,A6NJ78,,METTL15,,1925.4
A6NK58,A6NK58,,LIPT2,,2515.06
A6NKD9,A6NKD9,,CCDC85C,,145.934
A6NKT7,A6NKT7,,RGPD3,,7455.8
A6NKW6,A6NKW6,,SHISAL2B,,3583.43
A6NLJ0,A6NLJ0,,C2CD4B,,
A6NM03,A6NM03,,OR2AG2,,21280.8
A6NM10,A6NM10,,AQP12B,,1902.83
A6NMZ7,A6NMZ7,,COL6A6,,1629.76
A6QL63,A6QL63,,BTBD11,,
A6ZKI3,A6ZKI3,,RTL8C,,4027.41
A7E2V4,A7E2V4,,ZSWIM8,,5063.62
A7KAX9,A7KAX9,,ARHGAP32,,2212.11
A7MBM2,A7MBM2,,DISP2,,665.952
A8CG34,A8CG34,,POM121C,,4552.83
A8K2U0,A8K2U0,,A2ML1,,990.537
