interaction	ligand	receptor	ligand_rank	receptor_rank	interaction_rank
TGFB1-EGFR	TGFB1	EGFR	0.9572446555819477	0.9798850574712644	1
FGF21-FGFR1	FGF21	FGFR1	0.9596199524940617	0.9511494252873564	0.9993622448979592
FGF21-FGFR4	FGF21	FGFR4	0.9596199524940617	0.9367816091954023	0.9987244897959183
BMP5-ACVR2B	BMP5	ACVR2B	0.9691211401425178	0.9080459770114943	0.9980867346938775
FGF21-FGFR3	FGF21	FGFR3	0.9596199524940617	0.9166666666666666	0.9974489795918368
TGFB1-TGFBR1	TGFB1	TGFBR1	0.9572446555819477	0.9109195402298851	0.9968112244897959
FGF8-FGFR1	FGF8	FGFR1	0.9073634204275535	0.9511494252873564	0.9961734693877551
FGF8-FGFR4	FGF8	FGFR4	0.9073634204275535	0.9367816091954023	0.9955357142857143
WNT7A-FZD3	WNT7A	FZD3	0.8693586698337292	0.9712643678160919	0.9948979591836735
WNT11-FZD3	WNT11	FZD3	0.8669833729216152	0.9712643678160919	0.9942602040816326
INHBC-ACVR1B	INHBC	ACVR1B	0.9144893111638955	0.9137931034482759	0.9936224489795918
NRTN-RET	NRTN	RET	0.8978622327790974	0.9281609195402298	0.9929846938775511
FGF8-FGFR3	FGF8	FGFR3	0.9073634204275535	0.9166666666666666	0.9923469387755102
GH1-GHR	GH1	GHR	0.9239904988123515	0.8994252873563219	0.9910714285714286
GH2-GHR	GH2	GHR	0.9239904988123515	0.8994252873563219	0.9910714285714286
INHBC-ACVR2B	INHBC	ACVR2B	0.9144893111638955	0.9080459770114943	0.9904336734693877
RSPO1-LGR4	RSPO1	LGR4	0.9406175771971497	0.8793103448275862	0.9897959183673469
BMP5-ACVR2A	BMP5	ACVR2A	0.9691211401425178	0.8505747126436781	0.9891581632653061
LIF-IL6ST	LIF	IL6ST	0.9809976247030879	0.8304597701149425	0.9885204081632653
INS-IGF1R	INS	IGF1R	0.833729216152019	0.9770114942528736	0.9878826530612245
GH1-EPOR	GH1	EPOR	0.9239904988123515	0.8793103448275862	0.9872448979591837
NRG2-ERBB3	NRG2	ERBB3	0.8978622327790974	0.9022988505747126	0.9866071428571429
IL24-NOTCH2	IL24	NOTCH2	0.9904988123515439	0.8132183908045977	0.985969387755102
WNT7A-FZD1	WNT7A	FZD1	0.8693586698337292	0.9252873563218391	0.9853316326530612
WNT11-FZD1	WNT11	FZD1	0.8669833729216152	0.9252873563218391	0.9846938775510204
TGFB1-TGFBR2	TGFB1	TGFBR2	0.9572446555819477	0.8362068965517241	0.9840561224489796
INS-INSR	INS	INSR	0.833729216152019	0.9482758620689655	0.9834183673469388
HGF-MET	HGF	MET	0.8432304038004751	0.9339080459770115	0.982780612244898
EREG-EGFR	EREG	EGFR	0.8028503562945368	0.9798850574712644	0.9821428571428571
ZP3-EGFR	ZP3	EGFR	0.8004750593824228	0.9798850574712644	0.9815051020408163
FGF19-FGFR1	FGF19	FGFR1	0.8242280285035629	0.9511494252873564	0.9808673469387755
CXCL8-ACKR1	CXCL8	ACKR1	0.9524940617577197	0.8189655172413793	0.9802295918367347
INHBC-ACVR2A	INHBC	ACVR2A	0.9144893111638955	0.8505747126436781	0.9795918367346939
FGF21-KLB	FGF21	KLB	0.9596199524940617	0.8103448275862069	0.9789540816326531
FGF22-FGFR1	FGF22	FGFR1	0.8171021377672208	0.9511494252873564	0.9783163265306123
FGF19-FGFR4	FGF19	FGFR4	0.8242280285035629	0.9367816091954023	0.9776785714285714
GDNF-RET	GDNF	RET	0.831353919239905	0.9281609195402298	0.9770408163265306
BMP5-BMPR2	BMP5	BMPR2	0.9691211401425178	0.7959770114942529	0.9764030612244898
CCL17-ACKR1	CCL17	ACKR1	0.9406175771971497	0.8189655172413793	0.9757653061224489
ADIPOQ-ADIPOR2	ADIPOQ	ADIPOR2	0.9881235154394299	0.7758620689655172	0.9751275510204082
RSPO2-LGR4	RSPO2	LGR4	0.8693586698337292	0.8793103448275862	0.9744897959183674
NRTN-GFRA3	NRTN	GFRA3	0.8978622327790974	0.8448275862068966	0.9738520408163265
NPY-NPY1R	NPY	NPY1R	0.997624703087886	0.7586206896551724	0.9732142857142857
FGF19-FGFR3	FGF19	FGFR3	0.8242280285035629	0.9166666666666666	0.9725765306122449
POMC-OPRK1	POMC	OPRK1	0.9168646080760094	0.8218390804597702	0.9719387755102041
BMP5-BMPR1A	BMP5	BMPR1A	0.9691211401425178	0.7701149425287356	0.9713010204081632
PPY-NPY1R	PPY	NPY1R	0.9714964370546318	0.7586206896551724	0.9706632653061225
MSTN-ACVR2B	MSTN	ACVR2B	0.8099762470308789	0.9080459770114943	0.9700255102040817
TGFB1-TGFBR3	TGFB1	TGFBR3	0.9572446555819477	0.7672413793103449	0.9693877551020408
IL10-IFNLR1	IL10	IFNLR1	0.9168646080760094	0.7988505747126436	0.96875
TNF-NOTCH1	TNF	NOTCH1	0.8693586698337292	0.8390804597701149	0.9681122448979592
ADCYAP1-VIPR1	ADCYAP1	VIPR1	0.9833729216152018	0.7413793103448276	0.9674744897959183
NPPB-NPR2	NPPB	NPR2	0.9738717339667459	0.7442528735632183	0.9668367346938775
EREG-ERBB3	EREG	ERBB3	0.8028503562945368	0.9022988505747126	0.9661989795918368
NRG2-ERBB2	NRG2	ERBB2	0.8978622327790974	0.8045977011494253	0.9655612244897959
CALCB-VIPR1	CALCB	VIPR1	0.9548693586698337	0.7413793103448276	0.9649234693877551
