interaction_symbol	ligand	receptor	ligand_scarce_rank	ligand_abundant_rank	receptor_scarce_rank	receptor_abundant_rank	scarce_lig_abund_rec_rank	abund_lig_abund_rec_rank	abund_lig_scarce_rec_rank
IGF1-IGF1R	IGF1	IGF1R	0.31116389548693585	0.6603325415676959	0.008620689655172414	0.9770114942528736	0.662153449387492	0.8607350096711799	0.18052869116698905
WNT1-NOTCH1	WNT1	NOTCH1	0.6365795724465558	0	0.2413793103448276	0.8390804597701149	0.8884590586718246	0	0
WNT5A-FZD2	WNT5A	FZD2	0.07363420427553444	0.9477434679334917	0.3706896551724138	0.6091954022988506	0.17343649258542876	0.8104448742746615	0.7659574468085106
IL22-IL10RB	IL22	IL10RB	0.6365795724465558	0	0.5574712643678161	0.5086206896551724	0.6911669890393295	0	0
EPO-EPOR	EPO	EPOR	0.4489311163895487	0.31353919239904987	0.11494252873563218	0.8793103448275862	0.7775628626692457	0.5705996131528046	0.26047711154094133
CCL3L1-CCR5	CCL3L1	CCR5	0.5961995249406176	0.3016627078384798	0.9109195402298851	0.0603448275862069	0.14571244358478402	0.2082527401676338	0.6750483558994197
TNFSF10-TNFRSF10C	TNFSF10	TNFRSF10C	0.22565320665083136	0.9121140142517815	0.8563218390804598	0.19540229885057472	0.17150225660863957	0.4506769825918762	0.9819471308833011
IL10-IL10RA	IL10	IL10RA	0.9168646080760094	0.28978622327790976	0.34195402298850575	0.5718390804597702	0.880722114764668	0.43068987749838816	0.3842682140554481
IFNG-IFNGR1	IFNG	IFNGR1	0.6365795724465558	0	0.2959770114942529	0.7988505747126436	0.8704061895551257	0	0
IGF2-IGF2R	IGF2	IGF2R	0.011876484560570071	0.9833729216152018	0	0.9942528735632183	0.07607994842037395	0.9987105093488072	0
FLT3LG-FLT3	FLT3LG	FLT3	0.7957244655581948	0.517814726840855	0.8706896551724138	0.1724137931034483	0.41328175370728565	0.31399097356544164	0.8517085751128304
KITLG-KIT	KITLG	KIT	0.07600950118764846	0.9239904988123515	0.4166666666666667	0.5057471264367817	0.15667311411992263	0.7472598323662153	0.8001289490651193
IGF2-IGF1R	IGF2	IGF1R	0.011876484560570071	0.9833729216152018	0.008620689655172414	0.9770114942528736	0.07414571244358478	0.9974210186976145	0.18439716312056736
CXCL9-CXCR3	CXCL9	CXCR3	0.6365795724465558	0	0.7298850574712644	0.1781609195402299	0.36299161831076726	0	0
CCL5-CCR5	CCL5	CCR5	0.8456057007125891	0.342042755344418	0.9109195402298851	0.0603448275862069	0.195357833655706	0.21598968407479047	0.720180528691167
CCL8-CCR5	CCL8	CCR5	0.48931116389548696	0.18527315914489312	0.9109195402298851	0.0603448275862069	0.12572533849129594	0.195357833655706	0.521598968407479
CCL4-CCR5	CCL4	CCR5	0.48931116389548696	0.18527315914489312	0.9109195402298851	0.0603448275862069	0.12572533849129594	0.195357833655706	0.521598968407479
IL6-IL6ST	IL6	IL6ST	0.48931116389548696	0.18527315914489312	0.1925287356321839	0.8304597701149425	0.7904577691811734	0.4158607350096712	0.25918762088974856
EGF-EGFR	EGF	EGFR	0.37767220902612825	0.40617577197149646	0.16954022988505746	0.9798850574712644	0.7446808510638298	0.6860090264345583	0.3217279174725983
IL1A-IL1R1	IL1A	IL1R1	0.41092636579572445	0.3491686460807601	0.6925287356321839	0.6005747126436781	0.5886524822695035	0.49258542875564154	0.6408768536428111
WNT5A-FZD5	WNT5A	FZD5	0.07363420427553444	0.9477434679334917	0.1752873563218391	0.646551724137931	0.18117343649258544	0.8368794326241135	0.5145067698259188
LTA-TNFRSF1A	LTA	TNFRSF1A	0.5866983372921615	0.342042755344418	0.27011494252873564	0.6810344827586207	0.7833655705996132	0.521598968407479	0.37008381689232756
NRG1-ERBB2	NRG1	ERBB2	0.057007125890736345	0.9168646080760094	0.39655172413793105	0.8045977011494253	0.1773049645390071	0.9219858156028369	0.7801418439716312
