hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
NPY	0.2375296912114014	0.4251781472684085	0.9928741092636579	0.47030878859857483	0.9833729216152018	0.09501187648456057	0	1
SPP1	0.3586698337292161	0.2494061757719715	0.995249406175772	0.2826603325415677	1	0.07600950118764846	0	0.997624703087886
ANGPTL2	0.19714964370546317	0.20902612826603326	0	0.41092636579572445	0.9548693586698337	0.09026128266033254	0.9904988123515439	0.995249406175772
EDN3	0.3919239904988123	0.3087885985748218	0.9857482185273159	0.07125890736342043	0	0.0166270783847981	0.9691211401425178	0.9928741092636579
IL1RN	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9881235154394299	0.09501187648456057	0	0.9904988123515439
IL24	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9857482185273159	0.09501187648456057	0	0.9881235154394299
IL33	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9809976247030879	0.09501187648456057	0	0.9857482185273159
IL1B	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9762470308788599	0.09501187648456057	0	0.9833729216152018
VIP	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9714964370546318	0.09501187648456057	0	0.9809976247030879
CCL7	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9643705463182898	0.09501187648456057	0	0.9786223277909739
IL6	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9619952494061758	0.09501187648456057	0	0.9762470308788599
EDN2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9596199524940617	0.09501187648456057	0	0.9738717339667459
WNT7A	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9572446555819477	0.09501187648456057	0	0.9714964370546318
TSLP	0.48931116389548696	0.5938242280285035	0	0.6294536817102138	0.9786223277909739	0.09501187648456057	0	0.9691211401425178
IL20	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9501187648456056	0.09501187648456057	0	0.9667458432304038
IL17B	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9406175771971497	0.09501187648456057	0	0.9643705463182898
PIP	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9358669833729216	0.09501187648456057	0	0.9619952494061758
SAA1	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9311163895486936	0.09501187648456057	0	0.9596199524940617
TNF	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9263657957244655	0.09501187648456057	0	0.9572446555819477
C1QTNF5	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9239904988123515	0.09501187648456057	0	0.9548693586698337
CCL17	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9168646080760094	0.09501187648456057	0	0.9524940617577197
TNFSF18	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9144893111638955	0.09501187648456057	0	0.9501187648456056
IL36B	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9121140142517815	0.09501187648456057	0	0.9477434679334917
PROK1	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9097387173396675	0.09501187648456057	0	0.9453681710213777
RSPO2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9049881235154394	0.09501187648456057	0	0.9429928741092637
FGF21	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9026128266033254	0.09501187648456057	0	0.9406175771971497
GRP	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.9002375296912114	0.09501187648456057	0	0.9358669833729216
SFRP2	0.48931116389548696	0.4584323040380047	0	0.6294536817102138	0.997624703087886	0.09501187648456057	0	0.9358669833729216
SCGB3A2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8954869358669834	0.09501187648456057	0	0.9334916864608076
RSPO1	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8931116389548693	0.09501187648456057	0	0.9311163895486936
PRL	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8859857482185273	0.09501187648456057	0	0.9287410926365796
CCL21	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8836104513064132	0.09501187648456057	0	0.9263657957244655
RLN3	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8812351543942993	0.09501187648456057	0	0.9239904988123515
CXCL10	0.48931116389548696	0.5249406175771971	0	0.6294536817102138	0.9524940617577197	0.09501187648456057	0	0.9216152019002375
IL36A	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8788598574821853	0.09501187648456057	0	0.9192399049881235
SCGB1A1	0.48931116389548696	0.5249406175771971	0	0.6294536817102138	0.9477434679334917	0.09501187648456057	0	0.9168646080760094
WNT11	0.48931116389548696	0.5249406175771971	0	0.6294536817102138	0.9453681710213777	0.09501187648456057	0	0.9144893111638955
FASLG	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8717339667458432	0.09501187648456057	0	0.9121140142517815
CGB5	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8693586698337292	0.09501187648456057	0	0.9097387173396675
TSHB	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8669833729216152	0.09501187648456057	0	0.9073634204275535
GH1	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8646080760095012	0.09501187648456057	0	0.9049881235154394
IL37	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8622327790973872	0.09501187648456057	0	0.9026128266033254
CCL26	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8598574821852731	0.09501187648456057	0	0.9002375296912114
GH2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8551068883610451	0.09501187648456057	0	0.8978622327790974
CSH2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8527315914489311	0.09501187648456057	0	0.8954869358669834
ADIPOQ	0.48931116389548696	0.5249406175771971	0	0.6294536817102138	0.9192399049881235	0.09501187648456057	0	0.8907363420427553
IL1F10	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8479809976247031	0.09501187648456057	0	0.8907363420427553
CCL8	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8456057007125891	0.09501187648456057	0	0.8883610451306413
TAC4	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8432304038004751	0.09501187648456057	0	0.8859857482185273
HGF	0.48931116389548696	0.6413301662707839	0	0.5629453681710214	0.9073634204275535	0.09501187648456057	0	0.8836104513064132
CSF3	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.831353919239905	0.09501187648456057	0	0.8812351543942993
CXCL9	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.828978622327791	0.09501187648456057	0	0.8764845605700713
IL10	0.48931116389548696	0.4251781472684085	0	0.6294536817102138	0.9382422802850356	0.09501187648456057	0	0.8764845605700713
CCL22	0.4323040380047506	0.43705463182897863	0	0.6294536817102138	0.9904988123515439	0.09501187648456057	0	0.8741092636579573
IL4	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8194774346793349	0.09501187648456057	0	0.8717339667458432
CSF2	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8147268408551069	0.09501187648456057	0	0.8693586698337292
WNT16	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8099762470308789	0.09501187648456057	0	0.8669833729216152
CCL19	0.48931116389548696	0.6413301662707839	0	0.6294536817102138	0.8076009501187649	0.09501187648456057	0	0.8646080760095012
BMP5	0.20902612826603326	0.1828978622327791	0.9881235154394299	0.028503562945368172	0	0.0831353919239905	0.9881235154394299	0.8622327790973872
ANGPTL1	0.4323040380047506	0.33966745843230406	0	0.6294536817102138	0.995249406175772	0.09501187648456057	0	0.8598574821852731
DEFB1	0.4323040380047506	0.4584323040380047	0	0.5629453681710214	0.9667458432304038	0.09501187648456057	0	0.8551068883610451
