hgnc_symbol	description	ensembl_gene_ids	uniprot_gn_ids	consensus_score	islet_tpm	proteomics_human_islets
GCG	glucagon	ENSG00000115263	P01275	16	60559.67	468340.3
INS	insulin	ENSG00000254647	P01308	17	17572.13	512921.5
SST	somatostatin	ENSG00000157005	P61278	16	7794.81	88711.2
IAPP	islet amyloid polypeptide	ENSG00000121351	P10997	14	4619.41	16972.6
PPY	pancreatic polypeptide	ENSG00000108849	P01298	15	2402.08	6968.8
SPP1	secreted phosphoprotein 1	ENSG00000118785	P10451	13	2334.4	1873.6
CXCL8	C-X-C motif chemokine ligand 8	ENSG00000169429	P10145	17	365.56	2676
CCL2	C-C motif chemokine ligand 2	ENSG00000108691	P13500	18	287.36	NA
VEGFA	vascular endothelial growth factor A	ENSG00000112715	P15692	20	167.31	NA
DEFB1	defensin beta 1	ENSG00000284881, ENSG00000164825	P60022	6	142.7	NA
TNFSF10	TNF superfamily member 10	ENSG00000121858	P50591	18	103.04	3002.5
GRN	granulin precursor	ENSG00000030582	P28799	7	97.88	23223.4
ANXA1	annexin A1	ENSG00000135046	P04083	12	96.09	87805
IL11	interleukin 11	ENSG00000095752	P20809	21	91.42	NA
DLK1	delta like non-canonical Notch ligand 1	ENSG00000185559	P80370	7	71.64	NA
THBS1	thrombospondin 1	ENSG00000137801	P07996	8	66.01	28882.9
INHBA	inhibin subunit beta A	ENSG00000122641	P08476	21	64.6	NA
CXCL1	C-X-C motif chemokine ligand 1	ENSG00000163739	P09341	18	56.38	NA
ADCYAP1	adenylate cyclase activating polypeptide 1	ENSG00000141433	P18509	15	55.52	9408.4
CCN1	cellular communication network factor 1	ENSG00000142871	O00622	10	55.08	5577.3
CCL20	C-C motif chemokine ligand 20	ENSG00000115009	P78556	18	53.19	NA
CCN2	cellular communication network factor 2	ENSG00000118523	P29279	12	52.49	NA
LIF	LIF interleukin 6 family cytokine	ENSG00000128342	P15018	21	51.52	NA
GDF15	growth differentiation factor 15	ENSG00000130513	Q99988	9	47.31	7332
CXCL6	C-X-C motif chemokine ligand 6	ENSG00000124875	P80162	18	46.3	NA
CXCL2	C-X-C motif chemokine ligand 2	ENSG00000081041	P19875	18	45.43	NA
IGF2	insulin like growth factor 2	ENSG00000167244	P01344	18	45.08	3452.1
IL6	interleukin 6	ENSG00000136244	P05231	21	43.55	NA
MIF	macrophage migration inhibitory factor	ENSG00000276701, ENSG00000240972	P14174	8	41.97	757813.2
EFNA1	ephrin A1	ENSG00000169242	P20827	10	40.21	NA
EDIL3	EGF like repeats and discoidin domains 3	ENSG00000164176	O43854	9	39.28	33669.4
VEGFB	vascular endothelial growth factor B	ENSG00000173511	P49765	21	37.44	NA
S100A8	S100 calcium binding protein A8	ENSG00000143546	P05109	9	37.32	14026.3
WNT4	Wnt family member 4	ENSG00000162552	P56705	19	36.94	6092.3
UCN3	urocortin 3	ENSG00000178473	Q969E3	14	36.58	26178.9
BMP5	bone morphogenetic protein 5	ENSG00000112175	P22003	20	33.68	2734.7
EDN3	endothelin 3	ENSG00000124205	P14138	17	32.43	28427.1
NTN4	netrin 4	ENSG00000074527	Q9HB63	10	30.3	NA
GHRL	ghrelin and obestatin prepropeptide	ENSG00000157017	Q9UBU3	15	30.18	9497
ANGPTL4	angiopoietin like 4	ENSG00000167772	Q9BY76	8	28.22	1041.7
NPY	neuropeptide Y	ENSG00000122585	P01303	15	26.29	NA
THBS2	thrombospondin 2	ENSG00000186340	P35442	8	26.14	NA
TGFB1	transforming growth factor beta 1	ENSG00000105329	P01137	21	25.68	6511.8
ADM	adrenomedullin	ENSG00000148926	P35318	15	25.24	NA
TGFA	transforming growth factor alpha	ENSG00000163235	P01135	20	25.06	NA
IL33	interleukin 33	ENSG00000137033	O95760	11	23.44	NA
CGN	cingulin	ENSG00000143375	Q9P2M7	7	23.18	17055.2
IL24	interleukin 24	ENSG00000162892	Q13007	18	21.13	NA
EDN1	endothelin 1	ENSG00000078401	P05305	17	19.71	NA
OLFM2	olfactomedin 2	ENSG00000105088	O95897	8	18.91	9978.2
CCL28	C-C motif chemokine ligand 28	ENSG00000151882	Q9NRJ3	19	18.57	NA
RARRES2	retinoic acid receptor responder 2	ENSG00000106538	Q99969	13	18.05	1990.8
PDGFA	platelet derived growth factor subunit A	ENSG00000197461	P04085	18	17.64	NA
SCGB1A1	secretoglobin family 1A member 1	ENSG00000149021	P11684	8	17.49	NA
FGF2	fibroblast growth factor 2	ENSG00000138685	P09038	18	16.3	6475.4
AREG	amphiregulin	ENSG00000109321	P15514	19	16.05	NA
FGF12	fibroblast growth factor 12	ENSG00000114279	P61328	9	15.08	NA
PDGFC	platelet derived growth factor C	ENSG00000145431	Q9NRA1	19	14.47	NA
NMB	neuromedin B	ENSG00000197696	P08949	14	14.17	NA
VIP	vasoactive intestinal peptide	ENSG00000146469	P01282	16	14.04	NA
KITLG	KIT ligand	ENSG00000049130	P21583	19	13.94	NA
TNFSF12	TNF superfamily member 12	ENSG00000239697	O43508	16	13.63	NA
ANGPT2	angiopoietin 2	ENSG00000091879	O15123	14	13.63	NA
CXCL5	C-X-C motif chemokine ligand 5	ENSG00000163735	P42830	17	13.21	NA
ANGPTL2	angiopoietin like 2	ENSG00000136859	Q9UKU9	9	12.63	2110.8
PDGFD	platelet derived growth factor D	ENSG00000170962	Q9GZP0	16	12.58	NA
TGFB2	transforming growth factor beta 2	ENSG00000092969	P61812	21	12.39	NA
IL1RN	interleukin 1 receptor antagonist	ENSG00000136689	P18510	16	12.31	NA
IL18	interleukin 18	ENSG00000150782	Q14116	18	12.12	8317.9
HBEGF	heparin binding EGF like growth factor	ENSG00000113070	Q99075	18	12.06	NA
CXCL3	C-X-C motif chemokine ligand 3	ENSG00000163734	P19876	18	11.46	NA
GREM1	gremlin 1, DAN family BMP antagonist	ENSG00000276886, ENSG00000282046, ENSG00000166923	O60565	7	11.06	NA
