hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
ADCYAP1	adenylate cyclase activating polypeptide 1	Glucagon family	3479.37	8042.43	0.4326262	0.104
ADIPOQ	adiponectin, C1Q and collagen domain containing	NA	NA	NA	NA	NA
ADM	adrenomedullin	Adrenomedullin family	NA	NA	NA	NA
ADM2	adrenomedullin 2	Adrenomedullin family	NA	NA	NA	NA
AGRP	agouti related neuropeptide	NA	NA	NA	NA	NA
AGT	angiotensinogen	Serpin family	28898.4	13956.53	2.0706009	9.47e-7
AMH	anti-Mullerian hormone	TGF-beta family	NA	NA	NA	NA
ANGPT1	angiopoietin 1	NA	NA	NA	NA	NA
ANGPT2	angiopoietin 2	NA	NA	NA	NA	NA
ANGPT4	angiopoietin 4	NA	NA	NA	NA	NA
ANGPTL1	angiopoietin like 1	NA	NA	NA	NA	NA
ANGPTL2	angiopoietin like 2	NA	602.22	2129.46	0.2828041	5.94e-9
ANGPTL3	angiopoietin like 3	NA	NA	NA	NA	NA
ANGPTL4	angiopoietin like 4	NA	638.01	704.47	0.9056599	0.711
ANXA1	annexin A1	Annexin family	19028.23	86457.76	0.220087	3.75e-7
APELA	apelin receptor early endogenous ligand	Elabela/Toddler family	NA	NA	NA	NA
APLN	apelin	Apelin family	NA	NA	NA	NA
AREG	amphiregulin	Amphiregulin family	NA	NA	NA	NA
ARTN	artemin	TGF-beta family, GDNF subfamily	NA	NA	NA	NA
AVP	arginine vasopressin	Vasopressin/oxytocin family	NA	NA	NA	NA
BDNF	brain derived neurotrophic factor	NGF-beta family	NA	NA	NA	NA
BMP1	bone morphogenetic protein 1	NA	3396.03	1618.9	2.0977389	8.02e-12
BMP10	bone morphogenetic protein 10	TGF-beta family	NA	NA	NA	NA
BMP15	bone morphogenetic protein 15	TGF-beta family	NA	NA	NA	NA
BMP2	bone morphogenetic protein 2	TGF-beta family	NA	NA	NA	NA
BMP3	bone morphogenetic protein 3	TGF-beta family	NA	NA	NA	NA
BMP4	bone morphogenetic protein 4	TGF-beta family	NA	NA	NA	NA
BMP5	bone morphogenetic protein 5	TGF-beta family	897.87	2810.1	0.3195154	0.00167
BMP6	bone morphogenetic protein 6	TGF-beta family	NA	NA	NA	NA
BMP7	bone morphogenetic protein 7	TGF-beta family	NA	NA	NA	NA
BMP8A	bone morphogenetic protein 8a	TGF-beta family	NA	NA	NA	NA
BMP8B	bone morphogenetic protein 8b	TGF-beta family	645.23	1185.02	NA	NA
BTC	betacellulin	NA	NA	NA	NA	NA
C1QTNF1	C1q and TNF related 1	NA	NA	NA	NA	NA
C1QTNF5	C1q and TNF related 5	NA	NA	NA	NA	NA
CALCA	calcitonin related polypeptide alpha	Calcitonin family	NA	NA	NA	NA
CALCB	calcitonin related polypeptide beta	Calcitonin family	NA	NA	NA	NA
CCK	cholecystokinin	Gastrin/cholecystokinin family	NA	NA	NA	NA
CCL1	C-C motif chemokine ligand 1	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL11	C-C motif chemokine ligand 11	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL13	C-C motif chemokine ligand 13	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL14	C-C motif chemokine ligand 14	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL15	C-C motif chemokine ligand 15	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL16	C-C motif chemokine ligand 16	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL17	C-C motif chemokine ligand 17	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL18	C-C motif chemokine ligand 18	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL19	C-C motif chemokine ligand 19	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL2	C-C motif chemokine ligand 2	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL20	C-C motif chemokine ligand 20	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL21	C-C motif chemokine ligand 21	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL22	C-C motif chemokine ligand 22	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL23	C-C motif chemokine ligand 23	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL24	C-C motif chemokine ligand 24	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL25	C-C motif chemokine ligand 25	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL26	C-C motif chemokine ligand 26	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL27	C-C motif chemokine ligand 27	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL28	C-C motif chemokine ligand 28	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL3	C-C motif chemokine ligand 3	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL3L1	C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL3L3	C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL4	C-C motif chemokine ligand 4	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL4L2	C-C motif chemokine ligand 4 like 2	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
CCL5	C-C motif chemokine ligand 5	Intercrine beta (chemokine CC) family	NA	NA	NA	NA
