hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_up_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_up_in_SCbeta_melton2019_score	scRNA_up_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_up_in_SCislet_score	all_sc_proteomics_score	proteomics_up_in_sc_score	aggregate_score
ADCYAP1	0.9073634204275535	0.8598574821852731	0	0.831353919239905	0	0	0.8836104513064132	0	0.9453681710213777	0	0.8551068883610451
ADIPOQ	0	0.3919239904988123	0	0.26365795724465557	0	0	0	0	0	0	0.32066508313539194
ADM	0.7719714964370546	0.7553444180522565	0	0.836104513064133	0	0	0.8194774346793349	0	0	0	0.7102137767220903
ADM2	0.665083135391924	0.5890736342042755	0	0.26365795724465557	0	0	0.8076009501187649	0.6484560570071259	0	0	0.6769596199524941
AGRP	0	0.37292161520190026	0	0.26365795724465557	0	0	0	0	0	0	0.3182897862232779
AGT	0.9691211401425178	0.9524940617577197	0	0.9406175771971497	0	0	0.9382422802850356	0	0.9857482185273159	0.9928741092636579	0.9572446555819477
AMH	0.8836104513064132	0.7743467933491687	0	0.8574821852731591	0.9501187648456056	0	0.8123515439429929	0.6935866983372921	0	0	0.9002375296912114
ANGPT1	0.7054631828978623	0.6247030878859857	0	0.26365795724465557	0	0	0.5486935866983373	0.7624703087885986	0	0	0.667458432304038
ANGPT2	0.9287410926365796	0.9501187648456056	0	0.9073634204275535	0	0	0.8622327790973872	0.828978622327791	0	0	0.8574821852731591
ANGPT4	0	0	0	0.26365795724465557	0	0	0	0	0	0	0.18527315914489312
ANGPTL1	0.5130641330166271	0.6033254156769596	0	0.26365795724465557	0	0	0	0	0	0	0.42755344418052255
ANGPTL2	0.8004750593824228	0.7244655581947743	0	0.828978622327791	0	0	0.5819477434679335	0	0.9097387173396675	0	0.8052256532066508
ANGPTL3	0.8266033254156769	0.7909738717339667	0	0.7078384798099763	0	0	0.8574821852731591	0.7743467933491687	0	0	0.8171021377672208
