hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_down_in_SCbeta_melton2019_score	scRNA_down_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
ADCYAP1	0.09263657957244656	0.2327790973871734	0.9904988123515439	0.16864608076009502	0.997624703087886	0	0.1163895486935867	0.9572446555819477	0.05463182897862233	0	0.9833729216152018
ADIPOQ	0.48931116389548696	0.5249406175771971	0	0.2992874109263658	0.8456057007125891	0	0.6294536817102138	0.9691211401425178	0.09501187648456057	0	0.9881235154394299
ADM	0.21852731591448932	0.18052256532066507	0	0.16389548693586697	0.9857482185273159	0	0.18052256532066507	0.8574821852731591	0.09501187648456057	0	0.8194774346793349
ADM2	0.32066508313539194	0.35391923990498814	0	0.2992874109263658	0.8883610451306413	0	0.19239904988123516	0	0.09501187648456057	0	0.5629453681710214
AGRP	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
AGT	0.030878859857482184	0.030878859857482184	0	0.05938242280285035	0.9192399049881235	0	0.06175771971496437	0.7909738717339667	0.014251781472684086	0	0.38004750593824227
AMH	0.1163895486935867	0.07600950118764846	0	0.14251781472684086	0	0	0.1876484560570071	0	0.09501187648456057	0	0.07125890736342043
ANGPT1	0.2826603325415677	0.35391923990498814	0	0.2992874109263658	0	0	0.4418052256532066	0	0.09501187648456057	0	0.23515439429928742
ANGPT2	0.07125890736342043	0.040380047505938245	0	0.09263657957244656	0.8574821852731591	0	0.13539192399049882	0	0.09501187648456057	0	0.171021377672209
ANGPT4	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
ANGPTL1	0.4323040380047506	0.33966745843230406	0	0.2992874109263658	0.8954869358669834	0	0.6294536817102138	1	0.09501187648456057	0	0.9857482185273159
ANGPTL2	0.19714964370546317	0.20902612826603326	0	0.171021377672209	0.9334916864608076	0	0.41092636579572445	0.9833729216152018	0.09026128266033254	0.9904988123515439	0.9928741092636579
ANGPTL3	0.17339667458432304	0.22565320665083136	0	0.28978622327790976	0	0	0.14251781472684086	0	0.09501187648456057	0	0.12351543942992874
ANGPTL4	0.21852731591448932	0.19002375296912113	0	0.2992874109263658	0.9714964370546318	0	0.42992874109263657	0.9406175771971497	0.08788598574821853	0	0.9049881235154394
ANXA1	0.3919239904988123	0.37054631828978624	0	0.2992874109263658	0	0	0.21140142517814728	0	0.019002375296912115	0.995249406175772	0.5748218527315915
APELA	0.3586698337292161	0.33966745843230406	0	0.1330166270783848	0	0	0.22327790973871733	0	0.09501187648456057	0	0.1496437054631829
APLN	0.33729216152019004	0.33016627078384797	0	0.21377672209026127	0	0	0.26365795724465557	0	0.09501187648456057	0	0.18527315914489312
AREG	0.33729216152019004	0.41092636579572445	0	0.2992874109263658	0	0	0.5320665083135392	0	0.09501187648456057	0	0.31116389548693585
ARTN	0.21852731591448932	0.4584323040380047	0	0.15914489311163896	0	0	0.30403800475059384	0	0.09501187648456057	0	0.16389548693586697
AVP	0.05463182897862233	0.5249406175771971	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.24703087885985747
BDNF	0.33729216152019004	0.2494061757719715	0	0.2992874109263658	0	0	0.5320665083135392	0	0.09501187648456057	0	0.25415676959619954
BMP1	0.0997624703087886	0.05463182897862233	0	0.1021377672209026	0	0	0.0688836104513064	0	0.05938242280285035	0	0.030878859857482184
BMP10	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
BMP15	0.48931116389548696	0.6413301662707839	0	0.7387173396674585	0	0	0.6294536817102138	0	0.09501187648456057	0	0.6365795724465558
BMP2	0.09026128266033254	0.07363420427553444	0	0.08076009501187649	0	0	0.0665083135391924	0	0.09501187648456057	0	0.0332541567695962
BMP3	0.3919239904988123	0.33966745843230406	0	0.22565320665083136	0	0	0.0831353919239905	0	0.09501187648456057	0	0.14489311163895488
BMP4	0.27315914489311166	0.19002375296912113	0	0.17339667458432304	0	0	0.17339667458432304	0	0.09501187648456057	0	0.12114014251781473
BMP5	0.20902612826603326	0.1828978622327791	0.9881235154394299	0.0665083135391924	0.9263657957244655	0	0.028503562945368172	0	0.0831353919239905	0.9881235154394299	0.9691211401425178
BMP6	0.48931116389548696	0.40380047505938244	0	0.2992874109263658	0	0	0.47030878859857483	0	0.09501187648456057	0	0.3491686460807601
BMP7	0.20190023752969122	0.10926365795724466	0	0.2992874109263658	0.8883610451306413	0	0.2660332541567696	0	0.09501187648456057	0	0.4014251781472684
BMP8A	0.33729216152019004	0.35391923990498814	0	0.2992874109263658	0	0	0.16864608076009502	0	0.09501187648456057	0	0.19239904988123516
BMP8B	0.29691211401425177	0.23515439429928742	0	0.24703087885985747	0.9144893111638955	0	0.0855106888361045	0	0.0855106888361045	0	0.4156769596199525
BTC	0.24703087885985747	0.2494061757719715	0	0.27315914489311166	0.8479809976247031	0	0.2494061757719715	0	0.09501187648456057	0	0.47030878859857483
C1QTNF1	0.3919239904988123	0.41092636579572445	0	0.22802850356294538	0	0	0.2042755344418052	0	0.09501187648456057	0	0.20902612826603326
C1QTNF5	0.48931116389548696	0.6413301662707839	0	0.2992874109263658	0	0	0.6294536817102138	0	0.09501187648456057	0	0.48931116389548696
