hgnc_symbol	type	CellChat_Pathway
EDN3	ligand	EDN
NPY	ligand	NPY
SPP1	ligand	SPP1
ANGPTL2	ligand	ANGPTL
IL24	ligand	IL10
ADIPOQ	ligand	ADIPONECTIN
ANGPTL1	ligand	ANGPTL
ADCYAP1	ligand	PACAP
LIF	ligand	LIFR
UCN3	ligand	UCN
LEP	ligand	LEP
NPPB	ligand	NPR1
PPY	ligand	NPY
BMP5	ligand	BMP
TNFSF18	ligand	GITRL
PDGFB	ligand	PDGF
FGF21	ligand	FGF
PROK1	ligand	PROK
TGFB1	ligand	TGFb
CALCB	ligand	CALCR
CXCL8	ligand	CXCL
CCL17	ligand	CCL
IL36A	ligand	IL1
PIP	ligand	NA
RLN3	ligand	RLN
RSPO1	ligand	WNT
TNFSF13	ligand	APRIL
CGB5	ligand	NA
GH1	ligand	GH
GH2	ligand	NA
IL1F10	ligand	IL1
IL36B	ligand	IL1
IL37	ligand	IL1
IL23A	ligand	NA
IL10	ligand	IL10
POMC	ligand	MELANOCORTIN
POMC	ligand	OPIOID
INHBC	ligand	TGFb
INHBC	ligand	NODAL
INHBC	ligand	ACTIVIN
RLN2	ligand	NA
IL36RN	ligand	IL1
FGF8	ligand	FGF
ANGPTL4	ligand	ANGPTL
GREM1	ligand	BMP
NRG2	ligand	NRG
NRTN	ligand	GDNF
IL20	ligand	IL10
IL1RN	ligand	IL1
TSLP	ligand	IL2
EDN2	ligand	EDN
IL17B	ligand	IL17
IL1B	ligand	IL1
IAPP	ligand	CALCR
IL12B	ligand	NA
TF	ligand	NA
RSPO2	ligand	WNT
TNF	ligand	TNF
WNT7A	ligand	WNT
WNT11	ligand	ncWNT
SFRP2	ligand	WNT
CCL26	ligand	CCL
CCL7	ligand	CCL
CSH2	ligand	NA
FASLG	ligand	FASLG
IL33	ligand	IL1
PRL	ligand	PRL
VIP	ligand	VIP
CCL5	ligand	CCL
HGF	ligand	HGF
THBS1	ligand	TGFb
THBS1	ligand	THBS
CCL22	ligand	CCL
CXCL10	ligand	CXCL
INS	ligand	INSULIN
GDNF	ligand	GDNF
IL16	ligand	IL16
IGFL2	ligand	NA
FGF19	ligand	FGF
TNFSF14	ligand	LIGHT
ADM	ligand	CALCR
FGF22	ligand	FGF
DEFB1	ligand	NA
CXCL17	ligand	NA
MSTN	ligand	MSTN
HCRT	ligand	HCRT
EREG	ligand	EGF
UTS2B	ligand	UROTENSIN
ZP3	ligand	NA
VEGFD	ligand	VEGF
FLT3LG	ligand	FLT3
CXCL2	ligand	CXCL
BMP10	ligand	BMP10
BMP15	ligand	BMP
CCL1	ligand	CCL
CCL11	ligand	CCL
CCL13	ligand	CCL
CCL21	ligand	CCL
CD5L	ligand	NA
CGB3	ligand	NA
CGB8	ligand	NA
CSH1	ligand	NA
CSHL1	ligand	NA
CXCL9	ligand	CXCL
DEFB103A	ligand	NA
DEFB103B	ligand	NA
DEFB4A	ligand	NA
FGF16	ligand	FGF
FGF3	ligand	FGF
FGF4	ligand	FGF
FGF6	ligand	FGF
GALP	ligand	GALANIN
GDF1	ligand	NODAL
GDF2	ligand	BMP10
GDF3	ligand	NODAL
IFNA1	ligand	NA
IFNA10	ligand	IFN-I
IFNA13	ligand	IFN-I
IFNA14	ligand	IFN-I
IFNA16	ligand	IFN-I
IFNA17	ligand	IFN-I
IFNA2	ligand	IFN-I
IFNA21	ligand	IFN-I
IFNA4	ligand	IFN-I
IFNA6	ligand	IFN-I
IFNA7	ligand	IFN-I
IFNA8	ligand	IFN-I
IFNB1	ligand	IFN-I
IFNG	ligand	IFN-II
IFNK	ligand	IFN-I
IFNL1	ligand	NA
IFNL2	ligand	NA
IFNL3	ligand	NA
IGFL3	ligand	IGF
IL13	ligand	IL4
IL2	ligand	IL2
IL21	ligand	IL2
IL22	ligand	IL10
IL25	ligand	IL17
IL3	ligand	IL4
IL4	ligand	IL4
IL4	ligand	IL2
IL9	ligand	IL2
LHB	ligand	LHB
NMS	ligand	NMU
NODAL	ligand	NODAL
NPVF	ligand	NPVF
OBP2A	ligand	NA
PRLH	ligand	PRLH
PROK2	ligand	PROK
PTH	ligand	PTH
PTH2	ligand	PTH
RETN	ligand	RESISTIN
SLURP1	ligand	SLURP
TNFSF8	ligand	CD30
TSHB	ligand	TSH
WNT1	ligand	WNT
WNT3A	ligand	WNT
WNT8A	ligand	WNT
CCL28	ligand	CCL
CCL24	ligand	CCL
QRFP	ligand	QRFP
CCN6	ligand	NA
CXCL13	ligand	CXCL
DEFB4B	ligand	NA
IFNA5	ligand	IFN-I
IL17F	ligand	IL17
IL27	ligand	NA
IL31	ligand	IL6
IL5	ligand	IL4
NPS	ligand	NPS
PDCD1LG2	ligand	PDL2
PMCH	ligand	PMCH
EPGN	ligand	EPGN
CCL3L1	ligand	CCL
TNFSF15	ligand	VEGI
GDF15	ligand	GDF
IGFL1	ligand	NA
IL26	ligand	IL10
LTA	ligand	LT
INHBA	ligand	TGFb
INHBA	ligand	NODAL
INHBA	ligand	ACTIVIN
CALCA	ligand	CALCR
CALCA	ligand	CALCR
NLGN1	ligand	NRXN
GDF5	ligand	BMP
ANXA1	ligand	ANXA1
ANXA1	ligand	ANNEXIN
NXPH3	ligand	NA
NPFF	ligand	NPFF
IL19	ligand	IL10
WNT4	ligand	WNT
ADM2	ligand	NA
UCN2	ligand	UCN
NPPC	ligand	NPR2
OLFM2	ligand	NA
IL11	ligand	IL6
NTN3	ligand	NA
NRG4	ligand	NRG
DHH	ligand	HH
AGRP	ligand	MELANOCORTIN
ANGPT4	ligand	NA
C1QTNF5	ligand	NA
CCL14	ligand	CCL
CCL18	ligand	CCL
CCL19	ligand	CCL
CCL23	ligand	CCL
CCL3L3	ligand	NA
CCL4	ligand	CCL
CCL4L2	ligand	NA
CCL8	ligand	CCL
CSF2	ligand	IL4
CSF3	ligand	CSF3
GDF10	ligand	GDF
GRP	ligand	GPR
IFNW1	ligand	IFN-I
IL17A	ligand	IL17
IL6	ligand	IL6
ORM1	ligand	NA
OSM	ligand	OSM
SAA1	ligand	SAA
SCGB3A2	ligand	UGRP1
TAC4	ligand	TAC
WNT16	ligand	WNT
PF4	ligand	CXCL
UCN	ligand	UCN
CCL3	ligand	CCL
KNG1	ligand	BRADYKININ
EDIL3	ligand	NA
CD70	ligand	CD70
NPPA	ligand	NPR1
BTC	ligand	EGF
RARRES2	ligand	CHEMERIN
EDA	ligand	EDA
MIF	ligand	MIF
PDYN	ligand	OPIOID
CCL16	ligand	CCL
CCL25	ligand	CCL
EPO	ligand	EPO
FGF23	ligand	FGF
SCGB1A1	ligand	NA
IL36G	ligand	IL1
NDP	ligand	NA
SCGB3A1	ligand	NA
IL17C	ligand	IL17
NTF4	ligand	NT
SEMA3E	ligand	SEMA3
INSL5	ligand	RLN
SEMA3B	ligand	SEMA3
CRH	ligand	CRH
PF4V1	ligand	CXCL
XCL2	ligand	XCR
EBI3	ligand	NA
FGF5	ligand	FGF
BMP8B	ligand	BMP
CCN1	ligand	NA
IL1A	ligand	IL1
FSHB	ligand	FSH
PPBP	ligand	CXCL
WNT6	ligand	WNT
BMP7	ligand	BMP
CXCL11	ligand	CXCL
INSL3	ligand	RLN
SST	ligand	SEMATOSTATIN
CX3CL1	ligand	CX3C
CCL15	ligand	CCL
MIA	ligand	NA
GDF7	ligand	BMP
AGT	ligand	AGT
UTS2	ligand	UTS2
EGF	ligand	EGF
CCN3	ligand	NA
TG	ligand	NA
S100A8	ligand	NA
NXPH1	ligand	NA
IFNE	ligand	IFN-I
FGF10	ligand	FGF
NMU	ligand	NMU
IL12A	ligand	NA
CCL20	ligand	CCL
OSTN	ligand	OSTN
CCL27	ligand	CCL
BMP6	ligand	BMP
WNT2	ligand	WNT
RSPO3	ligand	WNT
CORT	ligand	SEMATOSTATIN
WNT8B	ligand	WNT
NTF3	ligand	NT
TNFSF9	ligand	CD137
FGF1	ligand	FGF
GAST	ligand	NA
THPO	ligand	THPO
GUCA2A	ligand	GUCA
WNT9A	ligand	WNT
DKK1	ligand	WNT
OXT	ligand	OXT
AREG	ligand	EGF
IGF1	ligand	IGF
WNT10B	ligand	WNT
CLCF1	ligand	LIFR
DKK2	ligand	WNT
FGF13	ligand	NA
SEMA3G	ligand	SEMA3
INHBE	ligand	TGFb
INHBE	ligand	NODAL
INHBE	ligand	ACTIVIN
TNFSF12	ligand	TWEAK
WNT9B	ligand	WNT
LEFTY2	ligand	BMP
LEFTY2	ligand	TGFb
LEFTY2	ligand	NODAL
WNT2B	ligand	WNT
TRH	ligand	TRH
FGF2	ligand	FGF
IL34	ligand	CSF
GNRH2	ligand	NA
WNT7B	ligand	WNT
RSPO4	ligand	WNT
NXPH2	ligand	NA
CXCL3	ligand	CXCL
XCL1	ligand	XCR
TGFA	ligand	EGF
