hgnc_symbol	type
PLXNC1	receptor
PLXNA2	receptor
IGF2R	receptor
ACVR1C	receptor
NRXN1	receptor
PLXNB1	receptor
SSTR2	receptor
EGFR	receptor
IGF1R	receptor
LINGO1	receptor
FZD3	receptor
ROR2	receptor
GIPR	receptor
ROBO1	receptor
NCSTN	receptor
ROBO2	receptor
SSTR1	receptor
FGFR1	receptor
INSR	receptor
NRXN2	receptor
PLXNA1	receptor
EPHB2	receptor
FGFR4	receptor
MET	receptor
DCC	receptor
RET	receptor
FZD1	receptor
ROR1	receptor
PLXNA3	receptor
FGFR3	receptor
ACVR1B	receptor
TGFBR1	receptor
ACVR2B	receptor
NRXN3	receptor
ERBB3	receptor
GHR	receptor
EPHA4	receptor
LRRC4C	receptor
NEO1	receptor
EPHA3	receptor
PTCH1	receptor
EPOR	receptor
LGR4	receptor
UNC5D	receptor
UNC5C	receptor
BAMBI	receptor
RTN4RL1	receptor
IL11RA	receptor
RYK	receptor
DDR1	receptor
PLXNB2	receptor
UNC5A	receptor
ACVR2A	receptor
EPHB1	receptor
GFRA3	receptor
GPR37	receptor
NOTCH1	receptor
TGFBR2	receptor
EPHA5	receptor
IL6ST	receptor
MERTK	receptor
RTN4R	receptor
OPRK1	receptor
ACKR1	receptor
GLP1R	receptor
NOTCH2	receptor
KLB	receptor
TNFRSF21	receptor
ERBB2	receptor
IFNGR1	receptor
IFNLR1	receptor
BMPR2	receptor
TACR1	receptor
AMHR2	receptor
OGFR	receptor
GFRA2	receptor
IFNAR1	receptor
TFRC	receptor
ADIPOR2	receptor
NRP1	receptor
BMPR1A	receptor
TGFBR3	receptor
FZD6	receptor
GALR2	receptor
NPY1R	receptor
PTCH2	receptor
F3	receptor
KREMEN2	receptor
EPHA7	receptor
NPR2	receptor
VIPR1	receptor
TNFRSF10D	receptor
CXCR4	receptor
FGFR2	receptor
LMBR1L	receptor
EPHB4	receptor
FZD4	receptor
TNFRSF19	receptor
TSPAN1	receptor
ADIPOR1	receptor
SSTR3	receptor
NOTCH3	receptor
AGTR1	receptor
SMO	receptor
CALCR	receptor
IFNGR2	receptor
LIFR	receptor
PRLR	receptor
TYRO3	receptor
GPR39	receptor
ACVR1	receptor
TNFRSF1A	receptor
NTRK3	receptor
IL1RAP	receptor
IL6R	receptor
EPHA1	receptor
KISS1R	receptor
PRLHR	receptor
IL13RA1	receptor
TNFRSF25	receptor
LEPR	receptor
AVPR1B	receptor
PLXNA4	receptor
FZD5	receptor
LRRC4	receptor
FGFRL1	receptor
IL4R	receptor
IL17RA	receptor
EPHA6	receptor
OXTR	receptor
CCKBR	receptor
SCTR	receptor
PTH2R	receptor
PLXND1	receptor
OPRD1	receptor
IFNAR2	receptor
FZD2	receptor
NPFFR2	receptor
IL17RC	receptor
IL1R1	receptor
GPR135	receptor
NPFFR1	receptor
ERBB4	receptor
UNC5B	receptor
F2R	receptor
FZD7	receptor
IL1RAPL1	receptor
IL18R1	receptor
TNFRSF9	receptor
IL10RA	receptor
IL20RA	receptor
GFRA1	receptor
TNFRSF10B	receptor
BDKRB2	receptor
NRP2	receptor
GRPR	receptor
IL27RA	receptor
OPRL1	receptor
NPR1	receptor
IL17RB	receptor
ACKR2	receptor
EPHB6	receptor
GCGR	receptor
NPY5R	receptor
PDGFRB	receptor
MC1R	receptor
TNFRSF12A	receptor
NOTCH4	receptor
EPHA2	receptor
DDR2	receptor
HHIP	receptor
IL10RB	receptor
KIT	receptor
EPHB3	receptor
NPR3	receptor
CALCRL	receptor
GALR1	receptor
TNFRSF11A	receptor
BMPR1B	receptor
C5AR1	receptor
IL23R	receptor
MCHR1	receptor
IL13RA2	receptor
TNFRSF11B	receptor
AXL	receptor
PLAUR	receptor
GALR3	receptor
THBD	receptor
EPHA8	receptor
CCR10	receptor
RXFP4	receptor
NTRK2	receptor
OPRM1	receptor
FZD9	receptor
ROBO3	receptor
FAS	receptor
CSF3R	receptor
KREMEN1	receptor
MPL	receptor
IL17RE	receptor
CNTFR	receptor
TSHR	receptor
EDA2R	receptor
AVPR1A	receptor
TACR3	receptor
IGFLR1	receptor
F2RL2	receptor
CCR4	receptor
CCKAR	receptor
EDAR	receptor
IL31RA	receptor
PROKR1	receptor
IL15RA	receptor
HCRTR2	receptor
PDGFRA	receptor
CRHR2	receptor
IL12RB2	receptor
GPR75	receptor
VIPR2	receptor
F2RL1	receptor
IL1R2	receptor
NPSR1	receptor
MST1R	receptor
FZD8	receptor
MAS1	receptor
IL1RL2	receptor
GPR37L1	receptor
ADCYAP1R1	receptor
TNFRSF6B	receptor
IL22RA1	receptor
RXFP3	receptor
EDNRA	receptor
RXFP2	receptor
CRLF1	receptor
FZD10	receptor
IL2RG	receptor
NPY2R	receptor
TFR2	receptor
ALK	receptor
IL5RA	receptor
NPY4R	receptor
NRSN1	receptor
F2RL3	receptor
NMUR1	receptor
TNFRSF4	receptor
LHCGR	receptor
TNFRSF14	receptor
TIE1	receptor
ACKR3	receptor
IL20RB	receptor
CSF1R	receptor
FLT1	receptor
KDR	receptor
C5AR2	receptor
CSF2RA	receptor
MC4R	receptor
GLP2R	receptor
OSMR	receptor
TNFRSF10A	receptor
CXCR6	receptor
TNFRSF1B	receptor
BDKRB1	receptor
GFRA4	receptor
GHRHR	receptor
TNFRSF17	receptor
PTH1R	receptor
CCR6	receptor
IL21R	receptor
MCHR2	receptor
IL7R	receptor
MTNR1A	receptor
XCR1	receptor
FPR1	receptor
IL12RB1	receptor
NGFR	receptor
EDNRB	receptor
FLT4	receptor
ACKR4	receptor
PLXNB3	receptor
ACVRL1	receptor
TNFRSF10C	receptor
CXCR5	receptor
NPBWR1	receptor
TNFRSF13C	receptor
LGR5	receptor
IL3RA	receptor
CXCR3	receptor
NTRK1	receptor
FLT3	receptor
TNFRSF18	receptor
NMBR	receptor
SSTR5	receptor
CX3CR1	receptor
CXCR2	receptor
MTNR1B	receptor
IL2RA	receptor
LGR6	receptor
NTSR1	receptor
ROBO4	receptor
BRS3	receptor
CSF2RB	receptor
IL2RB	receptor
GNRHR	receptor
FPR3	receptor
PROKR2	receptor
UTS2R	receptor
CD27	receptor
CRHR1	receptor
TEK	receptor
IL9R	receptor
CCR8	receptor
MLNR	receptor
MUSK	receptor
CCR3	receptor
NMUR2	receptor
SSTR4	receptor
APLNR	receptor
C3AR1	receptor
CCR1	receptor
CCR5	receptor
CCR7	receptor
CCRL2	receptor
FSHR	receptor
GHSR	receptor
MC2R	receptor
MC5R	receptor
TNFRSF13B	receptor
TREM2	receptor
AGTR2	receptor
AVPR2	receptor
CCR2	receptor
CCR9	receptor
CMKLR2	receptor
CXCR1	receptor
FPR2	receptor
GPR151	receptor
GPR182	receptor
HCRTR1	receptor
HJV	receptor
IL22RA2	receptor
MC3R	receptor
MRGPRX1	receptor
MRGPRX2	receptor
NPBWR2	receptor
NTSR2	receptor
RXFP1	receptor
TACR2	receptor
TNFRSF8	receptor
TRHR	receptor
EDN3	ligand
NPY	ligand
SPP1	ligand
ANGPTL2	ligand
IL24	ligand
ADIPOQ	ligand
ANGPTL1	ligand
ADCYAP1	ligand
LIF	ligand
UCN3	ligand
LEP	ligand
NPPB	ligand
PPY	ligand
BMP5	ligand
TNFSF18	ligand
PDGFB	ligand
FGF21	ligand
PROK1	ligand
TGFB1	ligand
CALCB	ligand
CXCL8	ligand
CCL17	ligand
IL36A	ligand
PIP	ligand
RLN3	ligand
RSPO1	ligand
TNFSF13	ligand
CGB5	ligand
GH1	ligand
GH2	ligand
IL1F10	ligand
IL36B	ligand
IL37	ligand
IL23A	ligand
IL10	ligand
POMC	ligand
INHBC	ligand
RLN2	ligand
IL36RN	ligand
FGF8	ligand
ANGPTL4	ligand
GREM1	ligand
NRG2	ligand
NRTN	ligand
IL20	ligand
IL1RN	ligand
TSLP	ligand
EDN2	ligand
IL17B	ligand
IL1B	ligand
IAPP	ligand
IL12B	ligand
TF	ligand
RSPO2	ligand
TNF	ligand
WNT7A	ligand
WNT11	ligand
SFRP2	ligand
CCL26	ligand
CCL7	ligand
CSH2	ligand
FASLG	ligand
IL33	ligand
PRL	ligand
VIP	ligand
CCL5	ligand
HGF	ligand
THBS1	ligand
CCL22	ligand
CXCL10	ligand
INS	ligand
GDNF	ligand
IL16	ligand
IGFL2	ligand
FGF19	ligand
TNFSF14	ligand
ADM	ligand
FGF22	ligand
DEFB1	ligand
CXCL17	ligand
MSTN	ligand
HCRT	ligand
EREG	ligand
UTS2B	ligand
ZP3	ligand
VEGFD	ligand
FLT3LG	ligand
CXCL2	ligand
BMP10	ligand
BMP15	ligand
CCL1	ligand
CCL11	ligand
CCL13	ligand
CCL21	ligand
CD5L	ligand
CGB3	ligand
CGB8	ligand
CSH1	ligand
CSHL1	ligand
CXCL9	ligand
DEFB103A	ligand
DEFB103B	ligand
DEFB4A	ligand
FGF16	ligand
FGF3	ligand
FGF4	ligand
FGF6	ligand
GALP	ligand
GDF1	ligand
GDF2	ligand
GDF3	ligand
IFNA1	ligand
IFNA10	ligand
IFNA13	ligand
IFNA14	ligand
IFNA16	ligand
IFNA17	ligand
IFNA2	ligand
