interaction_symbol	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	curation_effort	n_references	n_resources
IGF1-IGF1R	IGF1	IGF1R	1	1	0	1	1	0	Baccin2019;CA1;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;KEGG-MEDICUS;Kirouac2010;LRdb;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871	27	Baccin2019:1852007;Baccin2019:2877871;CA1:8408032;CellChatDB:14604834;CellTalkDB:2877871;Cellinker:14604834;Cellinker:1852007;Cellinker:2877871;DIP:11287679;DIP:21645859;HPMR:2877871;HPRD:1852007;IntAct:21645859;IntAct:8452530;LRdb:185;LRdb:2877871;ProtMapper:19258508;ProtMapper:23675206;SIGNOR:19029956;SIGNOR:21798082;SPIKE:1852007;SignaLink3:12067807;SignaLink3:1852007;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:1852007;connectomeDB2020:2877871	26
WNT1-NOTCH1	WNT1	NOTCH1	1	1	0	1	1	0	SPIKE	SPIKE:18495817	1	SPIKE:18495817	1
WNT5A-FZD2	WNT5A	FZD2	1	1	1	1	1	0	Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;NetPath;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:9389482;CellPhoneDB:24032637;CellTalkDB:24032637;Cellinker:9389482;LRdb:9389482;NetPath:19910923;SIGNOR:19008118;SIGNOR:19910923;SIGNOR:2808370;SPIKE:19910923;connectomeDB2020:19910923;connectomeDB2020:9389482	12	Baccin2019:9389482;CellPhoneDB:24032637;CellTalkDB:24032637;Cellinker:9389482;LRdb:9389482;NetPath:19910923;SIGNOR:19008118;SIGNOR:19910923;SIGNOR:2808370;SPIKE:19910923;connectomeDB2020:19910923;connectomeDB2020:9389482	16
IL22-IL10RB	IL22	IL10RB	1	1	0	1	1	0	CellCall;CellTalkDB;Fantom5_LRdb;Guide2Pharma;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	CellTalkDB:10875937;HPRD:10875937;LRdb:10875937;Lit-BM-17:10875937;Lit-BM-17:12513909;Lit-BM-17:15120653;SIGNOR:17208301;SPIKE:18509351;SignaLink3:10875937;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:10875937	12	CellTalkDB:10875937;HPRD:10875937;LRdb:10875937;Lit-BM-17:10875937;Lit-BM-17:12513909;Lit-BM-17:15120653;SIGNOR:17208301;SPIKE:18509351;SignaLink3:10875937;SignaLink3:17208301;SignaLink3:23331499;connectomeDB2020:10875937	15
EPO-EPOR	EPO	EPOR	1	1	0	1	1	0	Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;IntAct;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10318834;Baccin2019:16982323;Baccin2019:9442088;Baccin2019:9808045;BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;Cellinker:10318834;Cellinker:16982323;Cellinker:9442088;Cellinker:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;Guide2Pharma:16982323;HPMR:9442088;HPRD:10318834;HPRD:9808045;ICELLNET:2163696;ICELLNET:9974393;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;LRdb:10318834;LRdb:16982323;LRdb:9442088;LRdb:9808045;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045;SIGNOR:9442088;SIGNOR:9774108;SPIKE:18586265;SignaLink3:23331499;SignaLink3:9774108;connectomeDB2020:10318834;connectomeDB2020:16982323;connectomeDB2020:9442088;connectomeDB2020:9808045;scConnect:16982323	47	Baccin2019:10318834;Baccin2019:16982323;Baccin2019:9442088;Baccin2019:9808045;BioGRID:10318834;BioGRID:15358619;BioGRID:17327410;BioGRID:9808045;Cellinker:10318834;Cellinker:16982323;Cellinker:9442088;Cellinker:9808045;DIP:10318834;DIP:8662939;DIP:9030560;DIP:9774108;Guide2Pharma:16982323;HPMR:9442088;HPRD:10318834;HPRD:9808045;ICELLNET:2163696;ICELLNET:9974393;InnateDB:21889455;InnateDB:9774108;IntAct:29997244;IntAct:9774108;LRdb:10318834;LRdb:16982323;LRdb:9442088;LRdb:9808045;Lit-BM-17:10318834;Lit-BM-17:15358619;Lit-BM-17:17327410;Lit-BM-17:8662939;Lit-BM-17:9030560;Lit-BM-17:9774108;Lit-BM-17:9808045;SIGNOR:9442088;SIGNOR:9774108;SPIKE:18586265;SignaLink3:23331499;SignaLink3:9774108;connectomeDB2020:10318834;connectomeDB2020:16982323;connectomeDB2020:9442088;connectomeDB2020:9808045;scConnect:16982323	26
CCL3L1-CCR5	CCL3L1	CCR5	1	1	0	1	1	0	Baccin2019;BioGRID;CellCall;CellTalkDB;Cellinker;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SPIKE;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;BioGRID:11734558;CellTalkDB:10364178;Cellinker:10364178;Cellinker:11449371;Cellinker:11734558;HPRD:10364178;HPRD:11449371;HPRD:11734558;ICELLNET:22633458;LRdb:11;LRdb:11734558;SPIKE:11734558;connectomeDB2020:10364178;connectomeDB2020:11449371;connectomeDB2020:11734558	23	Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;BioGRID:11734558;CellTalkDB:10364178;Cellinker:10364178;Cellinker:11449371;Cellinker:11734558;HPRD:10364178;HPRD:11449371;HPRD:11734558;ICELLNET:22633458;LRdb:11;LRdb:11734558;SPIKE:11734558;connectomeDB2020:10364178;connectomeDB2020:11449371;connectomeDB2020:11734558	14
TNFSF10-TNFRSF10C	TNFSF10	TNFRSF10C	1	1	1	1	1	0	CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;LRdb;Lit-BM-17;Ramilowski2015;SPIKE;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	CellTalkDB:9314565;Cellinker:9314565;Cellinker:9325248;Cellinker:9613612;HPMR:9325248;HPRD:9314565;HPRD:9325248;HPRD:9613612;ICELLNET:11239407;LRdb:9314565;LRdb:9325248;LRdb:9613612;Lit-BM-17:20103630;Lit-BM-17:9325248;SPIKE:9082980;SPIKE:9314565;connectomeDB2020:9314565;connectomeDB2020:9325248;connectomeDB2020:9613612	19	CellTalkDB:9314565;Cellinker:9314565;Cellinker:9325248;Cellinker:9613612;HPMR:9325248;HPRD:9314565;HPRD:9325248;HPRD:9613612;ICELLNET:11239407;LRdb:9314565;LRdb:9325248;LRdb:9613612;Lit-BM-17:20103630;Lit-BM-17:9325248;SPIKE:9082980;SPIKE:9314565;connectomeDB2020:9314565;connectomeDB2020:9325248;connectomeDB2020:9613612	15
IL10-IL10RA	IL10	IL10RA	1	1	0	1	1	0	Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426	57	Baccin2019:10231374;Baccin2019:11485736;Baccin2019:11717514;Baccin2019:12974481;Baccin2019:7759550;Baccin2019:8248239;Baccin2019:8897595;BioGRID:10231374;BioGRID:11485736;BioGRID:11717514;BioGRID:7759550;BioGRID:8248239;CellTalkDB:12974481;DIP:15837194;DIP:20462497;DIP:8120391;HPRD:10231374;HPRD:11485736;HPRD:11717514;HPRD:7759550;HPRD:8248239;HPRD:8897595;InnateDB:10788470;InnateDB:11717514;InnateDB:9568901;IntAct:11485736;IntAct:12513909;IntAct:15837194;IntAct:20462497;LRdb:10231374;LRdb:11485736;LRdb:11717514;LRdb:12974481;LRdb:7759550;LRdb:8248239;LRdb:8897595;Lit-BM-17:10231374;Lit-BM-17:11485736;Lit-BM-17:11717514;Lit-BM-17:12513909;Lit-BM-17:15837194;Lit-BM-17:8120391;SIGNOR:10347215;SIGNOR:26260587;SPIKE:11591769;SignaLink3:17208301;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8248239;connectomeDB2020:10231374;connectomeDB2020:11485736;connectomeDB2020:11717514;connectomeDB2020:12974481;connectomeDB2020:7759550;connectomeDB2020:8248239;connectomeDB2020:8897595;scConnect:19161426	22
IFNG-IFNGR1	IFNG	IFNGR1	1	1	0	1	1	0	Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;LRdb;Lit-BM-17;Macrophage;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_SignaLink3;SIGNOR;SPIKE;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10811850;Baccin2019:10986460;Baccin2019:11250200;Baccin2019:12165521;BioGRID:10986460;CellTalkDB:10811850;DIP:10860730;DIP:7617032;HPMR:10811850;HPMR:12438563;HPRD:10986460;HPRD:11250200;HPRD:12165521;InnateDB:10986460;InnateDB:7673114;IntAct:11250200;IntAct:7617032;LRdb:10811850;LRdb:10986460;LRdb:11250200;LRdb:12165521;Lit-BM-17:10860730;Lit-BM-17:10986460;Lit-BM-17:11250200;Lit-BM-17:7617032;Lit-BM-17:7673114;Macrophage:7617032;SIGNOR:10986460;SIGNOR:12438563;SIGNOR:23898330;SPIKE:16110316;SignaLink3:10986460;SignaLink3:11250200;SignaLink3:12165521;SignaLink3:12438563;SignaLink3:12915721;SignaLink3:1396683;SignaLink3:15143187;SignaLink3:15530433;SignaLink3:16237089;SignaLink3:16467876;SignaLink3:18591661;SignaLink3:18988627;SignaLink3:20304997;SignaLink3:23331499;SignaLink3:29145629;SignaLink3:7510216;SignaLink3:7514165;SignaLink3:7615558;SignaLink3:7617032;SignaLink3:7673114;SignaLink3:8550631;SignaLink3:8631301;SignaLink3:9111318;connectomeDB2020:10811850;connectomeDB2020:10986460;connectomeDB2020:11250200;connectomeDB2020:12165521	58	Baccin2019:10811850;Baccin2019:10986460;Baccin2019:11250200;Baccin2019:12165521;BioGRID:10986460;CellTalkDB:10811850;DIP:10860730;DIP:7617032;HPMR:10811850;HPMR:12438563;HPRD:10986460;HPRD:11250200;HPRD:12165521;InnateDB:10986460;InnateDB:7673114;IntAct:11250200;IntAct:7617032;LRdb:10811850;LRdb:10986460;LRdb:11250200;LRdb:12165521;Lit-BM-17:10860730;Lit-BM-17:10986460;Lit-BM-17:11250200;Lit-BM-17:7617032;Lit-BM-17:7673114;Macrophage:7617032;SIGNOR:10986460;SIGNOR:12438563;SIGNOR:23898330;SPIKE:16110316;SignaLink3:10986460;SignaLink3:11250200;SignaLink3:12165521;SignaLink3:12438563;SignaLink3:12915721;SignaLink3:1396683;SignaLink3:15143187;SignaLink3:15530433;SignaLink3:16237089;SignaLink3:16467876;SignaLink3:18591661;SignaLink3:18988627;SignaLink3:20304997;SignaLink3:23331499;SignaLink3:29145629;SignaLink3:7510216;SignaLink3:7514165;SignaLink3:7615558;SignaLink3:7617032;SignaLink3:7673114;SignaLink3:8550631;SignaLink3:8631301;SignaLink3:9111318;connectomeDB2020:10811850;connectomeDB2020:10986460;connectomeDB2020:11250200;connectomeDB2020:12165521	23
IGF2-IGF2R	IGF2	IGF2R	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;DOMINO;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr	Baccin2019:2964083;Baccin2019:7797478;Baccin2019:9722981;CellChatDB:14604834;CellTalkDB:2964083;Cellinker:14604834;Cellinker:2964083;Cellinker:7797478;Cellinker:9722981;DIP:11502794;DIP:17850746;DOMINO:18046459;HPMR:2852162;HPMR:2964083;HPRD:7797478;HPRD:9722981;LRdb:2964083;LRdb:7797478;LRdb:9722981;Lit-BM-17:11502794;Lit-BM-17:17850746;Lit-BM-17:18046459;SIGNOR:11867533;SPIKE:18046459;SPIKE:20980691;connectomeDB2020:2964083;connectomeDB2020:7797478;connectomeDB2020:9722981	29	Baccin2019:2964083;Baccin2019:7797478;Baccin2019:9722981;CellChatDB:14604834;CellTalkDB:2964083;Cellinker:14604834;Cellinker:2964083;Cellinker:7797478;Cellinker:9722981;DIP:11502794;DIP:17850746;DOMINO:18046459;HPMR:2852162;HPMR:2964083;HPRD:7797478;HPRD:9722981;LRdb:2964083;LRdb:7797478;LRdb:9722981;Lit-BM-17:11502794;Lit-BM-17:17850746;Lit-BM-17:18046459;SIGNOR:11867533;SPIKE:18046459;SPIKE:20980691;connectomeDB2020:2964083;connectomeDB2020:7797478;connectomeDB2020:9722981	19
