category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
ligand	ligand	OmniPath	generic	functional	composite	Q9UPX8	SHANK2	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95150	TNFSF15	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P10321	HLA-C	protein	6	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P80370	DLK1	protein	7	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UW88	EPGN	protein	12	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01258	CALCA	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01042	KNG1	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O43854	EDIL3	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P09544	WNT2	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P10600	TGFB3	protein	21	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P78556	CCL20	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P51884	LUM	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P19883	FST	protein	4	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8N907	DAND5	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q14563	SEMA3A	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q01113	IL9R	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	K9M1U5	IFNL4	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8NFR9	IL17RE	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q12841	FSTL1	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O43827	ANGPTL7	protein	4	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O15123	ANGPT2	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P15692	VEGFA	protein	20	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P58417	NXPH1	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P35443	THBS4	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q29983	MICA	protein	4	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UXN2	TREML4	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8WWZ1	IL1F10	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O14904	WNT9A	protein	8	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UXH8	CCBE1	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O60542	PSPN	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8WXG8	S100Z	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UY11	DLK2	protein	6	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95813	CER1	protein	4	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O15020	SPTBN2	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01229	LHB	protein	12	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q16363	LAMA4	protein	3	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P10092	CALCB	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P04090	RLN2	protein	12	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P98095	FBLN2	protein	7	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q16627	CCL14	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P60022	DEFB1	protein	6	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P23560	BDNF	protein	20	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P08311	CTSG	protein	2	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01213	PDYN	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P02774	GC	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P04628	WNT1	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P08949	NMB	protein	14	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96RP3	UCN2	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95389	CCN6	protein	5	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P26583	HMGB2	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P05305	EDN1	protein	17	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P16562	CRISP2	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9Y3E1	HDGFL3	protein	2	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O14905	WNT9B	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P80098	CCL7	protein	19	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	A0A2R8Y4Y8	OOSP4B	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P08700	IL3	protein	19	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9HCT0	FGF22	protein	15	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P04155	TFF1	protein	4	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P19971	TYMP	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9HCQ7	NPVF	protein	13	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P41161	ETV5	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8TAZ6	CMTM2	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96T91	GPHA2	protein	10	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01920	HLA-DQB1	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q5T7M4	C1QTNF12	protein	3	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O75094	SLIT3	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P0DMC3	APELA	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96JP5	ZFP91	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8NAU1	FNDC5	protein	3	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q13046	PSG7	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P20827	EFNA1	protein	10	TRUE	FALSE	TRUE	FALSE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	P01133	EGF	protein	19	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q13591	SEMA5A	protein	7	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q6UXB8	PI16	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NZV1	CRIM1	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9Y490	TLN1	protein	1	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q99988	GDF15	protein	9	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9UBP4	DKK3	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P55196	AFDN	protein	5	TRUE	FALSE	FALSE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NS15	LTBP3	protein	8	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9NRM6	IL17RB	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O75594	PGLYRP1	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q96GW7	BCAN	protein	3	TRUE	FALSE	TRUE	FALSE	TRUE
ligand	ligand	OmniPath	generic	functional	composite	P02652	APOA2	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P09038	FGF2	protein	18	TRUE	FALSE	TRUE	FALSE	FALSE
