hgnc_symbol	sc_beta_scRNA_Melton2019	h_beta_scRNA_Melton2019	SCbeta_Hbeta_scRNA_Melton2019
7SK	1	1	0
A1BG	1.497342404	4.420721746	1.561877762
A1CF	262.8459812	28.73469135	-3.193352219
A2M	1	1	0
A2ML1	1	4.07535286	2.026924979
A4GALT	3.618577477	1	-1.855422661
A4GNT	1	1	0
AAAS	53.21804462	33.36263443	-0.673682289
AACS	259.9448803	61.95917823	-2.068815827
AADAC	1	1	0
AADACL2	1	1	0
AADACL4	1	1	0
AADAT	7.486712022	4.144426637	-0.853159737
AAED1	17.34421618	52.28884941	1.59204868
AAGAB	41.48886246	30.25431445	-0.455583208
AAK1	133.9497559	100.9858624	-0.407538617
AAMDC	5.022335981	42.48037303	3.080365985
AAMP	60.54878348	55.46624316	-0.126487962
AANAT	1	1	0
AAR2	23.7079214	16.99214921	-0.48050084
AARD	5.989369618	7.667189279	0.356293629
AARS	72.12199248	100.7786411	0.482678749
AARS2	1.466147771	10.22291904	2.801704777
AARSD1	12.0411285	43.58555347	1.855879421
AASDH	28.35592178	15.26530478	-0.893393662
AASDHPPT	163.1167382	26.80062559	-2.605566249
AASS	3.961718445	2.417582205	-0.712561407
AATF	50.37933298	39.64834816	-0.34557126
AATK	19.46545126	15.817895	-0.299358168
ABALON	1	1	0
ABAT	281.1884257	45.86498812	-2.61607204
ABCA1	61.64059565	9.186812379	-2.746244533
ABCA10	10.4502022	3.039246201	-1.781745403
ABCA12	1	1	0
ABCA13	1	1	0
ABCA2	6.706846186	42.68759436	2.670110442
ABCA3	12.25949094	56.84771871	2.213203381
ABCA4	1	1	0
ABCA5	101.8816728	50.42385742	-1.014716159
ABCA6	1	1.5196231	0.603713548
ABCA7	14.06877967	12.1569848	-0.210711741
ABCA8	1	1.312401768	0.392209443
ABCA9	1	10.6373617	3.41106847
ABCB1	5.427866216	7.667189279	0.498312634
ABCB10	48.44526571	3.868131528	-3.646646929
ABCB4	2.838711642	2.210360873	-0.360954377
ABCB5	1	3.729983974	1.899169432
ABCB6	3.025879442	1	-1.597354509
ABCB7	8.01702079	8.91051727	0.152442969
ABCB8	5.022335981	10.22291904	1.025376751
ABCB9	11.6667929	19.68602653	0.754763912
ABCC1	18.15527665	6.009418624	-1.595091584
ABCC10	33.19108996	5.59497596	-2.568592169
ABCC11	1	1	0
ABCC12	1	1	0
ABCC2	1	1	0
ABCC3	1	38.54316773	5.268403241
ABCC4	3.088268709	1.795918209	-0.782076639
ABCC5	55.5264475	19.68602653	-1.496003154
