Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
B2M	0	3.041265065	0.995	0.973	0
RPL31	0	2.842677538	0.996	0.986	0
RBP4	8.21E-199	2.791241075	0.715	0.522	1.69E-194
RPS17	0	2.720427541	0.99	0.612	0
TUBA1B	0	2.494290627	0.981	0.865	0
SPP1	1.90E-108	2.484526636	0.229	0.012	3.93E-104
RPL17	0	2.426076762	0.982	0.595	0
RASD1	0	2.377418421	0.798	0.053	0
SHISAL2B	0	2.180583254	0.763	0.133	0
PEMT	0	2.12317654	0.875	0.442	0
RPL27A	0	2.009495306	0.995	0.992	0
RPL15	0	1.987008333	0.996	0.998	0
SCGB2A1	0	1.979360625	0.743	0.049	0
RPL26	0	1.953383643	0.995	0.996	0
RPS6	0	1.926812665	0.997	0.999	0
RPS4X	0	1.925320196	0.997	1	0
NPTX2	0	1.924258024	0.794	0.236	0
RPL36A	0	1.88229919	0.976	0.797	0
RPS25	0	1.86917766	0.996	0.998	0
RPL7	0	1.868312385	0.99	0.997	0
FTH1	3.91E-237	1.846341818	0.991	0.999	8.06E-233
MIF	0	1.824964112	0.979	0.878	0
RPS18	0	1.809847256	0.997	0.999	0
CHGB	0	1.794787589	0.908	0.887	0
GSN	0	1.779034779	0.856	0.449	0
RPS20	0	1.765724117	0.993	0.995	0
RPL32	0	1.729668713	0.996	0.999	0
HLA-B	0	1.718653205	0.731	0.066	0
MTRNR2L10	0	1.706206781	0.883	0.063	0
HLA-A	0	1.703198928	0.936	0.867	0
RPL11	0	1.687131257	0.997	0.999	0
CHCHD2	0	1.679379744	0.981	0.959	0
RPL13A	0	1.67089447	0.998	1	0
RPLP2	0	1.617224326	0.995	0.999	0
PPY	1.82E-109	1.612640544	0.221	0.008	3.74E-105
ID1	1.37E-100	1.599959898	0.465	0.279	2.82E-96
CIRBP	0	1.595393975	0.988	0.981	0
GCG	3.64E-161	1.581458428	0.415	0.072	7.50E-157
RPS7	0	1.573841942	0.994	0.995	0
MTRNR2L8	0	1.570508297	0.952	0.882	0
EIF4A2	0	1.554519998	0.994	0.988	0
RPL6	0	1.550136958	0.996	1	0
SLC30A8	0	1.525757061	0.904	0.718	0
RPL10A	0	1.510698742	0.987	0.995	0
RPL23A	0	1.501452547	0.996	0.998	0
RPL35	0	1.489825806	0.993	0.996	0
SST	7.30E-07	1.467604528	0.111	0.128	0.015051639
RPL8	0	1.464053442	0.997	0.999	0
RPL38	0	1.451517266	0.991	0.993	0
RPS15	0	1.449099166	0.998	1	0
NPY	8.97E-165	1.446809426	0.276	0	1.85E-160
OAZ1	0	1.411932637	0.993	0.995	0
RPL4	0	1.401361935	0.994	0.997	0
ID3	2.22E-88	1.389781697	0.348	0.123	4.58E-84
RPL5	0	1.387632138	0.997	0.998	0
RPL12	0	1.384139783	0.995	1	0
HLA-C	0	1.38378536	0.834	0.614	0
RBP1	1.14E-289	1.383653611	0.707	0.348	2.35E-285
RPS14	0	1.38125352	0.995	1	0
RPL13	0	1.356137472	0.997	1	0
RPS10	0	1.340603604	0.99	0.987	0
SCG2	1.74E-257	1.338342258	0.736	0.349	3.60E-253
RPL21	0	1.336161849	0.997	1	0
RPS3	0	1.321250166	0.998	0.998	0
BTG3	0	1.320511542	0.771	0.47	0
ISCU	0	1.318212706	0.878	0.732	0
SLC25A6	0	1.306199413	0.982	0.984	0
SCGN	0	1.299697678	0.988	0.991	0
RPL19	0	1.288564248	0.997	0.999	0
RPL24	0	1.281676233	0.994	0.998	0
RPL27	0	1.267811358	0.985	0.991	0
SAMD11	2.94E-306	1.261673219	0.723	0.415	6.07E-302
RPL18A	0	1.256501309	0.995	0.998	0
RPS15A	0	1.254683937	0.995	0.999	0
RPL35A	0	1.250236905	0.994	1	0
MEIS2	0	1.246627363	0.725	0.048	0
DEPP1	5.09E-84	1.243416546	0.484	0.322	1.05E-79
RPL22	0	1.239167395	0.99	0.992	0
RPS23	0	1.236757631	0.997	1	0
NAA20	0	1.217470723	0.866	0.808	0
RPS16	0	1.213077797	0.992	0.996	0
RPL14	0	1.207658828	0.995	1	0
RPS8	0	1.207120818	0.997	1	0
TMSB4X	6.10E-155	1.190742398	0.832	0.93	1.26E-150
RPL7A	0	1.185342006	0.998	1	0
TPPP3	3.82E-267	1.179882431	0.563	0.099	7.88E-263
HSPB1	1.72E-119	1.171205275	0.552	0.317	3.55E-115
NACA	0	1.167976394	0.988	0.995	0
RPS2	1.85E-204	1.157850475	0.987	0.999	3.82E-200
RPL36	0	1.152896072	0.996	0.999	0
TOMM7	0	1.141748085	0.979	0.989	0
SNRPD2	0	1.137402541	0.932	0.925	0
IGFBP7	3.07E-217	1.133690604	0.652	0.452	6.32E-213
DSTN	0	1.125381624	0.98	0.988	0
COX4I1	0	1.12394161	0.986	0.996	0
RPS27	0	1.119160911	0.997	0.998	0
EIF3H	0	1.111981657	0.932	0.955	0
H3F3B	0	1.110652295	0.978	0.98	0
RPL34	1.29E-184	1.108435814	0.971	1	2.66E-180
RPS27A	0	1.099532533	0.997	0.999	0
RPL41	0	1.097465002	0.998	1	0
PPA1	0	1.090200982	0.925	0.954	0
RPS5	0	1.078994002	0.993	0.995	0
CALM2	0	1.07263513	0.987	0.996	0
CPE	5.02E-147	1.071549755	0.965	0.989	1.04E-142
