Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q15274	QPRT	198881	9832	20.2282472	3.21E-54
Q9Y6M1	IGF2BP2	202824	6812	29.7747791	7.43E-51
Q7Z5P4	HSD17B13	786	6179	0.1272246	1.88E-43
Q9UHD8	SEPTIN9	103630	46393	2.2337207	4.96E-42
Q9H6R3	ACSS3	14343	4418	3.2468431	2.90E-38
P43490	NAMPT	39539	98574	0.4011143	1.45E-37
P02647	APOA1	239276	7718	31.0041287	1.24E-34
Q96AY3	FKBP10	46730	10127	4.6145353	4.54E-32
Q9H3G5	CPVL	188001	8810	21.3400441	4.07E-29
Q9NUD5	ZCCHC3	12748	4794	2.6588279	5.93E-28
O75874	IDH1	191426	97547	1.9623877	1.13E-27
P15085	CPA1	3604	436049	0.008264	1.07E-27
O14910	LIN7A	6829	1426	4.7878972	1.64E-27
P58215	LOXL3	7273	1019	7.1358161	7.66E-27
P00492	HPRT1	40549	95701	0.4237028	8.34E-27
Q9NSD9	FARSB	64363	121337	0.5304465	9.68E-27
Q53FA7	TP53I3	92814	28385	3.2698214	1.05E-25
P02760	AMBP	156369	5438	28.7557938	3.15E-25
O00116	AGPS	33661	15475	2.1751186	1.03E-24
Q9Y2I1	NISCH	15091	45290	0.3332186	2.02E-24
P04350	TUBB4A	446770	190111	2.3500516	4.42E-24
O95954	FTCD	64130	11627	5.5154693	7.41E-24
P78330	PSPH	36556	16632	2.1979799	7.67E-24
P52564	MAP2K6	28460	9970	2.8544667	8.47E-24
P55212	CASP6	7862	3107	2.5301826	1.13E-23
P30086	PEBP1	340125	821525	0.4140159	2.78E-23
P35580	MYH10	177551	94899	1.8709443	2.80E-23
Q5T013	HYI	8594	20827	0.4126506	2.77E-23
O43602	DCX	67173	2708	24.8088529	2.99E-23
Q9Y285	FARSA	64222	120063	0.5349017	3.52E-23
P51692	STAT5B	15107	31697	0.4766074	2.41E-22
Q16643	DBN1	129049	25719	5.0176104	4.17E-22
Q99962	SH3GL2	38904	101077	0.3848911	4.28E-22
Q8IYQ7	THNSL1	10250	29927	0.342511	5.40E-22
P54253	ATXN1	4329	438	9.8802472	5.76E-22
P53634	CTSC	120087	15126	7.938905	9.21E-22
P16152	CBR1	29778	83480	0.3567038	1.21E-21
P30711	GSTT1	17325	51694	0.3351519	1.18E-21
Q6NUQ4	TMEM214	10621	19827	0.5356691	1.42E-21
O43148	RNMT	27494	14819	1.8552591	2.02E-21
Q99856	ARID3A	15706	3216	4.8832296	2.09E-21
Q9Y6N9	USH1C	34402	4371	7.8699612	2.24E-21
P23381	WARS1	50249	90893	0.5528398	2.46E-21
P20711	DDC	560895	27064	20.7249933	2.64E-21
P26038	MSN	292023	584001	0.5000377	3.16E-21
Q5T160	RARS2	6270	13432	0.4667609	4.60E-21
Q99829	CPNE1	65317	40161	1.6263636	4.95E-21
Q9GZT4	SRR	5881	2825	2.0818578	7.77E-21
P11766	ADH5	124512	72824	1.7097605	1.03E-20
Q9NPH0	ACP6	4665	13351	0.349426	1.29E-20
Q9Y5P6	GMPPB	48182	98165	0.4908202	2.58E-20
Q96CP2	FLYWCH2	24979	11387	2.1935674	3.98E-20
P25325	MPST	56409	22076	2.5551941	5.81E-20
Q9UGP8	SEC63	25103	49787	0.5042151	6.03E-20
P23528	CFL1	531479	302785	1.7553009	8.60E-20
P04439	HLA-A	15366	75970	0.2022697	1.25E-19
P10645	CHGA	3503508	107323	32.6445804	1.25E-19
Q9UL12	SARDH	11711	44827	0.2612452	1.23E-19
P12109	COL6A1	30871	314348	0.0982069	1.57E-19
Q9H0R4	HDHD2	44130	85949	0.5134423	2.32E-19
Q9Y4P3	TBL2	10558	23806	0.4434936	2.46E-19
P19971	TYMP	6124	32368	0.1891978	2.98E-19
P42898	MTHFR	14190	6816	2.0819146	3.04E-19
P36551	CPOX	20972	11029	1.9015716	3.35E-19
Q9NVS9	PNPO	12025	42169	0.2851675	3.36E-19
Q92820	GGH	87085	8233	10.577411	6.34E-19
P49770	EIF2B2	14016	20076	0.6981305	8.20E-19
Q9Y6K1	DNMT3A	5243	1290	4.0642586	1.16E-18
P30084	ECHS1	75830	125086	0.6062229	1.41E-18
Q13451	FKBP5	16413	71716	0.2288684	1.56E-18
Q96TA1	NIBAN2	22429	67799	0.3308197	1.54E-18
O60825	PFKFB2	30250	385998	0.0783677	1.76E-18
Q9BYI3	FAM126A	4639	1824	2.5435302	1.89E-18
P46734	MAP2K3	4989	11335	0.4401674	2.15E-18
Q15633	TARBP2	11283	5882	1.9181776	2.28E-18
Q8WX93	PALLD	19392	48109	0.4030774	2.42E-18
P07478	PRSS2	6928	556600	0.0124462	2.93E-18
Q9HC07	TMEM165	5132	20414	0.2513921	3.14E-18
O95154	AKR7A3	2269	25433	0.0892315	3.64E-18
Q9NY33	DPP3	80296	47076	1.705651	5.01E-18
P0C0L5	C4B	8391	23699	0.354074	6.49E-18
Q9BSD7	NTPCR	10448	22228	0.4700304	6.69E-18
Q99747	NAPG	13939	25149	0.5542594	7.53E-18
Q7Z6G3	NECAB2	1780	5065	0.351492	7.95E-18
Q9BY32	ITPA	32001	22939	1.3950334	9.61E-18
O00462	MANBA	30071	4524	6.6471288	9.53E-18
Q8WUY3	PRUNE2	16065	46314	0.3468716	1.63E-17
