Protein.Ids	Genes	sorted.avg	sorted.CV	sorted.%	unsorted.avg	unsorted.CV	unsorted.%	stem.mean	stem.CV	stem.%	ND.mean	ND.CV	ND.%	T2D.mean	T2D.CV	T2D.%	human.mean	human.CV	human.%
A0A024RBG1	NUDT4B	2256.06	53	100	1635.16	54	100	1876.62	55	100	2236.11	32	97	2350.29	23.54343281	100	2249.29	30.7152249	97.7443609
A0A075B6H7	IGKV3-7	7136.68	19	29			0	7136.68	19	11	8180.73	78	8	8185.46		6.666666667	8181.16	74.27008287	8.270676692
A0A075B6K5	IGLV3-9	163.52		14			0	163.52		6	390.08	87	4			0	390.08	86.93302166	3.759398496
A0A0B4J2D5	GATD3B	45934.40	14	100	63295.92	30	100	56544.22	31	100	74197.62	17	100	68441.65	12.84296735	100	73548.45	16.83645973	100
A0A0B4J2F0	PIGBOS1	3308.99	21	57	4147.79	24	100	3924.11	25	83	4242.68	33	84	3783.60	27.0293918	80	4193.05	32.4813817	83.45864662
A0A0U1RRI6	CENPVL3	88379.40	18	100	130632.26	20	100	114200.59	27	100	24667.76	30	100	28187.04	21.85161134	100	25064.67	29.28910557	100
A0A1B0GWB2	PRRT1B	5596.65	54	100	6070.30	18	100	5886.10	34	100	5595.30	32	82	5304.74	25.80311617	60	5570.63	31.64188801	79.69924812
A0AV02	SLC12A8	1343.46	26	29	1049.84	38	27	1167.29	31	28	1669.06	29	96	1642.88	28.66348203	100	1665.99	29.29074246	96.2406015
A0AV96	RBM47	4815.22	22	100	4646.31	36	100	4711.99	30	100	9494.85	17	100	10741.96	21.27668193	100	9635.50	18.12652773	100
A0AVF1	TTC26	29594.07	19	100	35810.01	16	100	33392.70	19	100	34156.05	16	100	34508.08	22.19492213	100	34195.75	16.61482882	100
A0AVI4	TMEM129	318.95	25	71	350.67	66	91	340.10	56	83	311.77	46	64	292.55	32.49345888	73.33333333	309.34	44.21141806	65.41353383
A0AVT1	UBA6	34588.22	14	100	35253.75	7	100	34994.93	10	100	35357.53	9	100	33529.10	13.79342152	100	35151.32	9.455253579	100
A0FGR8	ESYT2	24641.37	12	100	20852.29	14	100	22325.82	15	100	23797.72	11	100	24709.93	11.69703325	100	23900.60	11.50658923	100
A0JNW5	UHRF1BP1L	3586.85	21	100	2994.81	22	100	3225.05	23	100	3525.00	20	100	3226.05	24.3187472	100	3491.29	20.39288468	100
A0MZ66	SHTN1	33037.64	12	100	27261.46	17	100	29507.75	17	100	39501.42	12	100	38979.92	11.04634595	100	39442.60	11.59371069	100
A0PJW6	TMEM223	5039.92	11	100	5351.57	20	100	5230.37	18	100	5344.26	24	97	4605.74	25.61236796	93.33333333	5263.49	24.8690115	96.2406015
A1A4S6	ARHGAP10	112850.74	56	100	77937.26	24	100	91514.72	48	100	94274.15	26	100	97646.10	27.25443384	100	94654.44	25.93516307	100
A1IGU5	ARHGEF37	3814.76	102	43	2935.55	70	73	3175.34	78	61	4023.83	23	100	4476.75	21.46405223	100	4074.91	23.22956189	100
A1L0T0	ILVBL	27865.59	16	100	30771.90	18	100	29641.67	18	100	34892.84	12	100	33610.36	10.64925554	100	34748.20	11.84193105	100
A1L390	PLEKHG3	12879.85	17	100	11579.83	19	100	12085.40	18	100	12409.12	19	99	14117.40	15.41674555	100	12603.25	18.70802325	99.2481203
A1X283	SH3PXD2B	27905.78	6	100	27336.09	22	100	27557.64	17	100	9681.84	22	100	12955.63	15.75035485	100	10051.07	23.3379534	100
A1XBS5	FAM92A	1246.72	54	71	984.07	34	82	1077.88	44	78	939.56	42	54	837.73	58.38030555	66.66666667	925.80	43.53604019	55.63909774
A1Z1Q3	MACROD2	4353.34	23	100	3680.87	15	100	3942.39	21	100	5806.06	24	100	4645.49	27.88186202	100	5675.17	24.74784734	100
A2AJT9	BCLAF3	5080.53	51	71	5493.09	57	82	5345.74	53	78	5827.11	52	51	9224.28	109.9759984	60	6270.22	73.61126803	51.87969925
A2RRP1	NBAS	10412.37	13	100	11333.52	9	100	10975.29	11	100	13151.42	11	100	12776.18	11.15401452	100	13109.10	11.27457499	100
A2RTX5	TARS3	5045.56	18	100	5433.70	20	100	5282.76	19	100	6427.14	15	100	5857.36	26.66470717	100	6362.88	16.5949638	100
A2RU67	FAM234B	4081.88	25	100	2592.78	28	100	3171.88	35	100	5527.96	21	100	4878.47	45.64914783	100	5454.71	24.66229372	100
A2RUC4	TYW5	3562.46	29	100	3369.43	22	100	3444.50	24	100	3996.84	25	97	3669.40	25.37796475	100	3959.06	24.84350336	97.7443609
A3KMH1	VWA8	15346.56	12	100	18036.05	21	100	16990.14	20	100	21672.94	30	100	17914.02	36.30008007	100	21249.00	31.2548617	100
A3KN83	SBNO1	3602.33	11	100	3953.29	21	100	3816.81	18	100	4364.29	15	100	4415.50	15.01673866	100	4370.07	15.04755032	100
A4D126	CRPPA	3661.72	42	100	4058.90	20	100	3904.44	29	100	5142.32	17	100	5180.70	19.03986042	100	5146.65	17.06955872	100
A4D161	FAM221A	1084.39	40	100	1043.08	19	73	1062.36	30	83	1062.13	35	67	983.91	43.31062215	66.66666667	1053.34	36.07377875	66.91729323
A4D1B5	GSAP			0			0			0	1400.16	35	68	1657.27	26.47358202	46.66666667	1420.84	34.07279349	65.41353383
A4D1E9	GTPBP10	5371.47	27	100	4915.77	14	100	5092.99	20	100	8298.71	17	100	8144.19	19.47315372	100	8281.28	16.92556435	100
A4D1P6	WDR91	3273.09	15	100	4900.66	24	100	4267.72	29	100	6317.02	11	100	6740.34	6.390100993	100	6364.76	10.54277505	100
A4D1S5	RAB19	16926.25	39	100	12003.96	15	100	13918.19	34	100	15152.93	14	100	15258.45	11.32870536	100	15164.83	14.00930915	100
A4D1U4	DENND11	3370.93	23	100	3329.75	15	100	3345.77	18	100	4397.41	14	100	4149.29	26.47341925	100	4369.43	16.05633984	100
A4D2B0	MBLAC1	2774.41	30	86	2887.74	23	100	2847.74	24	94	3443.38	29	77	2721.24	25.78034315	80	3359.25	29.20460045	77.44360902
A4FU01	MTMR11	9422.25	57	100	10876.49	41	100	10310.96	46	100	21757.48	49	100	19541.85	38.11913458	100	21507.60	48.53172723	100
A5D8V6	VPS37C	5427.65	37	100	5777.45	16	100	5641.42	25	100	6141.64	19	100	5988.10	22.58350327	100	6124.33	19.07838043	100
A5PLN9	TRAPPC13	10495.76	13	100	9814.05	6	100	10079.16	10	100	11939.92	11	100	10979.12	12.24127825	100	11831.56	11.59658876	100
A5YKK6	CNOT1	32781.33	13	100	33098.62	9	100	32975.23	10	100	24697.21	11	100	26027.39	12.15372482	100	24847.23	11.56917093	100
A6NCC3	GOLGA8O			0	602.90	73	18	602.90	73	11	1688.14	53	72	2468.21	85.82529312	73.33333333	1777.52	62.3779404	72.18045113
A6NCE7	MAP1LC3B2	139534.57	24	100	112548.55	19	100	123043.11	24	100	112653.59	20	100	95236.03	27.05874012	100	110689.20	21.34226463	100
A6NCS6	C2orf72	4430.32	43	100	5367.14	29	100	5002.82	34	100	1865.91	55	27	2217.47	39.09163804	26.66666667	1904.98	52.31212629	27.06766917
A6ND36	FAM83G	1328.35	28	43	3121.20	22	27	2224.77	49	33	2282.26	42	87	2797.58	32.17023711	100	2347.76	41.29541317	88.72180451
A6NDB9	PALM3	39887.10		14	6900.96	117	27	15147.50	117	22	8427.22	116	68	8821.40	58.28529949	73.33333333	8474.87	109.9694574	68.42105263
A6NDG6	PGP	33771.89	13	100	33803.15	20	100	33790.99	17	100	19630.39	12	100	19279.14	14.07488036	100	19590.78	11.98827777	100
A6NDU8	C5orf51	4221.47	64	100	2500.01	26	100	3169.47	59	100	2331.38	53	69	2028.27	34.61978713	46.66666667	2307.54	51.64078927	66.91729323
A6NE02	BTBD17	16365.92	27	100	9869.06	38	100	12395.62	41	100	727.59	51	70	867.89	43.47334884	73.33333333	744.00	50.28081222	70.67669173
A6NED2	RCCD1	3709.78	9	100	3829.65	12	100	3783.04	11	100	3145.41	19	100	3723.49	23.01635018	100	3210.61	20.590149	100
A6NEL2	SOWAHB	3707.86	33	71	2100.34	37	100	2602.69	45	89	2829.47	30	95	2296.52	28.29665004	93.33333333	2770.25	30.18065096	94.73684211
A6NFI3	ZNF316	4191.52	5	100	4553.57	23	100	4412.77	19	100	2505.69	26	100	2748.75	32.56428823	100	2533.10	26.88652153	100
A6NFQ2	TCAF2	12184.41	87	57	14899.78	70	36	13542.10	73	44	38691.08	30	100	23446.56	42.28747785	100	36971.78	33.85214268	100
A6NGB9	WIPF3	127.93	56	86	182.85	45	100	163.47	49	94	210.48	49	78	266.27	27.83785726	86.66666667	217.39	46.39061485	78.94736842
A6NHQ2	FBLL1	114730.01	19	100	93138.67	17	100	101535.30	21	100	101726.70	20	100	110385.97	39.91990326	100	102703.31	23.80828237	100
A6NHR9	SMCHD1	10659.17	17	100	13984.59	14	100	12691.37	20	100	9158.34	12	100	9708.70	13.70776794	100	9220.41	11.94723309	100
A6NHX0	CASTOR2	8502.12	21	100	6426.68	24	100	7233.79	26	100	6032.94	28	100	6254.69	32.60034144	100	6057.95	28.41597238	100
A6NI28	ARHGAP42	1166.20	79	71	1106.43	46	82	1127.78	58	78	1179.23	68	82	977.29	80.39550332	93.33333333	1153.76	69.47156531	83.45864662
A6NIH7	UNC119B	25502.26	12	100	24954.27	13	100	25167.38	13	100	23711.09	13	100	21924.34	15.7973578	100	23509.57	13.38941084	100
A6NJ78	METTL15	2837.26	13	100	3316.71	18	100	3130.26	18	100	4711.03	22	100	4048.40	25.51268665	100	4636.30	23.14050409	100
A6NK58	LIPT2	6715.63	27	100	9464.78	14	100	8395.67	24	100	7971.07	25	99	7679.17	33.92346166	93.33333333	7939.88	26.08888305	98.4962406
A6NKD9	CCDC85C	349.22	36	100	407.06	42	100	384.56	40	100	321.37	54	92	390.14	64.75110725	100	329.69	56.34922624	93.23308271
A6NKF1	SAC3D1	102.06		14	230.47	134	55	212.13	135	39	673.92	84	72	1054.96	104.9233208	60	710.40	89.77097065	70.67669173
A6NKT7	RGPD3	12936.73	15	100	12868.11	14	100	12894.79	14	100	13402.58	13	100	13400.33	12.62001955	100	13402.33	13.03582076	100
A6NKW6	SHISAL2B	1966.31		14	769.95	86	18	1168.74	71	17	3604.96	58	97	2790.84	61.57629124	80	3527.43	58.30418087	94.73684211
A6NLJ0	C2CD4B	1741.65	88	57	1807.97	18	27	1770.07	62	39	12690.96	40	100	12498.66	38.23846887	100	12669.28	39.60147261	100
A6NM10	AQP12B			0	380.35		9	380.35		6	1947.38	188	70	2109.53	122.346455	80	1967.86	179.3620041	71.42857143
A6NM28	ZFP92	197.78		14	102.31	34	27	126.18	44	22	281.09	58	75	267.57	31.32850355	60	279.85	56.15956647	73.68421053
A6NMZ7	COL6A6	8225.64	75	71	11916.62	66	73	10497.01	69	72	12540.20	110	96	11421.53	53.68691716	86.66666667	12424.78	106.0782362	94.73684211
A6NNZ2	TUBB8B	2670.89	32	100	2535.25	46	100	2588.00	40	100	1711.11	61	91	2162.41	44.12089788	93.33333333	1763.33	58.80807654	90.97744361
A6QL63	BTBD11	2893.86	34	100	2595.53	30	91	2718.37	31	94	3182.84	27	92	3407.81	22.37698955	80	3205.15	26.40276484	90.97744361
