hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_down_in_eBC_score	SCbeta_scRNA_melton2019_score	scRNA_down_in_SCbeta_melton2019_score	scRNA_down_in_SCbeta_balboa2022_score	sc_islet_bulk_rna_score	bulkRNA_down_in_SCislet_score	all_sc_proteomics_score	proteomics_down_in_sc_score	aggregate_score
ACKR1	0.2988505747126437	0.5747126436781609	0	0.3103448275862069	0	0	0.46839080459770116	0	0.11494252873563218	0	0.32471264367816094
ACKR2	0.5201149425287356	0.4827586206896552	0	0.4511494252873563	0	0	0.42528735632183906	0	0.11494252873563218	0	0.3649425287356322
ACKR3	0.7212643678160919	0.5977011494252874	0	0.4511494252873563	0	0	0.6637931034482759	0	0.11494252873563218	0	0.5201149425287356
ACKR4	0.7212643678160919	0.7270114942528736	0	0.4511494252873563	0	0	0.6810344827586207	0	0.11494252873563218	0	0.5488505747126436
ACVR1	0.14655172413793102	0.14655172413793102	0	0.09482758620689655	0	0	0.10632183908045977	0	0.11494252873563218	0	0.10057471264367816
ACVR1B	0.08333333333333333	0.05747126436781609	0	0.04310344827586207	0	0	0.08333333333333333	0	0.08333333333333333	0	0.03735632183908046
ACVR1C	0	0.21839080459770116	0	0	0	0	0	0	0.11494252873563218	0	0.04885057471264368
ACVR2A	0.1925287356321839	0.10632183908045977	0	0.16954022988505746	0	0	0.13505747126436782	0	0.11494252873563218	0	0.1206896551724138
ACVR2B	0.07183908045977011	0.014367816091954023	0	0.08045977011494253	0	0	0.06896551724137931	0	0.11494252873563218	0	0.028735632183908046
ACVRL1	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.6637931034482759	0.8735632183908046	0.11494252873563218	0	0.8649425287356322
ADCYAP1R1	0.7212643678160919	0.5977011494252874	0	0.4511494252873563	0	0	0.7270114942528736	0	0.11494252873563218	0	0.5488505747126436
ADIPOR1	0.11206896551724138	0.09770114942528736	0	0.031609195402298854	0	0	0.10057471264367816	0	0.11494252873563218	0	0.07183908045977011
ADIPOR2	0.08908045977011494	0.040229885057471264	0	0.09195402298850575	0	0	0.09482758620689655	0	0.11494252873563218	0	0.0603448275862069
AGTR1	0.5459770114942529	0.4942528735632184	0	0.3620689655172414	0	0	0.4482758620689655	0	0.11494252873563218	0	0.35919540229885055
AGTR2	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
ALK	0.6609195402298851	0.6120689655172413	0	0.4511494252873563	0	0	0.5948275862068966	0.8879310344827587	0.11494252873563218	0	0.8132183908045977
AMHR2	0.5459770114942529	0.41379310344827586	0	0.34770114942528735	0	0	0.4540229885057471	0	0.11494252873563218	0	0.3448275862068966
APLNR	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9425287356321839	0.11494252873563218	0	0.9109195402298851
AVPR1A	0.6609195402298851	0.7586206896551724	0	0.4511494252873563	0	0	0.7270114942528736	0	0.11494252873563218	0	0.5488505747126436
AVPR1B	0.6609195402298851	0.7270114942528736	0	0.8620689655172413	0	0	0.41379310344827586	0	0.04597701149425287	0	0.5660919540229885
AVPR2	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
AXL	0.5804597701149425	0.5028735632183908	0	0.4511494252873563	0	0	0.5603448275862069	0	0.11494252873563218	0	0.41379310344827586
BAMBI	0.3563218390804598	0.3132183908045977	0	0.07471264367816093	0	0	0.22701149425287356	0	0.11494252873563218	0	0.1810344827586207
BDKRB1	0.6120689655172413	0.8247126436781609	0	0.4511494252873563	0	0	0.6954022988505747	0.8390804597701149	0.11494252873563218	0	0.8362068965517241
BDKRB2	0.3017241379310345	0.49712643678160917	0	0.3103448275862069	0	0	0.3936781609195402	0.8793103448275862	0.11494252873563218	0	0.5114942528735632
BMPR1A	0.14367816091954022	0.05172413793103448	0	0.10344827586206896	0	0	0.08908045977011494	0	0.11494252873563218	0	0.07758620689655173
BMPR1B	0.5804597701149425	0.4885057471264368	0	0.4511494252873563	0	0	0.5488505747126436	0	0.11494252873563218	0	0.4051724137931034
BMPR2	0.04310344827586207	0.011494252873563218	0	0.10057471264367816	0	0	0.05172413793103448	0	0.11494252873563218	0	0.02586206896551724
BRS3	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.7270114942528736	0	0.11494252873563218	0	0.5977011494252874
C3AR1	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9568965517241379	0.11494252873563218	0	0.9195402298850575
C5AR1	0.5201149425287356	0.5114942528735632	0	0.4511494252873563	0.8850574712643678	0	0.33620689655172414	0	0.11494252873563218	0	0.646551724137931
C5AR2	0.45977011494252873	0.40229885057471265	0	0.4511494252873563	0.9511494252873564	0	0.8103448275862069	0.9339080459770115	0.11494252873563218	0	0.9626436781609196
CALCR	0.6609195402298851	0.6522988505747126	0	0.3333333333333333	0	0	0.5	0	0.11494252873563218	0	0.4109195402298851
CALCRL	0.5804597701149425	0.5545977011494253	0	0.4511494252873563	0.8764367816091954	0	0.49712643678160917	0	0.11494252873563218	0	0.7040229885057471
CCKAR	0.7212643678160919	0.6896551724137931	0	0.4511494252873563	0	0	0.5545977011494253	0	0.11494252873563218	0	0.4885057471264368
CCKBR	0.1752873563218391	0.27873563218390807	0	0.2614942528735632	0	0	0.3764367816091954	0	0.11494252873563218	0	0.20402298850574713
CCR1	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9425287356321839	0.11494252873563218	0	0.9109195402298851
CCR10	0.4166666666666667	0.40229885057471265	0	0.3620689655172414	0.8649425287356322	0	0.6264367816091954	0.853448275862069	0.11494252873563218	0	0.882183908045977
CCR2	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
CCR3	0.7212643678160919	0.7586206896551724	0	0.8620689655172413	0	0	0.8103448275862069	0.9339080459770115	0.11494252873563218	0	0.9568965517241379
CCR4	0.6120689655172413	0.6379310344827587	0	0.4511494252873563	0.9166666666666666	0	0.7528735632183908	0	0.11494252873563218	0	0.853448275862069
CCR5	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9425287356321839	0.11494252873563218	0	0.9109195402298851
CCR6	0.5804597701149425	0.5114942528735632	0	0.4511494252873563	0.896551724137931	0	0.8103448275862069	0.9022988505747126	0.11494252873563218	0	0.9885057471264368
CCR7	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9942528735632183	0.11494252873563218	0	0.9281609195402298
CCR8	0.7212643678160919	0.7959770114942529	0	0.8620689655172413	0	0	0.8103448275862069	0.9568965517241379	0.11494252873563218	0	0.9655172413793104
CCR9	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0.9425287356321839	0.11494252873563218	0	0.9683908045977011
CCRL2	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.8103448275862069	0.9339080459770115	0.11494252873563218	0	0.9080459770114943
CD27	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.7528735632183908	0	0.11494252873563218	0	0.6120689655172413
CMKLR2	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
CNTFR	0.6120689655172413	0.5545977011494253	0	0.4511494252873563	0	0	0.6206896551724138	0	0.11494252873563218	0	0.4425287356321839
CRHR1	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.7528735632183908	0.896551724137931	0.11494252873563218	0	0.8793103448275862
CRHR2	0.3994252873563218	0.7586206896551724	0	0.4511494252873563	0	0	0.5718390804597702	0	0.11494252873563218	0	0.40229885057471265
CRLF1	0.45977011494252873	0.6522988505747126	0	0.4511494252873563	0.8477011494252874	0	0.6637931034482759	0.8304597701149425	0.11494252873563218	0	0.9425287356321839
CSF1R	0.5804597701149425	0.6120689655172413	0	0.4511494252873563	0	0	0.6350574712643678	0	0.11494252873563218	0	0.45689655172413796
CSF2RA	0.4454022988505747	0.4367816091954023	0	0.4511494252873563	0.9741379310344828	0	0.8103448275862069	0	0.11494252873563218	0	0.8017241379310345
CSF2RB	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.7270114942528736	0	0.11494252873563218	0	0.5977011494252874
CSF3R	0.4827586206896552	0.6522988505747126	0	0.4511494252873563	0.9339080459770115	0	0.7528735632183908	0	0.11494252873563218	0	0.8218390804597702
CX3CR1	0.7212643678160919	0.8247126436781609	0	0.4511494252873563	0	0	0.6350574712643678	0	0.11494252873563218	0	0.5632183908045977
CXCR1	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
CXCR2	0.7212643678160919	0.6896551724137931	0	0.4511494252873563	0.9712643678160919	0	0.8103448275862069	0	0.11494252873563218	0	0.8936781609195402
CXCR3	0.6609195402298851	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7298850574712644
CXCR4	0.22413793103448276	0.39655172413793105	0	0.16666666666666666	0	0	0.5	0	0.11494252873563218	0	0.2557471264367816
CXCR5	0.6609195402298851	0.6522988505747126	0	0.4511494252873563	0	0	0.8103448275862069	0	0.11494252873563218	0	0.5747126436781609
CXCR6	0.7212643678160919	0.7586206896551724	0	0.8620689655172413	0	0	0.7528735632183908	0	0.11494252873563218	0	0.7126436781609196
DCC	0.06896551724137931	0.16666666666666666	0	0.07183908045977011	0	0	0.13218390804597702	0	0.11494252873563218	0	0.09482758620689655
DDR1	0.022988505747126436	0.08333333333333333	0	0.005747126436781609	0	0	0.011494252873563218	0	0.03735632183908046	0.985632183908046	0.1839080459770115
DDR2	0.3994252873563218	0.28448275862068967	0	0.34195402298850575	0	0	0.4396551724137931	0.8275862068965517	0.11494252873563218	0	0.47126436781609193
EDA2R	0.6120689655172413	0.45977011494252873	0	0.3936781609195402	0	0	0.47701149425287354	0.8620689655172413	0.11494252873563218	0	0.6666666666666666
EDAR	0.7212643678160919	0.6896551724137931	0	0.4511494252873563	0	0	0.5373563218390804	0	0.11494252873563218	0	0.4827586206896552
EDNRA	0.6609195402298851	0.5258620689655172	0	0.4511494252873563	0	0	0.6120689655172413	0	0.11494252873563218	0	0.4511494252873563
EDNRB	0.7212643678160919	0.6522988505747126	0	0.4511494252873563	0	0	0.6522988505747126	0	0.11494252873563218	0	0.5258620689655172
EGFR	0.23850574712643677	0.10919540229885058	0	0.3793103448275862	0	0	0.2959770114942529	0	0.022988505747126436	0	0.16954022988505746
EPHA1	0.2557471264367816	0.3160919540229885	0	0.34195402298850575	0.8045977011494253	0	0.3103448275862069	0	0.11494252873563218	0	0.3936781609195402
EPHA2	0.6120689655172413	0.6522988505747126	0	0.4511494252873563	0	0	0.5545977011494253	0	0.08620689655172414	0.9885057471264368	0.8074712643678161
EPHA3	0.32471264367816094	0.5373563218390804	0	0.4511494252873563	0	0	0.3793103448275862	0	0.005747126436781609	0	0.3074712643678161
EPHA4	0.11781609195402298	0.14080459770114942	0	0.21264367816091953	0	0	0.20689655172413793	0	0.11494252873563218	0	0.13793103448275862
EPHA5	0.27011494252873564	0.4540229885057471	0	0.34770114942528735	0	0	0.3045977011494253	0	0.11494252873563218	0	0.27298850574712646
EPHA6	0.34770114942528735	0.2959770114942529	0	0.4511494252873563	0	0	0.3218390804597701	0	0.11494252873563218	0	0.27586206896551724
EPHA7	0.33045977011494254	0.21264367816091953	0	0.4425287356321839	0	0	0.14367816091954022	0	0.11494252873563218	0	0.21264367816091953
EPHA8	0.4224137931034483	0.5028735632183908	0	0.4367816091954023	0.9022988505747126	0	0.47701149425287354	0.8189655172413793	0.11494252873563218	0	0.896551724137931
EPHB1	0.3160919540229885	0.29022988505747127	0	0.23275862068965517	0	0	0.25862068965517243	0	0.11494252873563218	0	0.20977011494252873
EPHB2	0.1206896551724138	0.09195402298850575	0	0.16379310344827586	0	0	0.21551724137931033	0	0.031609195402298854	0	0.09770114942528736
EPHB3	0.5201149425287356	0.6896551724137931	0	0.4511494252873563	0	0	0.5057471264367817	0	0.11494252873563218	0	0.40804597701149425
EPHB4	0.5028735632183908	0.3793103448275862	0	0.4511494252873563	0	0	0.3505747126436782	0	0.10919540229885058	0	0.33620689655172414
EPHB6	0.5459770114942529	0.41379310344827586	0	0.4511494252873563	0	0	0.4454022988505747	0	0.11494252873563218	0	0.3563218390804598
EPOR	0.1839080459770115	0.19827586206896552	0	0.06321839080459771	0	0	0.10344827586206896	0	0.11494252873563218	0	0.11494252873563218
ERBB2	0.3160919540229885	0.19827586206896552	0	0.3850574712643678	0.9597701149425287	0	0.2471264367816092	0	0.07758620689655173	0	0.39655172413793105
ERBB3	0.05459770114942529	0.008620689655172414	0	0.16091954022988506	0	0	0.16091954022988506	0	0.11494252873563218	0	0.06896551724137931
ERBB4	0.23275862068965517	0.16091954022988506	0	0.4166666666666667	0	0	0.4511494252873563	0	0.11494252873563218	0	0.2471264367816092
F2R	0.4224137931034483	0.2959770114942529	0	0.4511494252873563	0.9655172413793104	0	0.43103448275862066	0	0.11494252873563218	0	0.5948275862068966
F2RL1	0.6120689655172413	0.47988505747126436	0	0.4511494252873563	0.8908045977011494	0	0.35919540229885055	0	0.11494252873563218	0	0.6551724137931034
F2RL2	0.6609195402298851	0.7959770114942529	0	0.4511494252873563	0	0	0.6810344827586207	0	0.11494252873563218	0	0.5402298850574713
F2RL3	0.35919540229885055	0.46839080459770116	0	0.4511494252873563	0.8362068965517241	0	0.8103448275862069	0.985632183908046	0.11494252873563218	0	0.9540229885057471
F3	0.20402298850574713	0.16666666666666666	0	0.13218390804597702	0	0	0.20977011494252873	0	0.11494252873563218	0	0.14367816091954022
FAS	0.6120689655172413	0.5747126436781609	0	0.4511494252873563	0	0	0.6637931034482759	0.9252873563218391	0.11206896551724138	0	0.8189655172413793
FGFR1	0.03735632183908046	0.005747126436781609	0	0.011494252873563218	0	0	0.022988505747126436	0	0.08045977011494253	0	0.005747126436781609
FGFR2	0.3103448275862069	0.21839080459770116	0	0.2959770114942529	0	0	0.367816091954023	0	0.11494252873563218	0	0.23275862068965517
FGFR3	0.16091954022988506	0.07758620689655173	0	0.1867816091954023	0	0	0.10919540229885058	0	0.11494252873563218	0	0.10632183908045977
FGFR4	0.06609195402298851	0.028735632183908046	0	0.06609195402298851	0	0	0.07758620689655173	0	0.11494252873563218	0	0.031609195402298854
FGFRL1	0.6120689655172413	0.45977011494252873	0	0.41954022988505746	0	0	0.3275862068965517	0	0.11494252873563218	0	0.3505747126436782
FLT1	0.6609195402298851	0.5747126436781609	0	0.4511494252873563	0.9080459770114943	0	0.6350574712643678	0.8908045977011494	0.11494252873563218	0	0.9770114942528736
FLT3	0.7212643678160919	0.7270114942528736	0	0.4511494252873563	0	0	0.7528735632183908	0.8563218390804598	0.11494252873563218	0	0.8706896551724138
FLT4	0.7212643678160919	0.6522988505747126	0	0.4511494252873563	0.8017241379310345	0	0.7528735632183908	0.8333333333333334	0.11494252873563218	0	0.9913793103448276
FPR1	0.6120689655172413	0.5431034482758621	0	0.4511494252873563	0.8994252873563219	0	0.8103448275862069	0	0.11494252873563218	0	0.8419540229885057
FPR2	0.7212643678160919	0.8247126436781609	0	0.8620689655172413	0	0	0.8103448275862069	0	0.11494252873563218	0	0.7442528735632183
FPR3	0.7212643678160919	0.7959770114942529	0	0.4511494252873563	0	0	0.8103448275862069	0.9798850574712644	0.11494252873563218	0	0.9224137931034483
