hgnc_symbol	sorted_eBCs_score	combined_sc_max_score	scRNA_up_in_eBC_score	sc_islet_bulk_rna_score	bulkRNA_up_in_SCislet_score	all_sc_proteomics_score	proteomics_up_in_sc_score	aggregate_score
PLXNC1	0.9885057471264368	0.9655172413793104	0.9971264367816092	0.9913793103448276	0.7959770114942529	0.9597701149425287	0.985632183908046	1
PLXNA2	0.9913793103448276	0.9827586206896551	0.9942528735632183	0.9971264367816092	0.6695402298850575	0.9712643678160919	0.9770114942528736	0.9971264367816092
SSTR2	0.9942528735632183	0.9913793103448276	0.9913793103448276	0.8505747126436781	0	0.9741379310344828	0.9885057471264368	0.9942528735632183
IGF2R	0.9597701149425287	0.9597701149425287	0	0.9942528735632183	0.603448275862069	0.9913793103448276	0.9913793103448276	0.9913793103448276
PLXNB1	0.9540229885057471	0.9252873563218391	0	0.9626436781609196	0.6580459770114943	0.9454022988505747	0.9798850574712644	0.9885057471264368
NCSTN	0.8908045977011494	0.8620689655172413	0	0.9454022988505747	0.5632183908045977	0.9971264367816092	0.9741379310344828	0.985632183908046
EGFR	0.7614942528735632	0.9482758620689655	0	0.7040229885057471	0.8045977011494253	0.9770114942528736	0.9971264367816092	0.9827586206896551
EPHA3	0.6752873563218391	0.646551724137931	0	0.6206896551724138	1	0.9942528735632183	0.9942528735632183	0.9798850574712644
ACVR1C	1	0.9913793103448276	1	1	0.8936781609195402	0	0	0.9770114942528736
ROR2	0.45689655172413796	0.646551724137931	0	0.7672413793103449	0.7126436781609196	0.9367816091954023	1	0.9741379310344828
NRXN1	0.9971264367816092	0.9827586206896551	0.9885057471264368	0.9798850574712644	0.6724137931034483	0	0	0.9712643678160919
ROR1	0.8505747126436781	0.9022988505747126	0	0.8764367816091954	0	0.9568965517241379	0.9827586206896551	0.9683908045977011
FZD3	0.9655172413793104	0.9482758620689655	0.9798850574712644	0.9281609195402298	0.6925287356321839	0	0	0.9655172413793104
GIPR	0.985632183908046	0.9770114942528736	0.985632183908046	0.9540229885057471	0.5603448275862069	0	0	0.9626436781609196
ROBO1	0.9482758620689655	0.8620689655172413	0	0.985632183908046	0.6379310344827587	0.9396551724137931	0	0.9597701149425287
FGFR1	0.9626436781609196	0.9655172413793104	0	0.9770114942528736	0.6005747126436781	0.9195402298850575	0	0.9568965517241379
ROBO2	0.9827586206896551	0.9396551724137931	0	0.9683908045977011	0.5977011494252874	0.9080459770114943	0	0.9540229885057471
INSR	0.896551724137931	0.9166666666666666	0	0.9396551724137931	0.6206896551724138	0.9885057471264368	0	0.9482758620689655
NRXN2	0.9224137931034483	0.882183908045977	0	0.7586206896551724	0.853448275862069	0.9281609195402298	0	0.9482758620689655
EPHB2	0.8793103448275862	0.8304597701149425	0	0.7844827586206896	0.7902298850574713	0.9683908045977011	0	0.9454022988505747
NEO1	0.8706896551724138	0.9022988505747126	0	0.9712643678160919	0.5833333333333334	0.9252873563218391	0	0.9425287356321839
PLXNA1	0.7988505747126436	0.7183908045977011	0	0.9568965517241379	0.7988505747126436	0.8936781609195402	0	0.9396551724137931
PLXNB2	0.9798850574712644	0.9597701149425287	0	0.9655172413793104	0	0.985632183908046	0	0.9367816091954023
DDR1	0.9770114942528736	0.9396551724137931	0	0.9885057471264368	0	0.9626436781609196	0	0.9339080459770115
IGF1R	0.9741379310344828	0.9482758620689655	0	0.9741379310344828	0	0.9339080459770115	0	0.9310344827586207
MET	0.9511494252873564	0.8735632183908046	0	0.9827586206896551	0.9482758620689655	0	0	0.9281609195402298
