ABCA1	receptor	literature supported
ACKR2	receptor	literature supported
ACKR3	receptor	literature supported
ACKR4	receptor	literature supported
ACVR1	receptor	literature supported
ACVR1B	receptor	literature supported
ACVR1C	receptor	literature supported
ACVR2A	receptor	literature supported
ACVR2B	receptor	literature supported
ACVRL1	receptor	literature supported
ADCY1	receptor	literature supported
ADCY7	receptor	putative
ADCY8	receptor	putative
ADCY9	receptor	putative
ADCYAP1R1	receptor	literature supported
ADIPOR1	receptor	literature supported
ADIPOR2	receptor	literature supported
ADORA1	receptor	literature supported
ADORA2B	receptor	literature supported
ADRA2A	receptor	literature supported
ADRA2B	receptor	literature supported
ADRB2	receptor	literature supported
ADRB3	receptor	literature supported
AGR2	receptor	literature supported
AGTR1	receptor	literature supported
AGTR2	receptor	literature supported
ALK	receptor	literature supported
AMFR	receptor	literature supported
AMHR2	receptor	literature supported
APCDD1	receptor	literature supported
APLNR	receptor	literature supported
APLP2	receptor	literature supported
AQP1	receptor	literature supported
ART1	receptor	literature supported
ASGR1	receptor	literature supported
ASGR2	receptor	literature supported
ASIC3	receptor	putative
ATP1A3	receptor	literature supported
ATP6AP2	receptor	literature supported
ATRN	receptor	literature supported
AVPR1A	receptor	literature supported
AVPR1B	receptor	literature supported
AVPR2	receptor	literature supported
AXL	receptor	literature supported
BAI2	receptor	literature supported
BAMBI	receptor	literature supported
BCAM	receptor	literature supported
BDKRB1	receptor	literature supported
BDKRB2	receptor	literature supported
BMPR1A	receptor	literature supported
BMPR1B	receptor	literature supported
BMPR2	receptor	literature supported
BOC	receptor	literature supported
BRS3	receptor	literature supported
C14orf1	receptor	literature supported
C3AR1	receptor	literature supported
C5AR1	receptor	literature supported
C5AR2	receptor	literature supported
CACHD1	receptor	putative
CACNA1C	receptor	literature supported
CALCR	receptor	literature supported
CALCRL	receptor	literature supported
CANX	receptor	literature supported
CATSPER1	receptor	literature supported
CAV1	receptor	literature supported
CCKAR	receptor	literature supported
CCKBR	receptor	literature supported
CCR1	receptor	literature supported
CCR10	receptor	literature supported
CCR2	receptor	literature supported
CCR3	receptor	literature supported
CCR4	receptor	literature supported
CCR5	receptor	literature supported
CCR6	receptor	literature supported
CCR7	receptor	literature supported
CCR8	receptor	literature supported
CCR9	receptor	literature supported
CCRL2	receptor	literature supported
CD109	receptor	putative
CD151	receptor	literature supported
CD177	receptor	literature supported
CD180	receptor	literature supported
CD19	receptor	literature supported
CD1A	receptor	literature supported
CD1B	receptor	literature supported
CD247	receptor	putative
CD27	receptor	literature supported
CD28	receptor	literature supported
CD36	receptor	literature supported
CD3D	receptor	putative
CD3G	receptor	putative
CD4	receptor	literature supported
CD40	receptor	literature supported
CD44	receptor	literature supported
CD46	receptor	literature supported
CD47	receptor	literature supported
CD48	receptor	putative
CD5	receptor	literature supported
CD53	receptor	literature supported
CD63	receptor	literature supported
CD72	receptor	literature supported
CD74	receptor	literature supported
CD79A	receptor	literature supported
CD81	receptor	literature supported
CD82	receptor	literature supported
CD9	receptor	literature supported
CD93	receptor	literature supported
CD97	receptor	literature supported
CDH10	receptor	literature supported
CDH19	receptor	putative
CDH2	receptor	putative
CDH5	receptor	literature supported
CDH6	receptor	putative
CDH7	receptor	literature supported
CDON	receptor	literature supported
CELSR1	receptor	literature supported
CFTR	receptor	literature supported
CHRM1	receptor	literature supported
CHRM3	receptor	literature supported
CHRNA4	receptor	putative
CLDN2	receptor	literature supported
CLDN4	receptor	literature supported
CLEC10A	receptor	putative
CLEC2B	receptor	putative
CLEC4M	receptor	literature supported
CMKLR1	receptor	literature supported
CNR1	receptor	literature supported
