hgnc_symbol	description	log2_islet_tpm	islet_specificity
IFNLR1	interferon lambda receptor 1	1.7070343856069736	Inf
TNFRSF21	TNF receptor superfamily member 21	7.044495978776043	4.786660096238174
FZD10	frizzled class receptor 10	-1.4580292794869756	4.397484098819394
TNFRSF10A	TNF receptor superfamily member 10a	3.211320641739083	4.079570251833949
NPR3	natriuretic peptide receptor 3	0.22347197761210014	4.0432402541491586
DDR1	discoidin domain receptor tyrosine kinase 1	5.667958810025515	3.9905698479364493
ERBB2	erb-b2 receptor tyrosine kinase 2	4.487971839493695	3.8800480127610566
GLP1R	glucagon like peptide 1 receptor	4.361901676244477	3.673200071149574
ACVRL1	activin A receptor like type 1	2.6126686066137017	3.6048778007495836
CD3D	CD3d molecule	-1.3062878045104798	3.419692117925543
TNFRSF19	TNF receptor superfamily member 19	3.7931800783346437	3.4117378862628183
BMPR2	bone morphogenetic protein receptor type 2	4.782697913693718	3.2066510999014306
TNFRSF12A	TNF receptor superfamily member 12A	6.325122649661322	3.1931861246809734
FPR2	formyl peptide receptor 2	-1.897167210659287	3.155989325097194
AGTR1	angiotensin II receptor type 1	-1.2217914236019125	3.06528601415914
MPL	MPL proto-oncogene, thrombopoietin receptor	-0.41929491634556304	3.0392520511608923
ADIPOR1	adiponectin receptor 1	6.724441955320255	2.9977512029272537
MTNR1A	melatonin receptor 1A	-0.6923616435164385	2.9610159577317394
NOTCH2	notch receptor 2	4.7607819446016535	2.908236590094488
NPY5R	neuropeptide Y receptor Y5	-1.5111970977366094	2.8992843630060543
BMPR1A	bone morphogenetic protein receptor type 1A	4.550409424605489	2.7958184625489704
TNFRSF1A	TNF receptor superfamily member 1A	6.746530175581249	2.7639647001091534
DDR1	discoidin domain receptor tyrosine kinase 1	5.539106376722517	2.756010826093637
IL1RAP	interleukin 1 receptor accessory protein	2.90210059943306	2.7028417752168563
TGFBR1	transforming growth factor beta receptor 1	4.962602232310546	2.5168460346495105
OPRD1	opioid receptor delta 1	0.8573918572924866	2.4488775134876155
DDR1	discoidin domain receptor tyrosine kinase 1	3.9404693557501926	2.288320111378226
ACKR3	atypical chemokine receptor 3	3.659376595475911	2.27939269553623
PDGFRB	platelet derived growth factor receptor beta	6.867688691064572	2.265342439509016
FLT1	fms related receptor tyrosine kinase 1	4.398943389856637	2.232270089069716
IL15RA	interleukin 15 receptor subunit alpha	3.542467318246876	2.1789129518070354
CXCR4	C-X-C motif chemokine receptor 4	5.054473431706236	2.1729883433981323
GFRA3	GDNF family receptor alpha 3	-1.7500571590318057	2.1120878083570327
IFNAR1	interferon alpha and beta receptor subunit 1	5.564116862220349	2.0934825919090274
EDNRA	endothelin receptor type A	3.9426543109624865	1.933745577309673
EPHB1	EPH receptor B1	-0.8205144280115814	1.92048647156076
AMFR	autocrine motility factor receptor	6.090320364534993	1.88140266461355
ADIPOR2	adiponectin receptor 2	4.129131319891311	1.8564849021435275
IFNGR1	interferon gamma receptor 1	6.124336614119583	1.835772600694099
FZD6	frizzled class receptor 6	4.30576555328715	1.6950760666056988
NOTCH4	notch receptor 4	-1.3572337451313965	1.580741668611198
OXTR	oxytocin receptor	-1.7035014782414315	1.5676914484666133
RET	ret proto-oncogene	-0.772973672596292	1.5607638279242146
ACVR1B	activin A receptor type 1B	4.823974509125885	1.5540651219238628
GCGR	glucagon receptor	-0.1929418914526725	1.5498672776692977
GCGR	glucagon receptor	-0.1929418914526725	1.5373363517031775
IFNGR2	interferon gamma receptor 2	6.3099188488786835	1.4865960365675357
ADIPOR2	adiponectin receptor 2	4.129131319891311	1.4845190899149865
DDR1	discoidin domain receptor tyrosine kinase 1	5.667958810025515	1.4327271156368484
DDR1	discoidin domain receptor tyrosine kinase 1	4.742489184856408	1.4197469598640498
IL22RA1	interleukin 22 receptor subunit alpha 1	3.0823636728563986	1.406436508801206
IL13RA1	interleukin 13 receptor subunit alpha 1	5.504746225514037	1.380908541269696
IL6ST	interleukin 6 signal transducer	6.742509260352941	1.3777533351130393
EDNRB	endothelin receptor type B	5.057067235629607	1.326516355063022
ROBO1	roundabout guidance receptor 1	4.513316398875501	1.3239610355370883
FGFR4	fibroblast growth factor receptor 4	2.478456742136181	1.3111589957471097
EPHA3	EPH receptor A3	0.6232207343323564	1.2702566999062588
IFNAR2	interferon alpha and beta receptor subunit 2	5.10623984526479	1.0902957375814326
IL5RA	interleukin 5 receptor subunit alpha	-0.9693390428043247	1.0665380582375046
ERBB3	erb-b2 receptor tyrosine kinase 3	4.952525074221047	1.0475532994531094
BAMBI	BMP and activin membrane bound inhibitor	3.854585175928318	1.0359180557862815
CSF2RB	colony stimulating factor 2 receptor subunit beta	-0.32290224285190017	0.9429195295641968
EGFR	epidermal growth factor receptor	3.786492860490496	0.9313042110736108
DDR1	discoidin domain receptor tyrosine kinase 1	6.297474093989834	0.9051812810343713
OSMR	oncostatin M receptor	5.31671850598025	0.8801953014523403
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	2.2854554866188206	0.8582785732138098
IL17RC	interleukin 17 receptor C	4.100633747607052	0.8095206572267644
NOTCH4	notch receptor 4	-0.8001235331634196	0.8069501872396224
TGFBR2	transforming growth factor beta receptor 2	4.434864376652789	0.7650724163897556
TGFBR3	transforming growth factor beta receptor 3	5.017149146785491	0.7573785788810081
CCR6	C-C motif chemokine receptor 6	-1.1741655374224254	0.7229612571923141
IGF1R	insulin like growth factor 1 receptor	4.386581283141158	0.683984557120056
IGF2R	insulin like growth factor 2 receptor	4.964406487984389	0.6422582599883516
DDR2	discoidin domain receptor tyrosine kinase 2	2.6636816263566216	0.5683564699994992
CCR9	C-C motif chemokine receptor 9	-1.8915357613150545	0.4658212766931876
GPR37	G protein-coupled receptor 37	0.625971791360903	0.45657792591357993
NPY1R	neuropeptide Y receptor Y1	1.1686099467891473	0.3585551271076382
ERBB4	erb-b2 receptor tyrosine kinase 4	-0.6509065272938747	0.3404346756906162
ROBO4	roundabout guidance receptor 4	1.323998318900732	0.3378991239608209
CRHR2	corticotropin releasing hormone receptor 2	-1.1486407262542904	0.33462515639427004
KISS1R	KISS1 receptor	-0.7613354078853826	0.3327633683777601
IL11RA	interleukin 11 receptor subunit alpha	1.0814350767073029	0.24089798451391625
CCKAR	cholecystokinin A receptor	-0.9221827723119621	0.23677705627817255
TNFRSF10B	TNF receptor superfamily member 10b	4.761959650127949	0.17156939616762865
TRAF3	TNF receptor associated factor 3	3.6583234658226127	0.07446496227966792
SMO	smoothened, frizzled class receptor	1.8006410973290845	0.0721534737932373
CCKBR	cholecystokinin B receptor	0.11149877670584911	0.06622349635549231
TNFRSF25	TNF receptor superfamily member 25	-1.1918868318424163	0.03432051260485816
INSR	insulin receptor	4.101924000800292	0.02779017972070988
LEPR	leptin receptor	3.592159198389409	-0.00613125080880411
OGFR	opioid growth factor receptor	2.538525747956407	-0.023373806614578482
FGFRL1	fibroblast growth factor receptor like 1	2.955785191983018	-0.060763844898544195
IL4R	interleukin 4 receptor	5.109851543829508	-0.07363547953039758
C5AR1	complement C5a receptor 1	2.0024072911891495	-0.15541701407001976
VIPR2	vasoactive intestinal peptide receptor 2	-1.4633104645060862	-0.15608628225562837
GHSR	growth hormone secretagogue receptor	0.7633860774251273	-0.17028302957749022
F2RL3	F2R like thrombin or trypsin receptor 3	2.3673626778622805	-0.18424717138661229
FZD1	frizzled class receptor 1	1.3885863270669223	-0.1937727011329164
NGFR	nerve growth factor receptor	-0.05276026327347172	-0.19756297005973328
IL1RL2	interleukin 1 receptor like 2	0.6896927724598022	-0.2017407584574694
FZD5	frizzled class receptor 5	3.0043485753211603	-0.20489238800683382
IL6R	interleukin 6 receptor	3.8489183340730597	-0.2512874573391816
NOTCH3	notch receptor 3	4.085013273147569	-0.28405987725904497
DCC	DCC netrin 1 receptor	1.9794546920340381	-0.29466185018948915
GIPR	gastric inhibitory polypeptide receptor	3.042989212352943	-0.38484338144236
RYK	receptor like tyrosine kinase	4.619127143187064	-0.40266507793021195
CCR5	C-C motif chemokine receptor 5	-1.2876771579325021	-0.45820622345880035
CCR1	C-C motif chemokine receptor 1	0.7126486012664585	-0.47236393774303126
