ensembl_gene_id	Gene.name	UniProt.accession	Annotated.category	mean_tpm	hgnc_symbol	gene_biotype	description
ENSG00000003436	TFPI	P10646	Secreted to blood	92.27359648204704	TFPI	protein_coding	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000005844	ITGAL	P20701	Intracellular or membrane-bound	0.7962326796988036	ITGAL	protein_coding	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
ENSG00000008516	MMP25	Q9NPA2	Secreted to blood	0.527815006741573	MMP25	protein_coding	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]
ENSG00000011422	PLAUR	Q03405	Intracellular or membrane-bound	39.600878161981214	PLAUR	protein_coding	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]
ENSG00000015413	DPEP1	P16444	Intracellular or membrane-bound	4.382208494584928	DPEP1	protein_coding	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]
ENSG00000026508	CD44	P16070	Secreted - unknown location	836.9680800173793	CD44	protein_coding	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
ENSG00000037280	FLT4	P35916	Secreted to blood	1.528139544348145	FLT4	protein_coding	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]
ENSG00000057593	F7	P08709	Secreted to blood	0.39360727115193805	F7	protein_coding	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]
ENSG00000066468	FGFR2	P21802	Secreted - unknown location	6.892304516624051	FGFR2	protein_coding	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]
ENSG00000067182	TNFRSF1A	P19438	Secreted to blood	107.2761816019337	TNFRSF1A	protein_coding	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]
ENSG00000068078	FGFR3	P22607	Intracellular or membrane-bound	0.5149291002505236	FGFR3	protein_coding	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]
ENSG00000073756	PTGS2	P35354	Intracellular or membrane-bound	40.42378964606741	PTGS2	protein_coding	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]
ENSG00000077238	IL4R	P24394	Secreted to blood	34.43175314262646	IL4R	protein_coding	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]
ENSG00000080618	CPB2	Q96IY4	Secreted to blood	0.04415026741573034	CPB2	protein_coding	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]
ENSG00000087085	ACHE	P22303	Intracellular or membrane-bound	1.7138229818232786	ACHE	protein_coding	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]
ENSG00000087245	MMP2	P08253	Locally secreted to extracellular matrix	53.142811371605475	MMP2	protein_coding	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]
ENSG00000088926	F11	P03951	Secreted to blood	4.102849056210368	F11	protein_coding	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]
ENSG00000089597	GANAB	Q14697	Intracellular or membrane-bound	248.31004216060944	GANAB	protein_coding	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]
ENSG00000091181	IL5RA	Q01344	Intracellular or membrane-bound	0.4107352956400392	IL5RA	protein_coding	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]
ENSG00000095303	PTGS1	P23219	Intracellular or membrane-bound	6.755151314682443	PTGS1	protein_coding	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]
ENSG00000099937	SERPIND1	P05546	Secreted to blood	0.7282327577317127	SERPIND1	protein_coding	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]
ENSG00000099953	MMP11	P24347	Locally secreted to extracellular matrix	1.8704362741552767	MMP11	protein_coding	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]
ENSG00000100985	MMP9	P14780	Secreted to blood	4.969509460674157	MMP9	protein_coding	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]
ENSG00000101981	F9	P00740	Secreted to blood	0.001964441573033708	F9	protein_coding	coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]
ENSG00000102524	TNFSF13B	Q9Y275	Secreted to blood	0.523716597840482	TNFSF13B	protein_coding	TNF superfamily member 13b [Source:HGNC Symbol;Acc:HGNC:11929]
ENSG00000102755	FLT1	P17948	Secreted to blood	20.996673741252128	FLT1	protein_coding	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]
ENSG00000103485	QPRT	Q15274	Intracellular or membrane-bound	3.3750579696772696	QPRT	protein_coding	quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]
ENSG00000104368	PLAT	P00750	Secreted to blood	41.87141392688879	PLAT	protein_coding	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]
ENSG00000105711	SCN1B	Q07699	Intracellular or membrane-bound	11.851441213981152	SCN1B	protein_coding	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]
ENSG00000105976	MET	P08581	Secreted to blood	3.596513465174757	MET	protein_coding	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]
ENSG00000106128	GHRHR	Q02643	Intracellular or membrane-bound	0.016144557303370787	GHRHR	protein_coding	growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]
ENSG00000106366	SERPINE1	P05121	Secreted to blood	187.7222831460674	SERPINE1	protein_coding	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]
ENSG00000106804	C5	P01031	Secreted to blood	3.0351514775280894	C5	protein_coding	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]
ENSG00000108691	CCL2	P13500	Secreted to blood	287.36113129966293	CCL2	protein_coding	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]
ENSG00000108821	COL1A1	P02452	Locally secreted to extracellular matrix	145.22303209525666	COL1A1	protein_coding	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]
ENSG00000110799	VWF	P04275	Secreted to blood	1.8888221868351929	VWF	protein_coding	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]
ENSG00000110944	IL23A	Q9NPF7	Secreted to blood	2.3185499457644188	IL23A	protein_coding	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]
ENSG00000111537	IFNG	P01579	Secreted to blood	0.01045254382022472	IFNG	protein_coding	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]
ENSG00000112115	IL17A	Q16552	Secreted to blood	0.004977842696629213	IL17A	protein_coding	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]
ENSG00000112715	VEGFA	P15692	Secreted to blood	177.11441097074763	VEGFA	protein_coding	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]
ENSG00000112964	GHR	P10912	Secreted to blood	1.6791943461335683	GHR	protein_coding	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]
ENSG00000113302	IL12B	P29460	Secreted to blood	0.08356042921348315	IL12B	protein_coding	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]
ENSG00000113494	PRLR	P16471	Intracellular or membrane-bound	3.138280481718296	PRLR	protein_coding	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]
ENSG00000113525	IL5	P05113	Secreted to blood	0.15338018876404494	IL5	protein_coding	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]
ENSG00000113578	FGF1	P05230	Locally secreted	1.288865797676425	FGF1	protein_coding	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]
ENSG00000114200	BCHE	P06276	Secreted to blood	4.054936453489412	BCHE	protein_coding	butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]
ENSG00000115232	ITGA4	P13612	Intracellular or membrane-bound	2.8682140885557863	ITGA4	protein_coding	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]
ENSG00000115414	FN1	P02751	Secreted to blood	137.86516734713334	FN1	protein_coding	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
ENSG00000115594	IL1R1	P14778	Secreted to blood	49.900350587942214	IL1R1	protein_coding	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]
ENSG00000115705	TPO	P07202	Intracellular or membrane-bound	0.04586362842696629	TPO	protein_coding	thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]
ENSG00000115718	PROC	P04070	Secreted to blood	0.6049307596576922	PROC	protein_coding	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]
ENSG00000116678	LEPR	P48357	Secreted to blood	11.960006490334893	LEPR	protein_coding	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]
ENSG00000117525	F3	P13726	Secreted to blood	75.44087231842697	F3	protein_coding	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]
ENSG00000117601	SERPINC1	P01008	Secreted to blood	0.11637913509357303	SERPINC1	protein_coding	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]
ENSG00000118113	MMP8	P22894	Locally secreted to extracellular matrix	0.10877543269662922	MMP8	protein_coding	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]
ENSG00000119535	CSF3R	Q99062	Intracellular or membrane-bound	0.2009771496230292	CSF3R	protein_coding	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]
ENSG00000119630	PGF	P49763	Secreted to blood	8.291440494068468	PGF	protein_coding	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]
ENSG00000119912	IDE	P14735	Intracellular or membrane-bound	19.041357344867496	IDE	protein_coding	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]
