hgnc_gene_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MALAT1	0	8.671094413	1	0	0
IAPP	0	3.809761742	0.909	0.158	0
INS	0	3.056857161	1	1	0
MEG3	0	2.746780945	0.934	0	0
H3F3A	0	2.573171319	0.965	0	0
H3F3B	0	2.345060938	0.953	0	0
IER3	9.37796794650352E-261	2.219472082	0.73	0.131	1.54108147264892E-256
B2M	0	2.18147587	0.976	0.563	0
NEAT1	8.88846271124256E-227	1.991668307	0.607	0	1.46064107733849E-222
RBP4	1.21849904765775E-162	1.983206248	0.542	0.055	2.00235948501598E-158
FKBP2	0	1.934160046	0.922	0.152	0
RPL21	0	1.826726717	0.986	0.677	0
VGF	1.31582510469553E-150	1.656618973	0.585	0.147	2.16229539454617E-146
RPL26	0	1.633296469	0.962	0.644	0
RPS6	0	1.611794725	0.997	0.928	0
SPP1	8.19818936358703E-49	1.589898522	0.198	0	1.34720845811826E-44
NPY	2.27886242655386E-68	1.474605277	0.262	0	3.74485462555596E-64
ANXA2	6.83354043555386E-273	1.473087257	0.721	0.077	1.12295569977457E-268
MT2A	1.13538988168131E-90	1.464879574	0.361	0.027	1.8657861925669E-86
SEC11C	3.76578354786102E-303	1.410979581	0.964	0.611	6.18831210420001E-299
ATP5MD	0	1.378907967	0.773	0	0
DEPP1	4.35097425102692E-89	1.36804327	0.401	0.071	7.14995598671253E-85
RPL34	3.2595210105668E-274	1.35926501	0.995	0.966	5.35637087666443E-270
NLRP1	3.07047987986449E-265	1.349330714	0.673	0.02	5.04571958658131E-261
RPS27A	0	1.33674718	0.999	0.98	0
ATP5MPL	0	1.333937354	0.736	0	0
MIR7-3HG	2.59314564649924E-183	1.31379499	0.529	0	4.2613162408922E-179
TUBA1B	1.70329919198698E-246	1.305386531	0.939	0.629	2.7990315621922E-242
WDR83OS	0	1.282407092	0.752	0.007	0
RPL31	1.76328370472712E-132	1.265494098	0.916	0.751	2.89760411197808E-128
RPS4X	2.27865212230373E-270	1.231432201	0.999	0.983	3.74450903258171E-266
TSC22D1	5.10422766723778E-116	1.187334075	0.823	0.587	8.38777732557184E-112
RPL22	1.03080640302266E-286	1.185351456	0.961	0.662	1.69392416208713E-282
ZFAS1	4.91944830710628E-262	1.162155634	0.648	0	8.08412940306776E-258
H2AFZ	5.44917087903924E-277	1.129398597	0.666	0	8.95462250552518E-273
