source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Immune	Immune	TGFB1	TGFbR1_R2	4.333141517578012e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Immune	TGFB1	TGFbR1_R2	8.413835257306592e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Immune	TGFB1	TGFbR1_R2	4.1333724685550604e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Immune	TGFB1	TGFbR1_R2	3.216765912619406e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Acinar	Immune	TGFB1	TGFbR1_R2	6.06301874974445e-17	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/SST	Immune	TGFB1	TGFbR1_R2	4.876071306938777e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
INS/GCG	Immune	TGFB1	TGFbR1_R2	8.280427315737333e-18	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
PPY	Immune	TGFB1	TGFbR1_R2	8.629150404494713e-19	0.04	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Delta	Immune	TGFB1	TGFbR1_R2	5.096053714798566e-18	0.04	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Beta	Immune	TGFB1	TGFbR1_R2	4.471330895684698e-17	0.04	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Alpha	Immune	TGFB1	TGFbR1_R2	6.904266283976102e-17	0.03	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Immune	Duct	TGFB1	TGFbR1_R2	1.286344226156058e-16	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Duct	Duct	TGFB1	TGFbR1_R2	2.497746348499446e-15	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Endothelial	Duct	TGFB1	TGFbR1_R2	1.2270404250209044e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
Pericytes	Duct	TGFB1	TGFbR1_R2	9.54934945398832e-14	0	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	KEGG: hsa04350
