hgnc_symbol	sorted_eBCs	sorted_immature_beta	sorted_ins_gfp_gcg_sst	sorted_ins_gfp_sst	sorted_pancreatic_proj
TNFRSF18	0	4.506534474988734e-4	0.002642007926023778	0.0013386880856760374	0
ATAD3B	0.06397306397306403	0.06038756196484905	0.0686922060766182	0.05354752342704153	0.08906882591093113
THAP3	0.15263748597081903	0.09238395673726862	0.14398943196829594	0.09504685408299876	0.11066126855600533
PRDM16	0.2424242424242419	0.298332582244253	0.3196829590488764	0.2663989290495312	0.3198380566801632
PRKCZ	0.24017957351290628	0.1239296980621894	0.2721268163804486	0.2597054886211508	0.14170040485829963
ACAP3	1.0617283950617273	0.7710680486705713	1.1730515191545592	1.02543507362785	0.4183535762483143
PUSL1	0.13355780022446673	0.11536728255971096	0.15323645970937902	0.1579651941097724	0.12685560053981101
PEX10	0.14478114478114448	0.07976566020730039	0.16380449141347414	0.10307898259705502	0.15654520917678824
CPTP	0.043771043771043815	0.050022532672374956	0.0462351387054161	0.04551539491298529	0.07422402159244261
SKI	0.1324354657687989	0.0806669671022981	0.14531043593130777	0.13520749665327986	0.13360323886639677
MEGF6	0.001122334455667789	9.013068949977468e-4	0.001321003963011889	0.0013386880856760374	0.03238866396761133
TAS1R3	0.0056116722783389455	0.0013519603424966202	0.003963011889035667	0.002677376171352075	0.005398110661268556
ERRFI1	0.1952861952861949	0.1946822893195118	0.18758256274768806	0.14056224899598396	0.1781376518218626
PEX14	0.08080808080808081	0.06264082920234341	0.06076618229854685	0.07228915662650609	0.06882591093117406
PLCH2	0.019079685746352416	0.02073005858494818	0.013210039630118887	0.01740294511378848	0.01619433198380567
DNAJC11	0.1492704826038157	0.11221270842721885	0.15323645970937905	0.12851405622489975	0.16464237516869118
SPSB1	0.035914702581369265	0.018026137899954938	0.04359313077939232	0.054886211512717574	0.024291497975708502
LZIC	0.2659932659932652	0.1901757548445229	0.278731836195508	0.2663989290495311	0.3130904183535774
ESPN	0.03367003367003369	0.027489860297431282	0.02245706737120211	0.03212851405622489	0.03643724696356274
SLC2A5	0	9.013068949977468e-4	0	0	0
DVL1	0.11672278338944996	0.06669671022983321	0.07529722589167767	0.07362784471218213	0.06612685560053978
MTHFR	0.27497194163860755	0.24064894096439593	0.28137384412153177	0.2690763052208831	0.18083670715249697
KCNAB2	0.029180695847362534	0.012618296529968457	0.027741083223249675	0.03078982597054885	0.01754385964912281
ENO1	2.0987654320987836	1.2456061288868696	1.941875825627478	1.5957161981258463	2.9946018893387167
PLEKHM2	0.3748597081930404	0.2149616944569606	0.30779392338176925	0.2797858099062914	0.25641025641025716
B3GALT6	0.2581369248035908	0.18296529968454098	0.25099075297225837	0.2436412315930383	0.24156545209176852
DHRS3	0.09539842873176205	0.16989634970707404	0.13606340819022464	0.13253012048192778	0.24156545209176847
CA6	0	9.013068949977468e-4	0	0	0.001349527665317139
NMNAT1	0.059483726150392886	0.04506534474988735	0.06605019815059443	0.07898259705488629	0.08906882591093113
PHF13	0.09315375982042641	0.06759801712483095	0.09775429326287985	0.0963855421686748	0.12550607287449383
CCDC27	0.0033670033670033673	0.004055881027489861	0.003963011889035667	0.004016064257028112	0.001349527665317139
CHD5	0.004489337822671156	0.02478593961243804	0.014531043593130776	0.006693440428380187	0.008097165991902834
VAMP3	0.29966329966329874	0.2289319513294255	0.38177014531043474	0.3078982597054885	0.32253711201079743
DISP3	0.12682379349045994	0.16584046867958402	0.10964332892998686	0.140562248995984	0.0701754385964912
CLSTN1	0.580246913580245	0.42631816133393646	0.5270805812417427	0.4899598393574304	0.4885290148448069
AGTRAP	0.09539842873176199	0.10319963947724149	0.10171730515191547	0.0803212851405623	0.271255060728746
SCNN1D	0.006734006734006735	0.005858494817485355	0.022457067371202115	0.009370816599732261	0.008097165991902834
PIK3CD	0.017957351290684626	0.007661108607480849	0.011889035667106999	0.01740294511378848	0.0067476383265856945
TMEM51	0.07295173961840629	0.08787742226228001	0.16644649933949793	0.14457831325301207	0.15249662618083687
C1orf127	0.41975308641975195	0.3370887787291572	0.23117569352708023	0.2971887550200802	0.13360323886639675
TTLL10	0.16273849607182914	0.26588553402433335	0.30250990752972196	0.28246318607764354	0.08636977058029685
TPRG1L	0.32098765432098675	0.33032897701667446	0.3394980184940544	0.3025435073627842	0.20377867746288833
FBXO42	0.20875420875420822	0.1766561514195569	0.2034346103038306	0.2074966532797854	0.20107962213225414
C1QTNF12	0.0056116722783389455	0.0027039206849932404	0.007926023778071334	0.0013386880856760374	0.004048582995951417
ALDH4A1	0.08417508417508415	0.03695358269490762	0.08454425363276094	0.08032128514056232	0.05668016194331981
RERE	1.145903479236814	0.8544389364578593	0.9986789960369915	0.9665327978581032	1.3103913630229393
CLCN6	0.24242424242424176	0.2122577737719674	0.23645970937912772	0.19678714859437724	0.18083670715249694
TTC34	0.02469135802469137	0.016674177557458317	0.04359313077939233	0.029451137884872816	0.031039136302294185
CELA2A	0.002244668911335578	9.013068949977468e-4	0.001321003963011889	0	0.002699055330634278
SPEN	0.7037037037037013	0.5727805317710685	0.6789960369881121	0.5997322623828664	0.6450742240215956
AURKAIP1	1.5364758698092145	1.1117620549797107	1.5719947159841492	1.3560910307898335	1.569500674763827
RER1	0.31537598204264783	0.24290220820189043	0.3527080581241735	0.3092369477911644	0.4318488529014865
PANK4	0.031425364758698116	0.03379900856241551	0.046235138705416096	0.04016064257028113	0.035087719298245605
WRAP73	0.10437710437710425	0.08382154123479017	0.11624834874504635	0.10575635876840708	0.12955465587044532
EMC1	0.18069584736251368	0.11987381703469954	0.22324966974900892	0.15261044176706823	0.14709851551956826
VPS13D	0.20763187429854044	0.16538981523208524	0.19286657859973552	0.19946452476572932	0.16329284750337403
ARHGEF16	0.10774410774410764	0.11176205497972	0.1281373844121534	0.10575635876840708	0.08636977058029685
SPATA21	0.001122334455667789	0.0018026137899954935	0.003963011889035667	0.004016064257028112	0.002699055330634278
RBP7	0.0033670033670033673	0.0027039206849932404	0.002642007926023778	0.01874163319946452	0.001349527665317139
GPR157	0.014590347923681258	0.012618296529968457	0.013210039630118887	0.012048192771084335	0.008097165991902834
ZBTB40	0.1358024691358023	0.12618296529968376	0.16116248348745038	0.12985274431057578	0.17139001349527688
FBXO44	0.15375982042648687	0.12122577737719616	0.166446499339498	0.12449799196787166	0.059379217273954094
PRDM2	0.3120089786756445	0.26318161333933987	0.2945838837516506	0.2623828647925029	0.32253711201079743
NPHP4	0.1313131313131311	0.08968003605227548	0.11360634081902256	0.12583668005354767	0.08906882591093113
