hgnc_symbol	unsorted_immature_beta	unsorted_ins_gfp	unsorted_ins_gfp_gcg_sst	unsorted_pancreatic_proj
TNFRSF4	0	0	0	0.002200825309491059
TNFRSF18	0.0013611615245009074	0.007194244604316547	0.004166666666666667	0.003301237964236588
ATAD3B	0.07350272232304918	0.09712230215827344	0.07291666666666669	0.07400275103163692
THAP3	0.10254083484573534	0.14028776978417268	0.12291666666666677	0.07620357634112798
PRDM16	0.3457350272232279	0.24100719424460396	0.3249999999999996	0.21898211829435718
PRKCZ	0.1456442831215976	0.2823741007194239	0.30208333333333304	0.07785419532324628
ACAP3	0.7531760435571532	1.1744604316546716	1.0166666666666646	0.1353507565336999
PUSL1	0.12250453720508206	0.13848920863309358	0.1937499999999999	0.0506189821182944
PEX10	0.10117967332123443	0.1384892086330936	0.15208333333333338	0.10674002751031646
CPTP	0.04718693284936483	0.03417266187050359	0.056249999999999994	0.048968363136176106
SKI	0.12885662431941963	0.17625899280575524	0.13333333333333344	0.13149931224209063
MEGF6	0.007713248638838472	0.008992805755395683	0.00625	0.03933975240715271
TAS1R3	0.0022686025408348454	0	0.0020833333333333333	0.0011004126547455295
ERRFI1	0.38294010889291896	0.45683453237409954	0.37499999999999944	0.3419532324621708
PEX14	0.0794010889292198	0.09532374100719432	0.08125000000000003	0.06850068775790927
PLCH2	0.029038112522685997	0.016187050359712227	0.0375	0.0019257221458046769
DNAJC11	0.1415607985480949	0.16906474820143877	0.175	0.12077028885832197
SPSB1	0.026315789473684195	0.07553956834532378	0.07500000000000002	0.011279229711141684
LZIC	0.3761343012704136	0.5413669064748186	0.48124999999999923	0.3746905089408509
ESPN	0.03584392014519056	0.09532374100719428	0.035416666666666666	0.03466299862448421
SLC2A5	0.0013611615245009074	0	0	2.751031636863824e-4
DVL1	0.12885662431941963	0.12769784172661883	0.14791666666666672	0.06987620357634118
MTHFR	0.34074410163339147	0.4046762589928046	0.3499999999999996	0.11609353507565347
KCNAB2	0.023593466424682383	0.017985611510791363	0.04375	0.012379642365887214
ENO1	1.6429219600725586	2.6726618705036023	2.208333333333342	2.3348005502062805
PLEKHM2	0.2459165154264983	0.45143884892086195	0.3791666666666661	0.19449793672626975
B3GALT6	0.20009074410163416	0.26079136690647436	0.30416666666666636	0.14965612104539114
DHRS3	0.3588929219600701	0.2823741007194239	0.3812499999999996	0.6258596973865239
CA6	9.074410163339383e-4	0	0	5.502063273727648e-4
NMNAT1	0.07168784029038129	0.06834532374100724	0.11250000000000014	0.06767537826685012
PHF13	0.09029038112522707	0.1258992805755397	0.12083333333333347	0.12984869325997242
CCDC27	9.074410163339383e-4	0	0	0.0011004126547455295
CHD5	0.016787658802177863	0.010791366906474819	0	5.502063273727648e-4
VAMP3	0.38339382940108513	0.46223021582733653	0.4791666666666659	0.2968363136176036
DISP3	0.15698729582577187	0.17086330935251787	0.07708333333333336	0.011554332874828066
CLSTN1	0.5263157894736761	0.6420863309352495	0.7187499999999986	0.3623108665749642
AGTRAP	0.23049001814882125	0.2571942446043161	0.1500000000000001	0.19669876203576075
SCNN1D	0.0072595281306715035	0.008992805755395683	0.020833333333333332	0.004951856946354883
PIK3CD	0.01134301270417423	0.026978417266187042	0.024999999999999998	0.01403026134800551
TMEM51	0.1420145190562618	0.1708633093525179	0.20416666666666658	0.1691884456671235
C1orf127	0.4541742286751311	0.7482014388489184	0.2937499999999999	0.02888583218707017
TTLL10	0.2332123411978231	0.15467625899280577	0.2583333333333332	0.01925722145804678
TPRG1L	0.4128856624319369	0.4586330935251784	0.4208333333333329	0.13342503438789524
FBXO42	0.23638838475499188	0.31115107913669	0.33958333333333307	0.2060522696010976
C1QTNF12	0.0022686025408348454	0.0017985611510791368	0.004166666666666667	0.0019257221458046769
ALDH4A1	0.04491833030852997	0.09532374100719433	0.08333333333333337	0.04814305364511696
RERE	1.1465517241379075	1.4892086330935201	0.9729166666666645	1.6418156808802997
CLCN6	0.24455535390199734	0.2967625899280568	0.2791666666666665	0.13425034387895438
TTC34	0.019056261343012703	0.0197841726618705	0.029166666666666664	0.022283356258596988
SPEN	0.8561705989110527	0.9892086330935215	0.9270833333333311	0.7422283356258678
AURKAIP1	1.2037205081669442	1.7050359712230148	1.6291666666666735	1.0621733149931307
RER1	0.34074410163339136	0.5323741007194229	0.4270833333333329	0.47950481430536235
PANK4	0.11615245009074447	0.12949640287769795	0.14166666666666683	0.049793672627235254
