UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P10646	DOMAIN: This inhibitor contains three inhibitory domains. The first domain interacts with VIIa and TF, the second one with Xa.	NA	NA	NA	NA	DOMAIN 54..104;  /note=BPTI/Kunitz inhibitor 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031; DOMAIN 125..175;  /note=BPTI/Kunitz inhibitor 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031; DOMAIN 217..267;  /note=BPTI/Kunitz inhibitor 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031	NA	NA	NA	NA
P20701	DOMAIN: The integrin I-domain (insert) is a VWFA domain (PubMed:2537322). Integrins with I-domains do not undergo protease cleavage. The I-domain is necessary and sufficient for interaction with ICAM1 and F11R (PubMed:15528364). {ECO:0000269|PubMed:15528364, ECO:0000269|PubMed:2537322}.	SIMILARITY: Belongs to the integrin alpha chain family. {ECO:0000305}.	Integrin alpha chain family	NA	COMPBIAS 1154..1170;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 156..327;  /note=VWFA;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219	MOTIF 1115..1119;  /note=GFFKR motif	REGION 1128..1170;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 31..82;  /note=FG-GAP 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 83..141;  /note=FG-GAP 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 338..389;  /note=FG-GAP 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 390..445;  /note=FG-GAP 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 446..506;  /note=FG-GAP 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 507..563;  /note=FG-GAP 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 567..627;  /note=FG-GAP 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803	NA
Q9NPA2	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	COMPBIAS 290..309;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 88..95;  /note=Cysteine switch;  /evidence=ECO:0000250	REGION 278..313;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 490..526;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 314..363;  /note=Hemopexin 1; REPEAT 367..412;  /note=Hemopexin 2; REPEAT 413..461;  /note=Hemopexin 3; REPEAT 462..508;  /note=Hemopexin 4	NA
Q03405	NA	NA	NA	NA	NA	DOMAIN 23..114;  /note=UPAR/Ly6 1; DOMAIN 115..213;  /note=UPAR/Ly6 2; DOMAIN 214..305;  /note=UPAR/Ly6 3	NA	NA	NA	NA
P16444	NA	SIMILARITY: Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family. {ECO:0000255|PROSITE-ProRule:PRU10073}.	Metallo-dependent hydrolases superfamily, Peptidase M19 family	NA	NA	NA	NA	NA	NA	NA
P16070	DOMAIN: The lectin-like LINK domain is responsible for hyaluronan binding. {ECO:0000250}.	NA	NA	NA	COMPBIAS 167..189;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 261..277;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 381..403;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 418..455;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 473..491;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 499..516;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 529..558;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 590..620;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 627..642;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 32..120;  /note=Link;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00323	NA	REGION 160..189;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 224..649;  /note=Stem; REGION 261..285;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 372..558;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 590..642;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 673..691;  /note=Required for interaction with EZR, MSN and RDX and for co-localization to microvilli;  /evidence=ECO:0000250|UniProtKB:P15379	NA	NA
P35916	DOMAIN: The first and second Ig-like C2-type (immunoglobulin-like) domains are sufficient for VEGFC binding (PubMed:23878260). The fourth and fifth Ig-like C2-type domains are sufficient for homodimerization (PubMed:23878260). The fifth and seventh Ig-like C2-type domains are required for autophosphorylation and further activation (PubMed:23878260). {ECO:0000269|PubMed:23878260}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	NA	NA	DOMAIN 30..127;  /note=Ig-like C2-type 1; DOMAIN 151..213;  /note=Ig-like C2-type 2; DOMAIN 219..326;  /note=Ig-like C2-type 3; DOMAIN 331..415;  /note=Ig-like C2-type 4; DOMAIN 422..552;  /note=Ig-like C2-type 5; DOMAIN 555..671;  /note=Ig-like C2-type 6; DOMAIN 678..764;  /note=Ig-like C2-type 7; DOMAIN 845..1173;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 1291..1331;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P08709	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 61..105;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 106..142;  /note=EGF-like 1; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 147..188;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 213..452;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P21802	DOMAIN: The second and third Ig-like domains directly interact with fibroblast growth factors (FGF) and heparan sulfate proteoglycans. Alternative splicing events affecting the third Ig-like domain are crucial for ligand selectivity. {ECO:0000269|PubMed:1309608, ECO:0000269|PubMed:1400433, ECO:0000269|PubMed:8961926}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily	NA	NA	DOMAIN 25..125;  /note=Ig-like C2-type 1; DOMAIN 154..247;  /note=Ig-like C2-type 2; DOMAIN 256..358;  /note=Ig-like C2-type 3; DOMAIN 481..770;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 131..151;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 161..178;  /note=Heparin-binding	NA	NA
P19438	DOMAIN: The domain that induces A-SMASE is probably identical to the death domain. The N-SMASE activation domain (NSD) is both necessary and sufficient for activation of N-SMASE.; DOMAIN: Both the cytoplasmic membrane-proximal region and the C-terminal region containing the death domain are involved in the interaction with TRPC4AP. {ECO:0000250}.	NA	NA	NA	NA	DOMAIN 356..441;  /note=Death;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00064	NA	REGION 254..273;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 338..348;  /note=N-SMase activation domain (NSD)	REPEAT 43..82;  /note=TNFR-Cys 1; REPEAT 83..125;  /note=TNFR-Cys 2; REPEAT 126..166;  /note=TNFR-Cys 3; REPEAT 167..196;  /note=TNFR-Cys 4	NA
