uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
O95150	TNFSF15	15	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, receptor, secreted, transmembrane, transmembrane_predicted	O95407, Q93038	TNFRSF25, TNFRSF6B	TNFRSF25 [CellTalkDB:11911831;Cellinker:11911831;DIP:21300286;HPMR:11911831;HPRD:11911831;ICELLNET:11239407;InnateDB:20403353;LRdb:11911831;SIGNOR:14585074;connectomeDB2020:11911831], TNFRSF6B [CellTalkDB:11911831;Cellinker:11911831;HPMR:14697332;HPRD:11911831;ICELLNET:11239407;LRdb:11911831;connectomeDB2020:11911831]
P80370	DLK1	7	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P02751, P46531, Q04721, Q99466, Q9UM47	FN1, NOTCH1, NOTCH2, NOTCH3, NOTCH4	FN1 [SIGNOR:20457810], NOTCH1 [Baccin2019:26791579;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:21419176;Cellinker:22353464;LRdb:22353464;Ramilowski2015:21419176;SIGNOR:21419176;connectomeDB2020:21419176;talklr:21419176], NOTCH2 [CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:22353464;LRdb:22353464;connectomeDB2020:22353464], NOTCH3 [CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:22353464;LRdb:22353464;connectomeDB2020:22353464], NOTCH4 [CellChatDB:22353464;CellPhoneDB:22353464;Cellinker:22353464;LRdb:22353464;connectomeDB2020:22353464]
Q6UW88	EPGN	12	adhesion, cell_surface_ligand, ligand	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane, transmembrane_predicted	P00533, Q15303	EGFR, ERBB4	EGFR [CellChatDB:27298358;CellTalkDB:28988771;Cellinker:27298358;IntAct:28988771;SIGNOR:20513444;connectomeDB2020:28988771], ERBB4 [SIGNOR:16469638;SIGNOR:16829981]
P01258	CALCA	15	ligand	extracellular, intracellular, ligand, secreted	O60894, O60895, O60896, P07550, P13945, P16473, P25106, P30988, P32241, P41586, Q03431, Q16602, Q99678, Q9C098, Q9NQS5	ACKR3, ADCYAP1R1, ADRB2, ADRB3, CALCR, CALCRL, DCLK3, GPR20, GPR84, PTH1R, RAMP1, RAMP2, RAMP3, TSHR, VIPR1	CALCRL [Baccin2019:12234182;Baccin2019:14668209;Baccin2019:3001670;Baccin2019:8626685;Baccin2019:9620797;CellTalkDB:9620797;Cellinker:12234182;Cellinker:14668209;Cellinker:3001670;Cellinker:8626685;Cellinker:9620797;Guide2Pharma:10347248;Guide2Pharma:11693189;Guide2Pharma:9620797;HPRD:12234182;HPRD:14668209;HPRD:3001670;HPRD:8626685;HPRD:9620797;LRdb:12234182;LRdb:14668209;LRdb:3001670;LRdb:8626685;LRdb:9620797;connectomeDB2020:12234182;connectomeDB2020:14668209;connectomeDB2020:3001670;connectomeDB2020:8626685;connectomeDB2020:9620797;scConnect:10347248;scConnect:11693189;scConnect:9620797], RAMP2 [Baccin2019:16531504;CellTalkDB:16531504;Cellinker:30139742;Guide2Pharma:11033437;Guide2Pharma:12565884;Guide2Pharma:14722252;Guide2Pharma:15692146;Guide2Pharma:9620797;HPRD:16531504;LRdb:16531504;connectomeDB2020:16531504], RAMP3 [CellTalkDB:30139742;Cellinker:30139742;Guide2Pharma:10347248;Guide2Pharma:11033437;Guide2Pharma:11693189;Guide2Pharma:12565884;Guide2Pharma:14722252;Guide2Pharma:15692146], CALCR [Baccin2019:10342886;Baccin2019:11023820;Baccin2019:11033437;Baccin2019:12565884;Baccin2019:14722252;Baccin2019:15692146;Baccin2019:2158663;Baccin2019:7588285;Baccin2019:9487987;CellTalkDB:2158663;Cellinker:10342886;Cellinker:11023820;Cellinker:11033437;Cellinker:12565884;Cellinker:14722252;Cellinker:15692146;Cellinker:2158663;Cellinker:7588285;Cellinker:9487987;Guide2Pharma:10342886;Guide2Pharma:11023820;Guide2Pharma:11033437;Guide2Pharma:12565884;Guide2Pharma:14722252;Guide2Pharma:15692146;Guide2Pharma:26125036;Guide2Pharma:7588285;Guide2Pharma:9487987;LRdb:10342886;LRdb:11023820;LRdb:11033437;LRdb:12565884;LRdb:14722252;LRdb:15692146;LRdb:2158663;LRdb:7588285;LRdb:9487987;connectomeDB2020:10342886;connectomeDB2020:11023820;connectomeDB2020:11033437;connectomeDB2020:12565884;connectomeDB2020:14722252;connectomeDB2020:15692146;connectomeDB2020:2158663;connectomeDB2020:7588285;connectomeDB2020:9487987;scConnect:10342886;scConnect:11023820;scConnect:11033437;scConnect:12565884;scConnect:14722252;scConnect:15692146;scConnect:26125036;scConnect:7588285;scConnect:9487987], RAMP1 [Baccin2019:962079712234182;CellTalkDB:9620797;Cellinker:30139742;Guide2Pharma:11023820;Guide2Pharma:11033437;Guide2Pharma:11693189;Guide2Pharma:12565884;Guide2Pharma:14722252;Guide2Pharma:15692146;Guide2Pharma:26125036;Guide2Pharma:9620797;HPRD:12234182;LRdb:122;LRdb:9620797;connectomeDB2020:12234182;connectomeDB2020:9620797], ADCYAP1R1 [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], TSHR [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], PTH1R [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], DCLK3 [Cellinker:30139742], ACKR3 [Cellinker:15193773]
P01042	KNG1	13	ligand	ecm_regulator, extracellular, intracellular, ligand, secreted	P05107, P07359, P08311, P08913, P11215, P30411, P34741, P46663, P48039, Q03405, Q14831, Q8IZ08, Q8TDU9, Q9NPY3	ADRA2A, BDKRB1, BDKRB2, CD93, CTSG, GP1BA, GP1BA_GP1BB_GP5_GP9, GPR135, GRM7, ITGAM, ITGB2, MTNR1A, PLAUR, RXFP4, SDC2	BDKRB1 [CellTalkDB:8856107;Cellinker:10422787;Cellinker:8063797;Cellinker:9111052;Cellinker:9313952;Guide2Pharma:10422787;Guide2Pharma:8735629;Guide2Pharma:9111052;Guide2Pharma:9313952;HPMR:8063797;LRdb:10422787;LRdb:8063797;LRdb:9111052;LRdb:9313952;connectomeDB2020:10422787;connectomeDB2020:8063797;connectomeDB2020:9111052;connectomeDB2020:9313952;scConnect:10422787;scConnect:8735629;scConnect:9111052;scConnect:9313952], BDKRB2 [CellTalkDB:8063797;Cellinker:8063797;Cellinker:8302267;Cellinker:9203620;Guide2Pharma:8302267;Guide2Pharma:9203620;HPMR:8063797;LRdb:8063797;LRdb:8302267;LRdb:9203620;SIGNOR:28966616;connectomeDB2020:8063797;connectomeDB2020:8302267;connectomeDB2020:9203620;scConnect:8302267;scConnect:9203620], ITGAM [CellTalkDB:32196115], ADRA2A [CellTalkDB:32196115], RXFP4 [CellTalkDB:14530218;Cellinker:14530218;HPRD:14530218;LRdb:14530218;connectomeDB2020:14530218], PLAUR [CellTalkDB:14764580;Cellinker:14764580;HPRD:14764580;LRdb:14764580;connectomeDB2020:14764580], MTNR1A [CellTalkDB:32196115], ITGB2 [CellTalkDB:10845911;Cellinker:10845911;HPRD:10845911;LRdb:10845911;connectomeDB2020:10845911], SDC2 [Baccin2019:10843988;CellTalkDB:32196115], GRM7 [CellTalkDB:32196115], GP1BA [CellTalkDB:9269768;HPRD:9269768;LRdb:9269768;connectomeDB2020:9269768], CD93 [CellTalkDB:12213329;Cellinker:12213329;Cellinker:8710908;HPRD:12213329;HPRD:8710908;LRdb:12213329;LRdb:87], GPR135 [Cellinker:1374385;Cellinker:14530218;HPMR:1374385;LRdb:14;LRdb:14530218;connectomeDB2020:1374385;connectomeDB2020:14530218], CTSG [HPRD:11920276]
O43854	EDIL3	9	adhesion, ecm, ligand	adhesion, cell_adhesion, ecm, extracellular, ligand, secreted	P05106, P06756, P18084	ITGA5_ITGB1, ITGAV, ITGAV_ITGB3, ITGB3, ITGB5	ITGAV [CellTalkDB:11959660;Cellinker:11959660;HPRD:11959660;LRdb:11959660], ITGB5 [CellTalkDB:32196115], ITGB3 [connectomeDB2020:28846069]
P09544	WNT2	16	ecm, ligand, receptor	ecm, intracellular, ligand, receptor, secreted	O00144, O75084, O75197, O75581, Q13467, Q14332, Q9H461, Q9NPG1, Q9ULV1, Q9UP38	FZD1, FZD1_LRP5, FZD1_LRP6, FZD10_LRP5, FZD10_LRP6, FZD2, FZD2_LRP5, FZD2_LRP6, FZD3, FZD3_LRP5, FZD3_LRP6, FZD4, FZD4_LRP5, FZD4_LRP6, FZD5, FZD5_LRP5, FZD5_LRP6, FZD6_LRP5, FZD6_LRP6, FZD7, FZD7_LRP5, FZD7_LRP6, FZD8, FZD8_LRP5, FZD8_LRP6, FZD9, FZD9_LRP5, FZD9_LRP6, LRP5, LRP6	FZD9 [Baccin2019:12138115;CellPhoneDB:24032637;CellTalkDB:12138115;HPRD:12138115;LRdb:12138115;NetPath:19038973;SignaLink3:12138115;SignaLink3:23331499;connectomeDB2020:12138115], LRP5 [Cellinker:23209147;SIGNOR:15578921], LRP6 [CellTalkDB:32196115;Cellinker:23209147;SIGNOR:15578921], FZD1 [Baccin2019:10557084;CancerCellMap:10557084;CellTalkDB:10557084;HPRD:10557084;LRdb:10557084;NetPath:10557084;connectomeDB2020:10557084], FZD4 [CellPhoneDB:24032637;CellTalkDB:24032637;LRdb:24032637;connectomeDB2020:24032637], FZD7 [LRdb:23815780;Ramilowski2015:23815780;connectomeDB2020:23815780;talklr:23815780], FZD3 [CellPhoneDB:24032637;CellTalkDB:24032637;LRdb:24032637;NetPath:19038973;connectomeDB2020:24032637], FZD8 [CellTalkDB:23815780;LRdb:23815780;Ramilowski2015:23815780;connectomeDB2020:23815780;talklr:23815780], FZD5 [Baccin2019:24032637;LRdb:18302287;Ramilowski2015:18302287;connectomeDB2020:18302287;talklr:18302287], FZD2 [CellPhoneDB:24032637;CellTalkDB:24032637;connectomeDB2020:24032637]
P10600	TGFB3	21	cell_surface_ligand, ecm, ligand	cell_surface_ligand, ecm, extracellular, intracellular, ligand, ligand_regulator, secreted, transmembrane	P05106, P05556, P17813, P18084, P18564, P36897, P37023, P37173, P61812, Q03167	ACVR1_TGFBR1, ACVR1_TGFBR1_TGFBR2, ACVR1_TGFBR2, ACVR1B_TGFBR2, ACVR1C_TGFBR2, ACVRL1, ENG, ITGB1, ITGB3, ITGB5, ITGB6, TGFB2, TGFBR1, TGFBR1_TGFBR2, TGFBR2, TGFBR3	TGFBR2 [Baccin2019:11382746;Baccin2019:11850637;Baccin2019:12729750;Baccin2019:8106553;BioGRID:11850637;BioGRID:12729750;CancerCellMap:11382746;CancerCellMap:11850637;CancerCellMap:12729750;CellTalkDB:11850637;DIP:7878020;Guide2Pharma:29170498;HPRD:11382746;HPRD:11850637;HPRD:12729750;HPRD:8106553;InnateDB:15017149;InnateDB:18243111;IntAct:11850637;IntAct:21423151;LRdb:11382746;LRdb:11850637;LRdb:12729750;LRdb:8106553;Lit-BM-17:11157754;Lit-BM-17:11850637;Lit-BM-17:12729750;Lit-BM-17:21423151;Lit-BM-17:7878020;Lit-BM-17:9872992;NetPath:11382746;SIGNOR:11157754;SignaLink3:11157754;SignaLink3:11382746;SignaLink3:11850637;SignaLink3:12729750;SignaLink3:15017149;SignaLink3:16446785;SignaLink3:18243111;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:8106553;SignaLink3:9872992;connectomeDB2020:11382746;connectomeDB2020:11850637;connectomeDB2020:12729750;connectomeDB2020:8106553;scConnect:29170498], TGFBR1 [Baccin2019:11850637;Baccin2019:12060054;Baccin2019:12607775;CellTalkDB:11850637;DIP:10187774;HPRD:11850637;HPRD:12060054;HPRD:12607775;InnateDB:18243111;LRdb:11850637;LRdb:12060054;LRdb:12607775;Lit-BM-17:10187774;Lit-BM-17:21423151;connectomeDB2020:11850637], TGFBR3 [Baccin2019:11382746;CancerCellMap:11382746;CellTalkDB:11382746;Cellinker:11382746;HPRD:11382746;LRdb:11382746;NetPath:11382746;connectomeDB2020:11382746], ENG [Baccin2019:9872992;CellTalkDB:9872992;Cellinker:9872992;HPRD:9872992;LRdb:9872992;connectomeDB2020:9872992], ITGB1 [CellTalkDB:32196115], ITGB3 [CellTalkDB:32196115;ELM:25383667;ELM:31955848], ACVRL1 [Baccin2019:1185063710187770;CellTalkDB:11850637;Cellinker:10187774;Cellinker:11850637;DIP:10187774;HPRD:10187774;LRdb:1;LRdb:11850637;connectomeDB2020:10187774;connectomeDB2020:11850637], ITGB6 [CellTalkDB:11821050;ELM:25383667;ELM:31955848], ITGB5 [CellTalkDB:32196115], TGFB2 [HPRD:11157754]
P78556	CCL20	18	ligand	extracellular, intracellular, ligand, secreted	P08913, P48039, P49682, P51684, Q14831, Q9NPB9	ACKR4, ADRA2A, CCR6, CXCR3, GRM7, MTNR1A	CCR6 [Baccin2019:12081481;Baccin2019:12964882;Baccin2019:9169459;Baccin2019:9223454;Baccin2019:9294137;CellPhoneDB:24218476;CellTalkDB:24218476;Cellinker:12081481;Cellinker:12964882;Cellinker:9169459;Cellinker:9223454;Cellinker:9294137;DIP:10488147;DIP:10498628;DIP:9169459;Guide2Pharma:12081481;Guide2Pharma:9169459;Guide2Pharma:9294137;HPMR:12964882;HPRD:9169459;HPRD:9223454;HPRD:9294137;ICELLNET:22633458;InnateDB:9169459;LRdb:10699158;connectomeDB2020:12081481;connectomeDB2020:12964882;connectomeDB2020:9169459;connectomeDB2020:9223454;connectomeDB2020:9294137;scConnect:12081481;scConnect:9169459;scConnect:9294137], CXCR3 [Baccin2019:9660793;Cellinker:9660793;Guide2Pharma:9660793;LRdb:9660793;connectomeDB2020:9660793;scConnect:9660793], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], GRM7 [CellTalkDB:32196115], ACKR4 [Cellinker:32480426;connectomeDB2020:32533638]
P51884	LUM	1	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	P05556	ITGB1	ITGB1 [CellTalkDB:32196115]
