uniprot	genesymbol	consensus_score	generic_categories	all_categories	ligand_uniprot	ligand_symbol	ligand_references
P26951	IL3RA	21	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	O60674, P04141, P08700, P23458, Q05516	CSF2, IL3, JAK1, JAK2, ZBTB16	JAK2 [HPRD:15988755;NetPath:15988755], ZBTB16 [SPIKE:19723763], IL3 [BioGRID:8649415;CellTalkDB:11700046;DIP:8649415;HPMR:11700046;HPRD:8649415;HPRD:9278420;InnateDB:7957082;LRdb:11700046;LRdb:8649415;LRdb:9278420;NetPath:9278420;SIGNOR:11700046;SIGNOR:1465408;SignaLink3:1465408;SignaLink3:23331499;connectomeDB2020:11700046;connectomeDB2020:8649415;connectomeDB2020:9278420], CSF2 [Baccin2019:7957082;CellTalkDB:7957082;Cellinker:7957082;HPRD:7957082;LRdb:7957082;connectomeDB2020:7957082], JAK1 [HPRD:15988755;NetPath:15988755]
Q96CH1	GPR146	6	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
Q7Z442	PKD1L2	0	receptor, transporter	cell_surface, intracellular, ion_channel, receptor, transmembrane, transporter	NA	NA	NA
Q12913	PTPRJ	8	adhesion, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P00533, P07996, P08581, P09619, P12931, P34741, P35222, P35968	CTNNB1, EGFR, KDR, MET, PDGFRB, SDC2, SRC, THBS1	SRC [PhosphoSite:24583284;ProtMapper:26556953], EGFR [HPRD:9115287;Lit-BM-17:19167335;Lit-BM-17:19836242], MET [HPRD:12370829;IntAct:12475979;IntAct:19167335], PDGFRB [HPRD:12062403;IntAct:10821867;IntAct:19167335], KDR [IntAct:18936167], SDC2 [Baccin2019:21813734;connectomeDB2020:21813734], THBS1 [Baccin2019:22308318;connectomeDB2020:22308318], CTNNB1 [HPRD:12370829;IntAct:12370829;IntAct:19167335]
Q13510	ASAH1	1	receptor	extracellular, intracellular, receptor, secreted	NA	NA	NA
Q01362	MS4A2	3	receptor	extracellular, intracellular, receptor, transmembrane	P07948, P43405	LYN, SYK	LYN [HPRD:19356729;HPRD:7528770;HPRD:7612892;InnateDB:22845063], SYK [HPRD:8071371]
Q13444	ADAM15	3	adhesion, cell_surface_ligand, receptor, secreted_enzyme	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, ecm_regulator, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted_enzyme, secreted_peptidase, transmembrane, transmembrane_predicted	P00519, P06239, P06241, P08069, P08631, P08648, P09564, P12931, Q13797	ABL1, CD7, FYN, HCK, IGF1R, ITGA5, ITGA9, LCK, SRC	HCK [DOMINO:11741929;DOMINO:16374509;HPRD:11741929;HPRD:16374509;IntAct:11741929;IntAct:16374509;IntAct:25825872;KEA:11741929;PhosphoSite:11741929;ProtMapper:11741929;SIGNOR:11741929;dbPTM:11741929;iPTMnet:11741929;phosphoELM:11741929], LCK [DOMINO:11741929;HPRD:11741929;HPRD:16374509;IntAct:11741929;IntAct:25825872;ProtMapper:11741929;SIGNOR:11741929;dbPTM:11741929;iPTMnet:11741929], ITGA9 [Cellinker:10944520], ITGA5 [Cellinker:9516430;Cellinker:9914169;HPMR:9516430;HPMR:9914169], CD7 [Cellinker:32589946], SRC [DOMINO:11741929;DOMINO:16374509;HPRD:11741929;HPRD:16374509;InnateDB:18296648;IntAct:11741929;IntAct:16374509;IntAct:25825872;KEA:11741929;LMPID:19718658;Lit-BM-17:11741929;Lit-BM-17:16374509;Lit-BM-17:18296648;iPTMnet:11741929;phosphoELM:11741929], ABL1 [DOMINO:11741929;HPRD:11741929], FYN [DOMINO:11741929;DOMINO:16374509;HPRD:11741929;HPRD:16374509], IGF1R [KEA:17570479]
Q8TDU5	VN1R17P	2	receptor	plasma_membrane, receptor, transmembrane	NA	NA	NA
Q8NGL7	OR4P4	3	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
H3BV60	TGFBR3L	1	receptor	ligand_regulator, receptor, transmembrane	NA	NA	NA
Q9Y4K0	LOXL2	2	ecm, receptor, secreted_enzyme	ecm, ecm_regulator, extracellular, intracellular, receptor, secreted, secreted_enzyme	NA	NA	NA
P09544	WNT2	1	ecm, ligand, receptor	ecm, intracellular, ligand, receptor, secreted	Q8N474	SFRP1	SFRP1 [HPRD:10347172;NetPath:10347172;SPIKE:10347172]
Q96KK4	OR10C1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q8NGG0	OR8J3	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
P36888	FLT3	20	receptor	cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P06239, P07333, P10721, P11309, P22681, P41240, P43405, P49771, Q13191, Q9H6Q3	CBL, CBLB, CSF1R, CSK, FLT3LG, KIT, LCK, PIM1, SLA2, SYK	FLT3LG [Baccin2019:15147956;Baccin2019:7505204;Baccin2019:9651358;CellChatDB:25992210;CellTalkDB:9651358;Cellinker:15147956;Cellinker:15618475;Cellinker:19830725;Cellinker:25992210;Cellinker:7505204;Cellinker:9651358;HPMR:12681969;HPMR:15147956;HPRD:7505204;HPRD:9651358;ICELLNET:21389326;LRdb:15147956;LRdb:7505204;LRdb:9651358;SIGNOR:10080542;SIGNOR:12681969;SPIKE:7505204;SPIKE:9651358;connectomeDB2020:15147956;connectomeDB2020:7505204;connectomeDB2020:9651358], CSK [SignaLink3:23707526], SLA2 [SIGNOR:27458164], PIM1 [ProtMapper:24040307;SIGNOR:24040307;iPTMnet:24040307], CBL [ACSN:10514377;ACSN:17635922;SIGNOR:19276253], CBLB [ACSN:10514377;ACSN:17635922;HPRD:9614102;SIGNOR:19276253], CSF1R [KEA:17570479], KIT [KEA:17570479], LCK [KEA:17570479], SYK [IntAct:24525236;IntAct:28086240;ProtMapper:24525236]
Q96RD7	PANX1	2	receptor, transporter	cell_surface, extracellular, gap_junction, intracellular, ion_channel, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transporter	P12931	SRC	SRC [PhosphoSite:30814251;ProtMapper:26242575;ProtMapper:30814251]
P05771	PRKCB	1	receptor	intracellular, receptor	O15530, O60346, P24941, P25098, P43405, P53004, P54792, P62136, P62714, P67775, Q16539, Q6ZVD8	BLVRA, CDK2, DVL1P1, GRK2, MAPK14, PDPK1, PHLPP1, PHLPP2, PPP1CA, PPP2CA, PPP2CB, SYK	BLVRA [KEA:17227757;PhosphoSite:17227757;ProtMapper:17227757;SIGNOR:17227757;SPIKE:17227757;iPTMnet:17227757], PHLPP2 [DEPOD:18162466;ProtMapper:18162466;SIGNOR:18162466], PPP2CB [DEPOD:15880462;DEPOD:8749392;HPRD-phos:8749392;HPRD:8749392;ProtMapper:8749392;SIGNOR:15880462;SIGNOR:8749392], PPP2CA [DEPOD:15880462;DEPOD:8749392;ProtMapper:8749392;SIGNOR:15880462;SIGNOR:8749392], PDPK1 [HPRD:11376011;ProtMapper:17115692;SIGNOR:15209375;SIGNOR:17115692;iPTMnet:17115692;iPTMnet:9889098], PHLPP1 [DEPOD:18162466;IntAct:18162466;ProtMapper:18162466;SIGNOR:18162466], DVL1P1 [SIGNOR:23151663], PPP1CA [DEPOD:7961910;DEPOD:8749392;KEA:17227757;KEA:18071308;KEA:18088087], CDK2 [KEA:17570479], MAPK14 [KEA:17570479], SYK [KEA:12881490;iPTMnet:12881490], GRK2 [HPRD:12456365;HPRD:12679936]
Q8NGP8	OR5M1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
O15353	FOXN1	1	receptor	intracellular, receptor	NA	NA	NA
