hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
A1BG	alpha-1-B glycoprotein	No		2.962624	NA	Secreted to blood	Secreted.	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]	NA	neutrophil degranulation [GO:0043312]; platelet degranulation [GO:0002576]	ENSG00000121410	P04217	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A1BG&keywords=A1BG		
A2M	alpha-2-macroglobulin	No		29.218228	Protease inhibitor I39 (alpha-2-macroglobulin) family	Secreted to blood	Secreted {ECO:0000269|PubMed:6203908}.	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]	calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]	extracellular matrix disassembly [GO:0022617]; negative regulation of blood coagulation, intrinsic pathway [GO:2000267]; negative regulation of complement activation, lectin pathway [GO:0001869]; platelet degranulation [GO:0002576]; regulation of small GTPase mediated signal transduction [GO:0051056]; stem cell differentiation [GO:0048863]	ENSG00000175899	P01023	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M&keywords=A2M		
A2ML1	alpha-2-macroglobulin like 1	No		0.340299	Protease inhibitor I39 (alpha-2-macroglobulin) family	Locally secreted	Secreted {ECO:0000269|PubMed:16298998}.	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]	endopeptidase inhibitor activity [GO:0004866]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]	regulation of endopeptidase activity [GO:0052548]	ENSG00000166535	A8K2U0	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2ML1&keywords=A2ML1		
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	No		0.097954	Glycosyltransferase 32 family	Intracellular or membrane-bound	Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000255}.	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	acetylglucosaminyltransferase activity [GO:0008375]; transferase activity, transferring hexosyl groups [GO:0016758]	carbohydrate metabolic process [GO:0005975]; glycoprotein biosynthetic process [GO:0009101]; negative regulation of epithelial cell proliferation [GO:0050680]; O-glycan processing [GO:0016266]; protein O-linked glycosylation [GO:0006493]	ENSG00000118017	Q9UNA3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=A4GNT&keywords=A4GNT		
AADACL2	arylacetamide deacetylase like 2	No		0.000234	GDXG' lipolytic enzyme family	Locally secreted	Secreted.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	carboxylic ester hydrolase activity [GO:0052689]; hydrolase activity [GO:0016787]	NA	ENSG00000197953	Q6P093	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AADACL2&keywords=AADACL2		
AANAT	aralkylamine N-acetyltransferase	No		0.063952	Acetyltransferase family, AANAT subfamily	Intracellular or membrane-bound	Cytoplasm {ECO:0000269|PubMed:11313340}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]	14-3-3 protein binding [GO:0071889]; aralkylamine N-acetyltransferase activity [GO:0004059]; arylamine N-acetyltransferase activity [GO:0004060]	cellular response to cAMP [GO:0071320]; circadian rhythm [GO:0007623]; indolalkylamine biosynthetic process [GO:0046219]; melatonin biosynthetic process [GO:0030187]; N-terminal protein amino acid acetylation [GO:0006474]; photoperiodism [GO:0009648]; response to calcium ion [GO:0051592]; response to copper ion [GO:0046688]; response to corticosterone [GO:0051412]; response to cytokine [GO:0034097]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]; response to prostaglandin E [GO:0034695]; response to zinc ion [GO:0010043]	ENSG00000129673	Q16613	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AANAT&keywords=AANAT		
ABHD10	abhydrolase domain containing 10, depalmitoylase	No		37.292258	AB hydrolase superfamily	Intracellular or membrane-bound	Mitochondrion {ECO:0000269|PubMed:31740833}.	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; mycophenolic acid acyl-glucuronide esterase activity [GO:0102390]; palmitoyl-(protein) hydrolase activity [GO:0008474]	cellular glucuronidation [GO:0052695]; glucuronoside catabolic process [GO:0019391]; protein depalmitoylation [GO:0002084]	ENSG00000144827	Q9NUJ1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD10&keywords=ABHD10		
ABHD15	abhydrolase domain containing 15	No		14.754094	AB hydrolase superfamily, AB hydrolase 4 family	Locally secreted	Secreted {ECO:0000305}.	extracellular region [GO:0005576]; membrane [GO:0016020]	acylglycerol lipase activity [GO:0047372]; short-chain carboxylesterase activity [GO:0034338]	cellular lipid metabolic process [GO:0044255]	ENSG00000168792	Q6UXT9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD15&keywords=ABHD15		
ABHD18	abhydrolase domain containing 18	No		6.794403	AB hydrolase superfamily	Intracellular or membrane-bound	Secreted {ECO:0000305}.	extracellular region [GO:0005576]	NA	NA	ENSG00000164074	Q0P651	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD18&keywords=ABHD18		
ABI3BP	ABI family member 3 binding protein	No		5.488913	NA	Locally secreted	Secreted {ECO:0000305}.	collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	NA	NA	ENSG00000154175	Q7Z7G0	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI3BP&keywords=ABI3BP		
