hgnc_symbol	description	keep_in_list	ensembl_gene_ids	uniprot_gn_ids	consensus_score
INHBA	inhibin subunit beta A	Yes	ENSG00000122641	P08476	21
IL11	interleukin 11	Yes	ENSG00000095752	P20809	21
VEGFB	vascular endothelial growth factor B	Yes	ENSG00000173511	P49765	21
LIF	LIF interleukin 6 family cytokine	Yes	ENSG00000128342	P15018	21
TGFB1	transforming growth factor beta 1	Yes	ENSG00000105329	P01137	21
IL6	interleukin 6	Yes	ENSG00000136244	P05231	21
TGFB2	transforming growth factor beta 2	Yes	ENSG00000092969	P61812	21
BMP2	bone morphogenetic protein 2	Yes	ENSG00000125845	P12643	21
IL7	interleukin 7	Yes	ENSG00000104432	P13232	21
IL4	interleukin 4	Yes	ENSG00000113520	P05112	21
TGFB3	transforming growth factor beta 3	Yes	ENSG00000119699	P10600	21
BMP6	bone morphogenetic protein 6	Yes	ENSG00000153162	P22004	21
IL10	interleukin 10	Yes	ENSG00000136634	P22301	21
BMP4	bone morphogenetic protein 4	Yes	ENSG00000125378	P12644	21
OSM	oncostatin M	Yes	ENSG00000099985	P13725	21
IL2	interleukin 2	Yes	ENSG00000109471	P60568	21
BMP7	bone morphogenetic protein 7	Yes	ENSG00000101144	P18075	21
BMP5	bone morphogenetic protein 5	Yes	ENSG00000112175	P22003	20
VEGFA	vascular endothelial growth factor A	Yes	ENSG00000112715	P15692	20
IL1A	interleukin 1 alpha	Yes	ENSG00000115008	P01583	20
TGFA	transforming growth factor alpha	Yes	ENSG00000163235	P01135	20
IL15	interleukin 15	Yes	ENSG00000164136	P40933	20
WNT5A	Wnt family member 5A	Yes	ENSG00000114251	P41221	20
IL1B	interleukin 1 beta	Yes	ENSG00000125538	P01584	20
VEGFC	vascular endothelial growth factor C	Yes	ENSG00000150630	P49767	20
CXCL12	C-X-C motif chemokine ligand 12	Yes	ENSG00000107562	P48061	20
NGF	nerve growth factor	Yes	ENSG00000134259	P01138	20
CSF3	colony stimulating factor 3	Yes	ENSG00000108342	P09919	20
BDNF	brain derived neurotrophic factor	Yes	ENSG00000176697	P23560	20
IL5	interleukin 5	Yes	ENSG00000113525	P05113	20
THPO	thrombopoietin	Yes	ENSG00000090534	P40225	20
NTF3	neurotrophin 3	Yes	ENSG00000185652	P20783	20
IL9	interleukin 9	Yes	ENSG00000145839	P15248	20
IL13	interleukin 13	Yes	ENSG00000169194	P35225	20
CCL25	C-C motif chemokine ligand 25	Yes	ENSG00000131142	O15444	20
WNT4	Wnt family member 4	Yes	ENSG00000162552	P56705	19
CCL28	C-C motif chemokine ligand 28	Yes	ENSG00000151882	Q9NRJ3	19
AREG	amphiregulin	Yes	ENSG00000109321	P15514	19
CCL7	C-C motif chemokine ligand 7	Yes	ENSG00000108688	P80098	19
PDGFC	platelet derived growth factor C	Yes	ENSG00000145431	Q9NRA1	19
HGF	hepatocyte growth factor	Yes	ENSG00000019991	P14210	19
EGF	epidermal growth factor	Yes	ENSG00000138798	P01133	19
CSF1	colony stimulating factor 1	Yes	ENSG00000184371	P09603	19
KITLG	KIT ligand	Yes	ENSG00000049130	P21583	19
CSF2	colony stimulating factor 2	Yes	ENSG00000164400	P04141	19
CX3CL1	C-X3-C motif chemokine ligand 1	Yes	ENSG00000006210	P78423	19
CXCL10	C-X-C motif chemokine ligand 10	Yes	ENSG00000169245	P02778	19
IL19	interleukin 19	Yes	ENSG00000142224	Q9UHD0	19
CCL4	C-C motif chemokine ligand 4	Yes	"ENSG00000277943, ENSG00000275824, ENSG00000275302"	P13236	19
INHBB	inhibin subunit beta B	Yes	ENSG00000163083	P09529	19
CCL22	C-C motif chemokine ligand 22	Yes	ENSG00000102962	O00626	19
CCL5	C-C motif chemokine ligand 5	Yes	"ENSG00000274233, ENSG00000271503"	P13501	19
TNF	tumor necrosis factor	Yes	"ENSG00000228978, ENSG00000204490, ENSG00000223952, ENSG00000228849, ENSG00000228321, ENSG00000230108, ENSG00000206439, ENSG00000232810"	P01375	19
CCL11	C-C motif chemokine ligand 11	Yes	ENSG00000172156	P51671	19
CCL13	C-C motif chemokine ligand 13	Yes	ENSG00000181374	Q99616	19
IGF1	insulin like growth factor 1	Yes	ENSG00000017427	P05019	19
IL3	interleukin 3	Yes	ENSG00000164399	P08700	19
EPO	erythropoietin	Yes	ENSG00000130427	P01588	19
AMH	anti-Mullerian hormone	Yes	ENSG00000104899	P03971	19
NTF4	neurotrophin 4	Yes	ENSG00000225950	P34130	19
CTF1	cardiotrophin 1	Yes	ENSG00000150281	Q16619	19
LTA	lymphotoxin alpha	Yes	"ENSG00000230279, ENSG00000238130, ENSG00000231408, ENSG00000223919, ENSG00000173503, ENSG00000226275, ENSG00000226979"	P01374	19
BMP10	bone morphogenetic protein 10	Yes	ENSG00000163217	O95393	19
IGF2	insulin like growth factor 2	Yes	ENSG00000167244	P01344	18
TNFSF10	TNF superfamily member 10	Yes	ENSG00000121858	P50591	18
PDGFA	platelet derived growth factor subunit A	Yes	ENSG00000197461	P04085	18
CCL2	C-C motif chemokine ligand 2	Yes	ENSG00000108691	P13500	18
FGF19	fibroblast growth factor 19	Yes	ENSG00000162344	O95750	18
CXCL6	C-X-C motif chemokine ligand 6	Yes	ENSG00000124875	P80162	18
CXCL2	C-X-C motif chemokine ligand 2	Yes	ENSG00000081041	P19875	18
CCL20	C-C motif chemokine ligand 20	Yes	ENSG00000115009	P78556	18
CXCL1	C-X-C motif chemokine ligand 1	Yes	ENSG00000163739	P09341	18
FGF7	fibroblast growth factor 7	Yes	ENSG00000140285	P21781	18
IL24	interleukin 24	Yes	ENSG00000162892	Q13007	18
BTC	betacellulin	Yes	ENSG00000174808	P35070	18
CXCL3	C-X-C motif chemokine ligand 3	Yes	ENSG00000163734	P19876	18
NRG4	neuregulin 4	Yes	ENSG00000169752	Q8WWG1	18
NRG2	neuregulin 2	Yes	ENSG00000158458	O14511	18
FGF2	fibroblast growth factor 2	Yes	ENSG00000138685	P09038	18
IL18	interleukin 18	Yes	ENSG00000150782	Q14116	18
HBEGF	heparin binding EGF like growth factor	Yes	ENSG00000113070	Q99075	18
CCL8	C-C motif chemokine ligand 8	Yes	ENSG00000108700	P80075	18
PDGFB	platelet derived growth factor subunit B	Yes	ENSG00000100311	P01127	18
CXCL9	C-X-C motif chemokine ligand 9	Yes	ENSG00000138755	Q07325	18
TSLP	thymic stromal lymphopoietin	Yes	ENSG00000145777	Q969D9	18
TNFSF14	TNF superfamily member 14	Yes	ENSG00000125735	O43557	18
IL20	interleukin 20	Yes	ENSG00000162891	Q9NYY1	18
TNFSF13B	TNF superfamily member 13b	Yes	ENSG00000102524	Q9Y275	18
FGF1	fibroblast growth factor 1	Yes	ENSG00000113578	P05230	18
EDN2	endothelin 2	Yes	ENSG00000127129	P20800	18
CCL1	C-C motif chemokine ligand 1	Yes	ENSG00000108702	P22362	18
CCL21	C-C motif chemokine ligand 21	Yes	ENSG00000137077	O00585	18
FGF10	fibroblast growth factor 10	Yes	ENSG00000070193	O15520	18
IL22	interleukin 22	Yes	ENSG00000127318	Q9GZX6	18
FGF18	fibroblast growth factor 18	Yes	ENSG00000156427	O76093	18
FGF6	fibroblast growth factor 6	Yes	ENSG00000111241	P10767	18
FGF17	fibroblast growth factor 17	Yes	ENSG00000158815	O60258	18
XCL1	X-C motif chemokine ligand 1	Yes	ENSG00000143184	P47992	18
CXCL13	C-X-C motif chemokine ligand 13	Yes	ENSG00000156234	O43927	18
FGF8	fibroblast growth factor 8	Yes	ENSG00000107831	P55075	18
LEP	leptin	Yes	ENSG00000174697	P41159	18
WNT3A	Wnt family member 3A	Yes	ENSG00000154342	P56704	18
GH1	growth hormone 1	Yes	ENSG00000259384	P01241	18
CCL24	C-C motif chemokine ligand 24	Yes	ENSG00000106178	O00175	18
INS	insulin	Yes	ENSG00000254647	P01308	17
EDN3	endothelin 3	Yes	ENSG00000124205	P14138	17
CXCL8	C-X-C motif chemokine ligand 8	Yes	ENSG00000169429	P10145	17
FGF9	fibroblast growth factor 9	Yes	ENSG00000102678	P31371	17
EDA	ectodysplasin A	Yes	ENSG00000158813	Q92838	17
TNFSF11	TNF superfamily member 11	Yes	ENSG00000120659	O14788	17
CXCL5	C-X-C motif chemokine ligand 5	Yes	ENSG00000163735	P42830	17
CXCL11	C-X-C motif chemokine ligand 11	Yes	ENSG00000169248	O14625	17
IL23A	interleukin 23 subunit alpha	Yes	ENSG00000110944	Q9NPF7	17
EDN1	endothelin 1	Yes	ENSG00000078401	P05305	17
CCL15	C-C motif chemokine ligand 15	Yes	"ENSG00000275528, ENSG00000275718"	Q16663	17
WNT7A	Wnt family member 7A	Yes	ENSG00000154764	O00755	17
