hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
RPSA	ribosomal protein SA 	1311.9969141573329	Universal ribosomal protein uS2 family	Cell membrane. Cytoplasm. Nucleus {ECO:0000255|HAMAP-Rule:MF_03016}. Note=67LR is found at the surface of the plasma membrane, with its C-terminal laminin-binding domain accessible to extracellular ligands. 37LRP is found at the cell surface, in the cytoplasm and in the nucleus (By similarity). Colocalizes with PPP1R16B in the cell membrane. {ECO:0000255|HAMAP-Rule:MF_03016}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	laminin binding [GO:0043236]; laminin receptor activity [GO:0005055]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; virus receptor activity [GO:0001618]	cell adhesion [GO:0007155]; cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]	ENSG00000168028	P08865
CD63	CD63 molecule 	1245.756541429065	Tetraspanin (TM4SF) family	Cell membrane {ECO:0000269|PubMed:15351990, ECO:0000269|PubMed:19640571, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:19640571, ECO:0000269|PubMed:1993697, ECO:0000269|PubMed:22431521, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:10793155, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Endosome, multivesicular body {ECO:0000269|PubMed:21962903}. Melanosome {ECO:0000269|PubMed:21962903}. Secreted, extracellular exosome {ECO:0000269|PubMed:22660413}. Cell surface {ECO:0000269|PubMed:16917503, ECO:0000269|PubMed:23632027, ECO:0000269|PubMed:24635319}. Note=Also found in Weibel-Palade bodies of endothelial cells (PubMed:10793155). Located in platelet dense granules (PubMed:7682577). Detected in a subset of pre-melanosomes. Detected on intralumenal vesicles (ILVs) within multivesicular bodies (PubMed:21962903). {ECO:0000269|PubMed:10793155, ECO:0000269|PubMed:21962903, ECO:0000269|PubMed:7682577}.	azurophil granule membrane [GO:0035577]; cell surface [GO:0009986]; endosome lumen [GO:0031904]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; intrinsic component of plasma membrane [GO:0031226]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; multivesicular body, internal vesicle [GO:0097487]; multivesicular body membrane [GO:0032585]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]	NA	cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular protein localization [GO:0034613]; endosome to melanosome transport [GO:0035646]; neutrophil degranulation [GO:0043312]; pigment granule maturation [GO:0048757]; platelet degranulation [GO:0002576]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of receptor internalization [GO:0002092]; protein transport [GO:0015031]; regulation of potassium ion transmembrane transport [GO:1901379]; regulation of vascular endothelial growth factor signaling pathway [GO:1900746]	ENSG00000135404	P08962
CD44	CD44 molecule (Indian blood group) 	836.9680800173793	NA	Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	collagen binding [GO:0005518]; hyaluronic acid binding [GO:0005540]; transmembrane signaling receptor activity [GO:0004888]	cartilage development [GO:0051216]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular response to fibroblast growth factor stimulus [GO:0044344]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; hyaluronan catabolic process [GO:0030214]; inflammatory response [GO:0006954]; interferon-gamma-mediated signaling pathway [GO:0060333]; leukocyte migration [GO:0050900]; monocyte aggregation [GO:0070487]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; neutrophil degranulation [GO:0043312]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of monocyte aggregation [GO:1900625]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; regulation of lamellipodium morphogenesis [GO:2000392]; T cell activation [GO:0042110]; wound healing, spreading of cells [GO:0044319]	ENSG00000026508	P16070
ITGB1	integrin subunit beta 1 	590.9540496725755	Integrin beta chain family	Cell membrane {ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome {ECO:0000269|PubMed:16256741}. Melanosome {ECO:0000269|PubMed:17081065}. Cleavage furrow {ECO:0000269|PubMed:17956333}. Cell projection, lamellipodium {ECO:0000269|PubMed:11919189}. Cell projection, ruffle {ECO:0000269|PubMed:11919189}. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}. Cell surface {ECO:0000269|PubMed:17158881}. Note=Isoform 2 does not localize to focal adhesions. Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. {ECO:0000269|PubMed:10455171, ECO:0000303|PubMed:10455171}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P09055}. Cell junction {ECO:0000250|UniProtKB:P09055}. Note=In cardiac muscle, isoform 5 is found in costameres and intercalated disks. {ECO:0000250|UniProtKB:P09055}.	cell surface [GO:0009986]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; glial cell projection [GO:0097386]; integrin alpha10-beta1 complex [GO:0034680]; integrin alpha11-beta1 complex [GO:0034681]; integrin alpha1-beta1 complex [GO:0034665]; integrin alpha2-beta1 complex [GO:0034666]; integrin alpha3-beta1 complex [GO:0034667]; integrin alpha4-beta1 complex [GO:0034668]; integrin alpha5-beta1 complex [GO:0034674]; integrin alpha8-beta1 complex [GO:0034678]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; recycling endosome [GO:0055037]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]; sarcolemma [GO:0042383]	actin binding [GO:0003779]; cadherin binding [GO:0045296]; cell adhesion molecule binding [GO:0050839]; collagen binding involved in cell-matrix adhesion [GO:0098639]; coreceptor activity [GO:0015026]; fibronectin binding [GO:0001968]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase binding [GO:1990782]; virus receptor activity [GO:0001618]	B cell differentiation [GO:0030183]; calcium-independent cell-matrix adhesion [GO:0007161]; CD40 signaling pathway [GO:0023035]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cell projection organization [GO:0030030]; cell-substrate adhesion [GO:0031589]; cellular defense response [GO:0006968]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cytokine-mediated signaling pathway [GO:0019221]; establishment of mitotic spindle orientation [GO:0000132]; extracellular matrix organization [GO:0030198]; heterotypic cell-cell adhesion [GO:0034113]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; integrin-mediated signaling pathway [GO:0007229]; lamellipodium assembly [GO:0030032]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; leukocyte tethering or rolling [GO:0050901]; maintenance of blood-brain barrier [GO:0035633]; mesodermal cell differentiation [GO:0048333]; negative regulation of anoikis [GO:2000811]; phagocytosis [GO:0006909]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell migration [GO:0030335]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of glutamate uptake involved in transmission of nerve impulse [GO:0051951]; positive regulation of GTPase activity [GO:0043547]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of signaling receptor activity [GO:2000273]; positive regulation of wound healing [GO:0090303]; reactive gliosis [GO:0150103]; receptor internalization [GO:0031623]; regulation of collagen catabolic process [GO:0010710]; regulation of immune response [GO:0050776]; regulation of inward rectifier potassium channel activity [GO:1901979]; regulation of spontaneous synaptic transmission [GO:0150003]; viral entry into host cell [GO:0046718]; viral life cycle [GO:0019058]	ENSG00000150093	P05556
CANX	calnexin 	427.0403571666377	Calreticulin family	Endoplasmic reticulum membrane {ECO:0000269|PubMed:22314232}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum {ECO:0000269|PubMed:22314232}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545, PubMed:17081065). The palmitoylated form preferentially localizes to the perinuclear rough ER (PubMed:22314232). {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:22314232}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane [GO:0044233]; presynapse [GO:0098793]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; clathrin-dependent endocytosis [GO:0072583]; endoplasmic reticulum unfolded protein response [GO:0030968]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein secretion [GO:0009306]; synaptic vesicle endocytosis [GO:0048488]; viral protein processing [GO:0019082]	ENSG00000283777	P27824
CD81	CD81 molecule 	397.6151129313533	Tetraspanin (TM4SF) family	Cell membrane {ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:1695320, ECO:0000269|PubMed:20237408, ECO:0000269|PubMed:22307619, ECO:0000269|PubMed:2398277, ECO:0000269|PubMed:26354436}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}. Note=Associates with CLDN1 and the CLDN1-CD81 complex localizes to the basolateral cell membrane. {ECO:0000269|PubMed:20375010}.	basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; tetraspanin-enriched microdomain [GO:0097197]; vesicle [GO:0031982]	cholesterol binding [GO:0015485]; integrin binding [GO:0005178]; MHC class II protein binding [GO:0042289]; MHC class II protein complex binding [GO:0023026]; transferrin receptor binding [GO:1990459]; virus receptor activity [GO:0001618]	activation of MAPK activity [GO:0000187]; CD4-positive, alpha-beta T cell costimulation [GO:0035783]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; humoral immune response mediated by circulating immunoglobulin [GO:0002455]; immunological synapse formation [GO:0001771]; macrophage fusion [GO:0034238]; myoblast fusion involved in skeletal muscle regeneration [GO:0014905]; osteoclast fusion [GO:0072675]; positive regulation of 1-phosphatidylinositol 4-kinase activity [GO:0043128]; positive regulation of adaptive immune memory response [GO:1905676]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of B cell receptor signaling pathway [GO:0050861]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of inflammatory response to antigenic stimulus [GO:0002863]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein catabolic process in the vacuole [GO:1904352]; positive regulation of protein exit from endoplasmic reticulum [GO:0070863]; positive regulation of receptor clustering [GO:1903911]; positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001190]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of T-helper 2 cell cytokine production [GO:2000553]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization [GO:0008104]; protein localization to lysosome [GO:0061462]; protein localization to plasma membrane [GO:0072659]; receptor internalization [GO:0031623]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of complement activation [GO:0030449]; regulation of immune response [GO:0050776]; regulation of macrophage migration [GO:1905521]; regulation of protein stability [GO:0031647]; viral entry into host cell [GO:0046718]	ENSG00000110651	P60033
APLP2	amyloid beta precursor like protein 2 	258.7475868297383	APP family	Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Nucleus {ECO:0000305}.	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]	DNA binding [GO:0003677]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; serine-type endopeptidase inhibitor activity [GO:0004867]; transition metal ion binding [GO:0046914]	cellular protein metabolic process [GO:0044267]; G protein-coupled receptor signaling pathway [GO:0007186]; platelet degranulation [GO:0002576]; post-translational protein modification [GO:0043687]	ENSG00000084234	Q06481
ATP6AP2	ATPase H+ transporting accessory protein 2 	219.52449171494348	NA	Endoplasmic reticulum membrane {ECO:0000269|PubMed:29127204}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:29127204}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250|UniProtKB:Q9CYN9}. Cell projection, dendritic spine membrane {ECO:0000250|UniProtKB:Q9CYN9}. Cell projection, axon {ECO:0000250|UniProtKB:Q9CYN9}. Endosome membrane {ECO:0000250|UniProtKB:Q9CYN9}.	apical plasma membrane [GO:0016324]; autophagosome membrane [GO:0000421]; axon [GO:0030424]; cell body [GO:0044297]; dendritic spine membrane [GO:0032591]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; tertiary granule membrane [GO:0070821]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	signaling receptor activity [GO:0038023]	angiotensin maturation [GO:0002003]; central nervous system maturation [GO:0021626]; eye pigmentation [GO:0048069]; head morphogenesis [GO:0060323]; lysosomal lumen acidification [GO:0007042]; neutrophil degranulation [GO:0043312]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of transforming growth factor beta1 production [GO:0032914]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of MAPK cascade [GO:0043408]; rostrocaudal neural tube patterning [GO:0021903]	ENSG00000182220	O75787
SDC4	syndecan 4 	202.89358876404495	Syndecan proteoglycan family	[Isoform 1]: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:9169435}. Note=Shedding of the ectodomain produces a soluble form. {ECO:0000269|PubMed:9169435}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	cell surface [GO:0009986]; costamere [GO:0043034]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi lumen [GO:0005796]; integral component of plasma membrane [GO:0005887]; lysosomal lumen [GO:0043202]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	fibronectin binding [GO:0001968]; identical protein binding [GO:0042802]; protein kinase C binding [GO:0005080]; thrombospondin receptor activity [GO:0070053]	cell migration [GO:0016477]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; inner ear receptor cell stereocilium organization [GO:0060122]; leukocyte migration [GO:0050900]; negative regulation of T cell proliferation [GO:0042130]; neural tube closure [GO:0001843]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of extracellular exosome assembly [GO:1903553]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of stress fiber assembly [GO:0051496]; regulation of fibroblast migration [GO:0010762]; retinoid metabolic process [GO:0001523]; ureteric bud development [GO:0001657]; wound healing [GO:0042060]	ENSG00000124145	P31431
NPTN	neuroplastin 	191.7272859224719	NA	Cell membrane {ECO:0000250|UniProtKB:P97546}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P97546}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell junction, synapse, postsynaptic density {ECO:0000250|UniProtKB:P97546}.	axon [GO:0030424]; cell surface [GO:0009986]; dendrite [GO:0030425]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; immunological synapse [GO:0001772]; inhibitory synapse [GO:0060077]; integral component of postsynaptic density membrane [GO:0099061]; integral component of presynaptic active zone membrane [GO:0099059]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; Schaffer collateral - CA1 synapse [GO:0098685]	cell adhesion molecule binding [GO:0050839]; cell-cell adhesion mediator activity [GO:0098632]; ion channel binding [GO:0044325]; type 1 fibroblast growth factor receptor binding [GO:0005105]	axon guidance [GO:0007411]; cellular calcium ion homeostasis [GO:0006874]; dendrite self-avoidance [GO:0070593]; excitatory synapse assembly [GO:1904861]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; long-term synaptic potentiation [GO:0060291]; negative regulation of cytokine production [GO:0001818]; positive regulation of cellular protein localization [GO:1903829]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast growth factor receptor signaling pathway [GO:0045743]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein phosphorylation [GO:0001934]; regulation of receptor localization to synapse [GO:1902683]; trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission [GO:0099557]; visual learning [GO:0008542]	ENSG00000156642	Q9Y639
