uniprot_gn_id	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
O95477	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522, ECO:0000269|PubMed:24097981}; Multi-pass membrane protein {ECO:0000305|PubMed:19258317}. Endosome {ECO:0000269|PubMed:24097981}.	NA	TOPO_DOM 43..639;  /note=Extracellular; TOPO_DOM 1372..1656;  /note=Extracellular	TRANSMEM 22..42;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 640..660;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 683..703;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 716..736;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 745..765;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 777..797;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 827..847;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1041..1057;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1351..1371;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1657..1677;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1703..1723;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1735..1755;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1768..1788;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1802..1822;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 1852..1872;  /note=Helical;  /evidence=ECO:0000255
O00590	SUBCELLULAR LOCATION: Early endosome. Recycling endosome. Cell membrane; Multi-pass membrane protein. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.	NA	TOPO_DOM 1..50;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 72..92;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 114..118;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 141..162;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 184..217;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 239..250;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 272..293;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 315..384;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 51..71;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 93..113;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 119..140;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 163..183;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 218..238;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 251..271;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 294..314;  /note=Helical; Name=7;  /evidence=ECO:0000255
P25106	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cytoplasm, perinuclear region. Early endosome. Recycling endosome {ECO:0000250}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin-dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.	NA	TOPO_DOM 1..40;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 62..81;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 103..118;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 140..162;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 184..213;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 235..252;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 274..296;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 320..362;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 41..61;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 82..102;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 119..139;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 163..183;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 214..234;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 253..273;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 297..319;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q9NPB9	SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:23341447}. Recycling endosome {ECO:0000269|PubMed:23341447}. Cell membrane {ECO:0000269|PubMed:23341447}; Multi-pass membrane protein {ECO:0000269|PubMed:23341447}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via caveolae. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.	NA	TOPO_DOM 1..42;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 64..87;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 109..113;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 135..154;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 176..201;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 223..240;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 262..289;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 311..350;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 43..63;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 88..108;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 114..134;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 155..175;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 202..222;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 241..261;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 290..310;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q04771	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 21..123;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 147..509;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 124..146;  /note=Helical;  /evidence=ECO:0000255
P36896	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	NA	TOPO_DOM 24..126;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 150..505;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 127..149;  /note=Helical;  /evidence=ECO:0000255
Q8NER5	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:12606401}; Single-pass type I membrane protein {ECO:0000269|PubMed:12606401}.	NA	TOPO_DOM 22..113;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 135..493;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 114..134;  /note=Helical;  /evidence=ECO:0000255
P27037	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 20..135;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 162..513;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 136..161;  /note=Helical;  /evidence=ECO:0000255
Q13705	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:31665064}; Single-pass type I membrane protein {ECO:0000250}.	NA	TOPO_DOM 19..137;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 159..512;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 138..158;  /note=Helical;  /evidence=ECO:0000255
P37023	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26176610}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 22..118;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 142..503;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 119..141;  /note=Helical;  /evidence=ECO:0000255
