uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
O95477	DOMAIN: Multifunctional polypeptide with two homologous halves, each containing a hydrophobic membrane-anchoring domain and an ATP binding cassette (ABC) domain.	SIMILARITY: Belongs to the ABC transporter superfamily. ABCA family. {ECO:0000305}.	ABC transporter superfamily, ABCA family	NA	COMPBIAS 1283..1308;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 899..1131;  /note=ABC transporter 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00434; DOMAIN 1912..2144;  /note=ABC transporter 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00434	NA	REGION 1283..1312;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O00590	DOMAIN: The C-terminal cytoplasmic tail controls its phosphorylation, stability, intracellular trafficking itinerary, and chemokine scavenging properties.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Atypical chemokine receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	NA	NA	NA	NA	REGION 327..384;  /note=C-terminal cytoplasmic tail; REGION 363..384;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P25106	DOMAIN: The C-terminal cytoplasmic tail, plays a key role in: correct trafficking to the cell membrane, recruitment of beta-arrestin, ubiquitination, and in chemokine scavenging and signaling functions. The Ser/Thr residues and the Lys residues in the C-terminal cytoplasmic tail are essential for beta-arrestin recruitment and ubiquitination respectively.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Atypical chemokine receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	NA	NA	NA	NA	REGION 324..362;  /note=C-terminal cytoplasmic tail	NA	NA
Q9NPB9	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Atypical chemokine receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily	NA	NA	NA	NA	NA	NA	NA
Q04771	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 178..207;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 208..502;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
P36896	DOMAIN: The GS domain is a 30-amino-acid sequence adjacent to the N-terminal boundary of the kinase domain and highly conserved in all other known type-1 receptors but not in type-2 receptors. The GS domain is the site of activation through phosphorylation by the II receptors. {ECO:0000269|PubMed:8622651}.	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 177..206;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 207..497;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
Q8NER5	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 165..194;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 195..485;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
P27037	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 192..485;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
Q13705	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 190..480;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 491..512;  /note=Interaction with DYNLT1;  /evidence=ECO:0000250|UniProtKB:P27040	NA	NA
P37023	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 172..201;  /note=GS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00585; DOMAIN 202..492;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 73..76;  /note=Mediates specificity for BMP ligand	NA	NA
