yourlist:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	isomap:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000165029		O95477	ABCA1_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
ENSG00000165029		A0A7I2V5U0	A0A7I2V5U0_HUMAN	unreviewed	Phospholipid-transporting ATPase ABCA1	ABCA1	Homo sapiens (Human)	2263
ENSG00000165029		B1AMI1	B1AMI1_HUMAN	unreviewed	Phospholipid-transporting ATPase ABCA1	ABCA1	Homo sapiens (Human)	123
ENSG00000165029		B1AMI2	B1AMI2_HUMAN	unreviewed	ATP-binding cassette, sub-family A (ABC1), member 1, isoform CRA_b (Phospholipid-transporting ATPase ABCA1)	ABCA1 hCG_1789838	Homo sapiens (Human)	363
ENSG00000144648		O00590	ACKR2_HUMAN	reviewed	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)	384
ENSG00000144648		V9GYB7	V9GYB7_HUMAN	unreviewed	Atypical chemokine receptor 2 (Fragment)	ACKR2	Homo sapiens (Human)	233
ENSG00000144648		V9GYM0	V9GYM0_HUMAN	unreviewed	Atypical chemokine receptor 2 (Fragment)	ACKR2	Homo sapiens (Human)	124
ENSG00000144648		V9GYX0	V9GYX0_HUMAN	unreviewed	Atypical chemokine receptor 2 (Fragment)	ACKR2	Homo sapiens (Human)	170
ENSG00000144648		V9GZ70	V9GZ70_HUMAN	unreviewed	Atypical chemokine receptor 2 (Fragment)	ACKR2	Homo sapiens (Human)	142
ENSG00000144476		P25106	ACKR3_HUMAN	reviewed	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
ENSG00000144476		A0A140T9K6	A0A140T9K6_HUMAN	unreviewed	Atypical chemokine receptor 3 (Fragment)	ACKR3	Homo sapiens (Human)	210
ENSG00000129048		Q9NPB9	ACKR4_HUMAN	reviewed	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	Homo sapiens (Human)	350
ENSG00000129048		H0Y9Z2	H0Y9Z2_HUMAN	unreviewed	Atypical chemokine receptor 4 (Fragment)	ACKR4	Homo sapiens (Human)	20
ENSG00000115170		Q04771	ACVR1_HUMAN	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	509
ENSG00000115170		A0A1B0GXA9	A0A1B0GXA9_HUMAN	unreviewed	Activin receptor type-1 (Fragment)	ACVR1	Homo sapiens (Human)	86
ENSG00000115170		C9JHJ7	C9JHJ7_HUMAN	unreviewed	Activin receptor type-1 (Fragment)	ACVR1	Homo sapiens (Human)	87
ENSG00000115170		C9JW28	C9JW28_HUMAN	unreviewed	Activin receptor type-1 (Fragment)	ACVR1	Homo sapiens (Human)	21
ENSG00000135503	ENSG00000135503 -> P36896-1;P36896-2;P36896-3;P36896-4;P36896-5	P36896	ACV1B_HUMAN	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	505
ENSG00000135503		F5H5Q2	F5H5Q2_HUMAN	unreviewed	Activin receptor type-1B (Fragment)	ACVR1B	Homo sapiens (Human)	71
ENSG00000123612	ENSG00000123612 -> Q8NER5-1;Q8NER5-2;Q8NER5-3;Q8NER5-4	Q8NER5	ACV1C_HUMAN	reviewed	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)	493
ENSG00000121989	ENSG00000121989 -> P27037-1;P27037-2	P27037	AVR2A_HUMAN	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A ACVR2	Homo sapiens (Human)	513
ENSG00000114739	ENSG00000114739 -> Q13705-1	Q13705	AVR2B_HUMAN	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	Homo sapiens (Human)	512
ENSG00000139567		P37023	ACVL1_HUMAN	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	503
ENSG00000139567		D9IPD9	D9IPD9_HUMAN	unreviewed	Activin A receptor type II-like kinase 1 variant 3 (Activin A receptor type II-like kinase 1 variant 4) (Serine/threonine-protein kinase receptor R3) (Fragment)	ACVRL1	Homo sapiens (Human)	89
ENSG00000139567		E7EN07	E7EN07_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	ACVRL1	Homo sapiens (Human)	329
ENSG00000139567		F8W0N2	F8W0N2_HUMAN	unreviewed	Serine/threonine-protein kinase receptor R3 (Fragment)	ACVRL1	Homo sapiens (Human)	159
ENSG00000139567		G3V1W8	G3V1W8_HUMAN	unreviewed	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVRL1 hCG_37967	Homo sapiens (Human)	517
ENSG00000139567		H3BTZ2	H3BTZ2_HUMAN	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30) (Fragment)	ACVRL1	Homo sapiens (Human)	163
ENSG00000164742		Q08828	ADCY1_HUMAN	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	Homo sapiens (Human)	1119
ENSG00000164742		C9J1J0	C9J1J0_HUMAN	unreviewed	Adenylate cyclase (EC 4.6.1.1)	ADCY1 hCG_19245	Homo sapiens (Human)	338
ENSG00000121281		P51828	ADCY7_HUMAN	reviewed	Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7)	ADCY7 KIAA0037	Homo sapiens (Human)	1080
ENSG00000121281		A0A669KBF7	A0A669KBF7_HUMAN	unreviewed	Adenylate cyclase (EC 4.6.1.1) (Fragment)	ADCY7	Homo sapiens (Human)	152
ENSG00000121281		F5H4D1	F5H4D1_HUMAN	unreviewed	Adenylate cyclase (EC 4.6.1.1)	ADCY7	Homo sapiens (Human)	734
ENSG00000121281		F5H699	F5H699_HUMAN	unreviewed	Adenylate cyclase (EC 4.6.1.1)	ADCY7	Homo sapiens (Human)	433
ENSG00000121281		H3BMA5	H3BMA5_HUMAN	unreviewed	Adenylate cyclase type 7 (Fragment)	ADCY7	Homo sapiens (Human)	108
ENSG00000121281		H3BQ93	H3BQ93_HUMAN	unreviewed	Adenylate cyclase (EC 4.6.1.1)	ADCY7	Homo sapiens (Human)	530
ENSG00000121281		I3L2Y1	I3L2Y1_HUMAN	unreviewed	Adenylate cyclase type 7 (Fragment)	ADCY7	Homo sapiens (Human)	17
ENSG00000121281		I3L3Q5	I3L3Q5_HUMAN	unreviewed	Adenylate cyclase type 7 (Fragment)	ADCY7	Homo sapiens (Human)	81
ENSG00000155897		P40145	ADCY8_HUMAN	reviewed	Adenylate cyclase type 8 (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Adenylate cyclase type VIII) (Adenylyl cyclase 8) (AC8) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY8	Homo sapiens (Human)	1251
ENSG00000155897		E5RFR2	E5RFR2_HUMAN	unreviewed	Adenylate cyclase type 8 (Fragment)	ADCY8	Homo sapiens (Human)	252
ENSG00000155897		E7EVL1	E7EVL1_HUMAN	unreviewed	Adenylate cyclase type 8 (EC 4.6.1.1)	ADCY8	Homo sapiens (Human)	1120
