hgnc_symbol	description	keep_in_list (CORRECTED DATA)	keep_in_list (INCORRECT DATA. IGNORE THIS COLUMN)	comments	ensembl_gene_ids	uniprot_gn_ids	Protein.families	consensus_score
EGFR	epidermal growth factor receptor	Yes	Yes		ENSG00000146648	P00533	"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"	23
KDR	kinase insert domain receptor	Yes	Yes	aka VEGFR2. Receptor for VEGF	ENSG00000128052	P35968	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	23
CCR10	C-C motif chemokine receptor 10	Yes	Yes		ENSG00000184451	P46092	G-protein coupled receptor 1 family	22
CCR4	C-C motif chemokine receptor 4	Yes	Yes		ENSG00000183813	P51679	G-protein coupled receptor 1 family	22
CCR8	C-C motif chemokine receptor 8	Yes	Yes		ENSG00000179934	P51685	G-protein coupled receptor 1 family	22
CCR9	C-C motif chemokine receptor 9	Yes	Yes		ENSG00000173585	P51686	G-protein coupled receptor 1 family	22
CSF1R	colony stimulating factor 1 receptor	Yes	Yes		ENSG00000182578	P07333	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	22
CSF3R	colony stimulating factor 3 receptor	Yes	No		ENSG00000119535	Q99062	"Type I cytokine receptor family, Type 2 subfamily"	22
CX3CR1	C-X3-C motif chemokine receptor 1	Yes	No		ENSG00000168329	P49238	G-protein coupled receptor 1 family	22
CXCR3	C-X-C motif chemokine receptor 3	Yes	TBD		ENSG00000186810	P49682	G-protein coupled receptor 1 family	22
CXCR4	C-X-C motif chemokine receptor 4	Yes	Yes		ENSG00000121966	P61073	G-protein coupled receptor 1 family	22
CXCR6	C-X-C motif chemokine receptor 6	Yes	No		ENSG00000172215	O00574	G-protein coupled receptor 1 family	22
FLT1	fms related receptor tyrosine kinase 1	Yes	No		ENSG00000102755	P17948	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	22
FLT4	fms related receptor tyrosine kinase 4	Yes	No		ENSG00000037280	P35916	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	22
IL13RA1	interleukin 13 receptor subunit alpha 1	Yes	No		ENSG00000131724	P78552	"Type I cytokine receptor family, Type 5 subfamily"	22
IL1R1	interleukin 1 receptor type 1	Yes	Yes		ENSG00000115594	P14778	Interleukin-1 receptor family	22
IL4R	interleukin 4 receptor	Yes	Yes		ENSG00000077238	P24394	"Type I cytokine receptor family, Type 4 subfamily"	22
IL6R	interleukin 6 receptor	Yes	Yes		ENSG00000160712	P08887	"Type I cytokine receptor family, Type 3 subfamily"	22
KIT	"KIT proto-oncogene, receptor tyrosine kinase"	Yes	Yes		ENSG00000157404	P10721	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	22
MET	"MET proto-oncogene, receptor tyrosine kinase"	Yes	No		ENSG00000105976	P08581	"Protein kinase superfamily, Tyr protein kinase family"	22
