receptor	ligand_abundant_rank	receptor_scarce_rank	abund_lig_scarce_rec_rank
FLT1	0.9857482185273159	0.9770114942528736	1
TNFRSF1B	0.9643705463182898	0.9770114942528736	0.9993552546744036
NGFR	0.9406175771971497	0.9971264367816092	0.9987105093488072
SSTR4	0.9667458432304038	0.9482758620689655	0.9980657640232108
CCR6	0.9121140142517815	0.9885057471264368	0.9974210186976145
HJV	0.9334916864608076	0.9597701149425287	0.996776273372018
SSTR5	0.9667458432304038	0.9252873563218391	0.9961315280464217
GHSR	0.9311163895486936	0.9310344827586207	0.9954867827208252
TNFRSF14	0.8717339667458432	0.9942528735632183	0.9948420373952289
NTRK1	0.9643705463182898	0.8908045977011494	0.9935525467440361
CRHR1	0.9714964370546318	0.8793103448275862	0.9922630560928434
TIE1	0.8574821852731591	0.9827586206896551	0.9909735654416505
KDR	0.9857482185273159	0.8505747126436781	0.9896840747904577
ROBO4	0.9287410926365796	0.9022988505747126	0.9890393294648614
TGFBR3	0.9501187648456056	0.8764367816091954	0.988394584139265
APLNR	0.9049881235154394	0.9109195402298851	0.9877498388136686
GCGR	0.995249406175772	0.8247126436781609	0.9871050934880722
CCR4	0.9548693586698337	0.853448275862069	0.9864603481624759
ALK	1	0.8132183908045977	0.9851708575112831
ACVRL1	0.9334916864608076	0.8649425287356322	0.9845261121856866
NRP2	0.997624703087886	0.8045977011494253	0.9838813668600903
TNFRSF11B	0.9121140142517815	0.8735632183908046	0.9832366215344939
TNFRSF10C	0.9121140142517815	0.8563218390804598	0.9819471308833011
CXCR2	0.8717339667458432	0.8936781609195402	0.9813023855577047
EPHA8	0.8669833729216152	0.896551724137931	0.9806576402321083
FPR3	0.828978622327791	0.9224137931034483	0.9787234042553191
TEK	0.8574821852731591	0.8850574712643678	0.9780786589297228
TNFRSF10A	0.9121140142517815	0.8304597701149425	0.9774339136041263
FLT4	0.7529691211401425	0.9913793103448276	0.9742101869761445
TNFRSF12A	0.7315914489311164	1	0.9716312056737588
MRGPRX2	0.9667458432304038	0.7442528735632183	0.9696969696969697
CCR8	0.7434679334916865	0.9655172413793104	0.9690522243713733
AGTR2	0.9572446555819477	0.7442528735632183	0.968407479045777
NMBR	0.75059382422802845	0.9367816091954023	0.965183752417795
EPHA2	0.8669833729216152	0.8074712643678161	0.9645390070921985
NTSR2	0.9406175771971497	0.7442528735632183	0.9638942617666022
PDGFRB	0.9453681710213777	0.7385057471264368	0.9632495164410058
FPR1	0.828978622327791	0.8419540229885057	0.9626047711154094
IL7R	0.7078384798099763	0.985632183908046	0.961960025789813
CXCR3	0.9548693586698337	0.7298850574712644	0.9613152804642167
NPY2R	0.9786223277909739	0.7068965517241379	0.9587362991618311
MTNR1A	0.9786223277909739	0.7011494252873564	0.9580915538362347
NPBWR2	0.9144893111638955	0.7442528735632183	0.9568020631850419
NPY4R	0.9786223277909739	0.6752873563218391	0.9522888459058672
MLNR	0.9311163895486936	0.7068965517241379	0.9516441005802708
IL2RB	0.7577197149643705	0.8620689655172413	0.9497098646034816
MAS1	0.9572446555819477	0.6724137931034483	0.9484203739522888
GPR151	0.8432304038004751	0.7442528735632183	0.9445519019987105
TACR2	0.838479809976247	0.7442528735632183	0.9439071566731141
CALCRL	0.8788598574821853	0.7040229885057471	0.9426176660219213
FPR2	0.828978622327791	0.7442528735632183	0.941972920696325
MC2R	0.9714964370546318	0.6293103448275862	0.9400386847195358
TFR2	0.850356294536817	0.7183908045977011	0.9393939393939394
GPR39	0.9311163895486936	0.6522988505747126	0.9381044487427466
NPBWR1	0.9144893111638955	0.6609195402298851	0.9368149580915538
NTRK2	0.6437054631828979	0.9339080459770115	0.9361702127659575
OPRM1	0.7458432304038005	0.7988505747126436	0.9329464861379755
GLP2R	0.995249406175772	0.5977011494252874	0.9323017408123792
TNFRSF11A	0.6532066508313539	0.9022988505747126	0.9284332688588007
TNFRSF17	0.8194774346793349	0.7183908045977011	0.9277885235332044
NTSR1	0.9406175771971497	0.6206896551724138	0.9245647969052224
CXCR1	0.7767220902612827	0.7442528735632183	0.9226305609284333
CCR3	0.6033254156769596	0.9568965517241379	0.9213410702772404
GFRA1	0.8242280285035629	0.6982758620689655	0.9206963249516441
AVPR2	0.7695961995249406	0.7442528735632183	0.9200515796260477
GHRHR	0.9311163895486936	0.6120689655172413	0.9187620889748549
CCRL2	0.6175771971496437	0.9080459770114943	0.9136041263700838
FZD10	0.9477434679334917	0.5862068965517241	0.9116698903932946
MRGPRX1	0.7458432304038005	0.7442528735632183	0.9110251450676983
TSHR	0.995249406175772	0.5574712643678161	0.9103803997421018
CCR1	0.6033254156769596	0.9109195402298851	0.9090909090909091
CCR5	0.6033254156769596	0.9109195402298851	0.9090909090909091
ADCYAP1R1	0.995249406175772	0.5488505747126436	0.9078014184397163
TNFRSF8	0.7315914489311164	0.7442528735632183	0.9058671824629272
PTH1R	0.995249406175772	0.5459770114942529	0.9052224371373307
LHCGR	0.7862232779097387	0.6896551724137931	0.9045776918117344
NMUR2	0.5581947743467933	0.9712643678160919	0.903932946486138
GFRA4	0.8242280285035629	0.6494252873563219	0.9013539651837524
GNRHR	0.7387173396674585	0.7241379310344828	0.900709219858156
MUSK	0.7220902612826603	0.7385057471264368	0.9000644745325597
CCR10	0.6033254156769596	0.882183908045977	0.8981302385557705
GPR182	0.7102137767220903	0.7442528735632183	0.8961960025789814
PLAUR	0.8147268408551069	0.6436781609195402	0.8955512572533849
AVPR1A	0.9548693586698337	0.5488505747126436	0.8949065119277885
TNFRSF13B	0.8194774346793349	0.6293103448275862	0.8910380399742102
KREMEN1	0.6057007125890737	0.8390804597701149	0.8884590586718246
TNFRSF4	0.8741092636579573	0.5804597701149425	0.8871695680206318
UNC5B	0.7410926365795725	0.6781609195402298	0.8826563507414571
IL20RA	0.5985748218527316	0.8333333333333334	0.880722114764668
VIPR2	0.9216152019002375	0.5402298850574713	0.8800773694390716
ACKR3	0.9548693586698337	0.5201149425287356	0.8781431334622823
FSHR	0.7862232779097387	0.6293103448275862	0.8768536428110896
GLP1R	0.995249406175772	0.49712643678160917	0.8762088974854932
XCR1	0.66270783847981	0.7327586206896551	0.8704061895551257
IL1RL2	0.665083135391924	0.7270114942528736	0.8697614442295294
TNFRSF13C	0.8194774346793349	0.5890804597701149	0.869116698903933
TRHR	0.6460807600950119	0.7442528735632183	0.8671824629271437
IL12RB1	0.5534441805225653	0.867816091954023	0.8665377176015474
IL10RB	0.8598574821852731	0.5574712643678161	0.8652482269503546
TYRO3	0.9857482185273159	0.48563218390804597	0.8646034816247582
MC3R	0.6365795724465558	0.7442528735632183	0.8626692456479691
IL15RA	0.7577197149643705	0.6206896551724138	0.8607350096711799
HCRTR1	0.47743467933491684	0.9741379310344828	0.8588007736943907
RXFP1	0.6199524940617577	0.7442528735632183	0.8568665377176016
CMKLR2	0.6175771971496437	0.7442528735632183	0.8555770470664088
IL2RA	0.7577197149643705	0.6063218390804598	0.8549323017408124
TNFRSF10B	0.9121140142517815	0.5	0.8529980657640233
FLT3	0.517814726840855	0.8706896551724138	0.8517085751128304
CCR2	0.6033254156769596	0.7442528735632183	0.851063829787234
LGR5	0.498812351543943	0.8994252873563219	0.8504190844616376
BRS3	0.75059382422802845	0.5977011494252874	0.8497743391360413
EDA2R	0.672209026128266	0.6666666666666666	0.8491295938104448
IL12RB2	0.5534441805225653	0.8074712643678161	0.8484848484848485
CX3CR1	0.7933491686460807	0.5632183908045977	0.8478401031592521
MC4R	0.6365795724465558	0.6954022988505747	0.8446163765312702
TFRC	0.850356294536817	0.5201149425287356	0.8439716312056738
PDGFRA	0.9453681710213777	0.46551724137931033	0.8433268858800773
MST1R	0.9192399049881235	0.47413793103448276	0.8401031592520954
EDNRB	0.8266033254156769	0.5258620689655172	0.8375241779497099
TSPAN1	1	0.43103448275862066	0.8349451966473244
FZD9	0.9477434679334917	0.4454022988505747	0.8291424887169568
HHIP	0.8907363420427553	0.46839080459770116	0.8278529980657641
CRLF1	0.4346793349168646	0.9425287356321839	0.8239845261121856
FZD7	0.9477434679334917	0.42528735632183906	0.8175370728562218
BMPR1B	0.9904988123515439	0.4051724137931034	0.816247582205029
MC5R	0.6365795724465558	0.6293103448275862	0.8149580915538363
CRHR2	0.9714964370546318	0.40229885057471265	0.807865892972276
NPY5R	0.9786223277909739	0.39655172413793105	0.8039974210186976
TACR3	0.838479809976247	0.45977011494252873	0.8014184397163121
IL2RG	0.7577197149643705	0.5086206896551724	0.8007736943907157
KIT	0.9239904988123515	0.4166666666666667	0.8001289490651193
RXFP3	0.6199524940617577	0.617816091954023	0.7975499677627337
GALR1	0.8432304038004751	0.4540229885057471	0.7969052224371374
CCR7	0.40380047505938244	0.9281609195402298	0.7923920051579626
EDNRA	0.8266033254156769	0.4511494252873563	0.7917472598323663
GALR3	0.8432304038004751	0.4396551724137931	0.7891682785299806
AXL	0.8954869358669834	0.41379310344827586	0.7885235332043843
FZD8	0.9477434679334917	0.39080459770114945	0.7878787878787878
CSF3R	0.44655581947743467	0.8218390804597702	0.7833655705996132
RXFP4	0.6199524940617577	0.5919540229885057	0.7827208252740168
VIPR1	0.995249406175772	0.367816091954023	0.7820760799484203
AVPR1B	0.6460807600950119	0.5660919540229885	0.781431334622824
ERBB2	0.9168646080760094	0.39655172413793105	0.7801418439716312
PLXND1	0.9619952494061758	0.3764367816091954	0.7769181173436492
IL17RE	0.42992874109263657	0.8419540229885057	0.7762733720180529
CALCR	0.8788598574821853	0.4109195402298851	0.7749838813668601
LEPR	0.4418052256532066	0.8160919540229885	0.7743391360412637
CSF2RA	0.44655581947743467	0.8017241379310345	0.7711154094132817
CCKAR	0.7268408551068883	0.4885057471264368	0.769825918762089
UTS2R	0.47980997624703087	0.735632183908046	0.7666021921341071
FZD2	0.9477434679334917	0.3706896551724138	0.7659574468085106
FAS	0.4251781472684085	0.8189655172413793	0.7640232108317214
IL23R	0.50593824228028506	0.6867816091954023	0.7607994842037396
AGTR1	0.9572446555819477	0.35919540229885055	0.7569310122501612
EPHA1	0.8669833729216152	0.3936781609195402	0.7537072856221793
OPRL1	0.7957244655581948	0.4281609195402299	0.7530625402965828
FGFRL1	0.9691211401425178	0.3505747126436782	0.7504835589941973
TNFRSF9	0.48931116389548696	0.6810344827586207	0.7414571244358479
NPR3	0.7885985748218527	0.4224137931034483	0.7408123791102514
ACKR4	0.6033254156769596	0.5488505747126436	0.7382333978078659
RXFP2	0.6199524940617577	0.5287356321839081	0.7362991618310767
TNFRSF6B	0.6080760095011877	0.5373563218390804	0.7350096711798839
EDAR	0.672209026128266	0.4827586206896552	0.731785944551902
NMUR1	0.5581947743467933	0.5775862068965517	0.7298517085751128
NRP1	0.997624703087886	0.3218390804597701	0.7285622179239201
PLXNA4	0.997624703087886	0.3160919540229885	0.7240490006447453
AMHR2	0.9002375296912114	0.3448275862068966	0.7188910380399742
SMO	0.9334916864608076	0.33045977011494254	0.7163120567375887
THBD	0.32779097387173395	0.9396551724137931	0.7150225660863959
OSMR	0.3515439429928741	0.8591954022988506	0.7105093488072212
NPR1	0.7885985748218527	0.3793103448275862	0.7072856221792392
CCR9	0.3087885985748218	0.9683908045977011	0.7066408768536429
NPFFR2	0.5724465558194775	0.514367816091954	0.7034171502256609
LGR6	0.498812351543943	0.5833333333333334	0.696969696969697
OPRD1	0.7458432304038005	0.3850574712643678	0.6898774983881367
GRPR	0.75059382422802845	0.382183908045977	0.6892327530625403
NOTCH2	1	0.28448275862068967	0.6879432624113475
NOTCH4	0.9928741092636579	0.28160919540229884	0.6834300451321728
NOTCH3	0.9928741092636579	0.27873563218390807	0.6782720825274017
GALR2	0.8432304038004751	0.3275862068965517	0.6776273372018052
TNFRSF10D	0.9121140142517815	0.3017241379310345	0.6769825918762089
IL20RB	0.5985748218527316	0.4454022988505747	0.6679561573178594
EPHA3	0.8669833729216152	0.3074712643678161	0.6673114119922631
IL5RA	0.27790973871733965	0.9511494252873564	0.6660219213410703
PTH2R	0.9097387173396675	0.29022988505747127	0.6653771760154739
BDKRB1	0.31353919239904987	0.8362068965517241	0.6640876853642811
GFRA2	0.8242280285035629	0.3160919540229885	0.6615087040618955
TNFRSF1A	0.9643705463182898	0.27011494252873564	0.6608639587362991
HCRTR2	0.47743467933491684	0.5344827586206896	0.6544165054803353
ACKR1	0.7767220902612827	0.32471264367816094	0.6537717601547389
EPHB6	0.7054631828978623	0.3563218390804598	0.6518375241779497
ROR2	0.9477434679334917	0.25862068965517243	0.6453900709219859
CXCR4	0.9548693586698337	0.2557471264367816	0.6434558349451966
IL1R1	0.3491686460807601	0.6925287356321839	0.6408768536428111
