UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
P10646	SUBCELLULAR LOCATION: [Isoform Alpha]: Secreted.; SUBCELLULAR LOCATION: [Isoform Beta]: Microsome membrane {ECO:0000269|PubMed:22144186}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:22144186}.	NA	NA	NA
P20701	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16301335}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 26..1090;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1112..1170;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1091..1111;  /note=Helical;  /evidence=ECO:0000255
Q9NPA2	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side. Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q03405	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12376466}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:12376466}. Note=Colocalized with FAP (seprase) preferentially at the cell surface of invadopodia membrane in a cytoskeleton-, integrin- and vitronectin-dependent manner. {ECO:0000269|PubMed:12376466}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:P49616}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P49616}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000250|UniProtKB:P49616}.	NA	NA	NA
P16444	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:28413640}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Cell projection, microvillus membrane {ECO:0000269|PubMed:2168407}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Note=Brush border membrane. {ECO:0000250|UniProtKB:P31429}.	NA	NA	NA
P16070	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.	NA	TOPO_DOM 21..649;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 671..742;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 650..670;  /note=Helical;  /evidence=ECO:0000255
P35916	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20445537, ECO:0000269|PubMed:7898938}; Single-pass type I membrane protein. Cytoplasm {ECO:0000269|PubMed:16452200, ECO:0000269|PubMed:20445537}. Nucleus {ECO:0000269|PubMed:16452200}. Note=Ligand-mediated autophosphorylation leads to rapid internalization. {ECO:0000269|PubMed:20445537}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=Ligand-mediated autophosphorylation leads to rapid internalization.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted. Cytoplasm.	NA	TOPO_DOM 25..775;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 797..1363;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 776..796;  /note=Helical;  /evidence=ECO:0000255
P08709	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P21802	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Golgi apparatus. Cytoplasmic vesicle. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted.; SUBCELLULAR LOCATION: [Isoform 13]: Secreted.	NA	TOPO_DOM 22..377;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 399..821;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 378..398;  /note=Helical;  /evidence=ECO:0000255
P19438	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22801493}; Single-pass type I membrane protein {ECO:0000269|PubMed:22801493}. Golgi apparatus membrane {ECO:0000269|PubMed:22801493}; Single-pass type I membrane protein {ECO:0000269|PubMed:22801493}. Secreted {ECO:0000269|PubMed:22801493}. Note=A secreted form is produced through proteolytic processing.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted. Note=Lacks a Golgi-retention motif, is not membrane bound and therefore is secreted.	NA	TOPO_DOM 30..211;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 233..455;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 212..232;  /note=Helical;  /evidence=ECO:0000255
P22607	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Cytoplasmic vesicle. Endoplasmic reticulum. Note=The activated receptor is rapidly internalized and degraded. Detected in intracellular vesicles after internalization of the autophosphorylated receptor.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	NA	TOPO_DOM 23..375;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 397..806;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 376..396;  /note=Helical;  /evidence=ECO:0000255
P35354	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:9545330}; Peripheral membrane protein. Endoplasmic reticulum membrane {ECO:0000269|PubMed:9545330}; Peripheral membrane protein. Nucleus inner membrane {ECO:0000269|PubMed:9545330}; Peripheral membrane protein. Nucleus outer membrane {ECO:0000269|PubMed:9545330}; Peripheral membrane protein. Note=Detected on the lumenal side of the endoplasmic reticulum and nuclear envelope. {ECO:0000269|PubMed:9545330}.	NA	NA	NA
P24394	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 26..232;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 257..825;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 233..256;  /note=Helical;  /evidence=ECO:0000255
Q96IY4	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P22303	SUBCELLULAR LOCATION: Cell junction, synapse {ECO:0000269|PubMed:11985878, ECO:0000269|PubMed:1748670}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform T]: Nucleus. Note=Only observed in apoptotic nuclei.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.	NA	NA	NA
P08253	SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2834383}. Membrane. Nucleus. Note=Colocalizes with integrin alphaV/beta3 at the membrane surface in angiogenic blood vessels and melanomas. Found in mitochondria, along microfibrils, and in nuclei of cardiomyocytes.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Mitochondrion.	NA	NA	NA
P03951	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q14697	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000305|PubMed:10929008}. Golgi apparatus {ECO:0000250|UniProtKB:P79403}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.	NA	NA	NA
Q01344	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 21..342;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 363..420;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 343..362;  /note=Helical;  /evidence=ECO:0000255
P23219	SUBCELLULAR LOCATION: Microsome membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein.	NA	NA	NA
P05546	NA	NA	NA	NA
P24347	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.	NA	NA	NA
P14780	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:2551898}.	NA	NA	NA
P00740	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19846852, ECO:0000269|PubMed:2592373, ECO:0000269|PubMed:3857619, ECO:0000269|PubMed:8295821, ECO:0000269|PubMed:9169594}.	NA	NA	NA
Q9Y275	SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Tumor necrosis factor ligand superfamily member 13b, soluble form]: Secreted.	NA	TOPO_DOM 1..46;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 68..285;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 47..67;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P17948	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Endosome. Note=Autophosphorylation promotes ubiquitination and endocytosis.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:8248162}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm {ECO:0000305}.	NA	TOPO_DOM 27..758;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 781..1338;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 759..780;  /note=Helical;  /evidence=ECO:0000255
Q15274	NA	NA	NA	NA
P00750	SUBCELLULAR LOCATION: Secreted, extracellular space.	NA	NA	NA
Q07699	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:17928445, ECO:0000269|PubMed:19710327, ECO:0000269|PubMed:21994374, ECO:0000269|PubMed:29992740, ECO:0000269|PubMed:30190309, ECO:0000305|PubMed:8125980}; Single-pass type I membrane protein {ECO:0000269|PubMed:30190309, ECO:0000305|PubMed:8125980}. Perikaryon {ECO:0000250|UniProtKB:P97952}. Cell projection {ECO:0000250|UniProtKB:P97952}. Cell projection, axon {ECO:0000250|UniProtKB:Q00954}. Note=Detected at nodes of Ranvier on the sciatic nerve. {ECO:0000250|UniProtKB:Q00954}.; SUBCELLULAR LOCATION: [Isoform 2]: Perikaryon {ECO:0000269|PubMed:14622265}. Cell projection {ECO:0000269|PubMed:14622265}. Secreted {ECO:0000269|PubMed:21994374}. Note=Detected on Purkinje cells and their cell projections and on neuronal cell projections. {ECO:0000269|PubMed:14622265}.	NA	TOPO_DOM 19..160;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:30190309; TOPO_DOM 183..218;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:30190309	TRANSMEM 161..182;  /note=Helical;  /evidence=ECO:0000269|PubMed:30190309
P08581	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	NA	TOPO_DOM 25..932;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 956..1390;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 933..955;  /note=Helical;  /evidence=ECO:0000255
Q02643	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 23..132;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 153..162;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 182..204;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 228..240;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 263..280;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 305..329;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 349..361;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 382..423;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 133..152;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 163..181;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 205..227;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 241..262;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 281..304;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 330..348;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 362..381;  /note=Helical; Name=7;  /evidence=ECO:0000255
P05121	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2430793}.	NA	NA	NA
P01031	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P13500	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23955712, ECO:0000269|PubMed:2513477}.	NA	NA	NA
