hgnc_symbol	description	keep_in_list	comments	ensembl_gene_ids	uniprot_gn_ids	Protein.families	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references	GO_cellular_component	GO_molecular_function	GO_biological_process	genecards_url	islet_tpm	islet_tpm_rank	islet_proteomics	islet_proteomics_rank	islet_specificity	islet_specificity_rank	Immune	Duct	Endothelial	Pericytes	Acinar	INS/SST	INS/GCG	PPY	Delta	Beta	Alpha	delta_rank	beta_rank	alpha_rank	mean_scRNAseq	delta_specificity	beta_specificity	alpha_specificity	delta_specificity_rank	beta_specificity_rank	alpha_specificity_rank
	novel protein			ENSG00000268655	A0A1B0GTJ6	NA	1	ligand	ligand, secreted	P22888	LHCGR	LHCGR [Baccin2019:12727981;Baccin2019:1922095;Baccin2019:3470775]	NA	NA	NA	https://www.genecards.org/cgi-bin/carddisp.pl?gene=&keywords=	0.0564745797752809	726	NA	NA	0.1686990031878055	559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACE	angiotensin I converting enzyme	No	modulator	ENSG00000159640	P12821	Peptidase M2 family	1	cell_surface_enzyme, cell_surface_ligand, receptor	cell_surface, cell_surface_enzyme, cell_surface_ligand, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P01019, P30411, P50052	AGT, AGTR2, BDKRB2	AGT [BioGRID:23056909;Lit-BM-17:10969042;Lit-BM-17:15283675;Lit-BM-17:23056909;SIGNOR:11076943], BDKRB2 [Baccin2019:10748135;CellTalkDB:10748135;HPRD:10748135;LRdb:10748135;Lit-BM-17:17077303;connectomeDB2020:10748135], AGTR2 [Baccin2019:11459796;HPRD:11459796;LRdb:11459796]	basal plasma membrane [GO:0009925]; brush border membrane [GO:0031526]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]	actin binding [GO:0003779]; bradykinin receptor binding [GO:0031711]; carboxypeptidase activity [GO:0004180]; chloride ion binding [GO:0031404]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; heterocyclic compound binding [GO:1901363]; metallodipeptidase activity [GO:0070573]; metallopeptidase activity [GO:0008237]; mitogen-activated protein kinase binding [GO:0051019]; mitogen-activated protein kinase kinase binding [GO:0031434]; peptidyl-dipeptidase activity [GO:0008241]; tripeptidyl-peptidase activity [GO:0008240]; zinc ion binding [GO:0008270]	aging [GO:0007568]; amyloid-beta metabolic process [GO:0050435]; angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; angiotensin maturation [GO:0002003]; animal organ regeneration [GO:0031100]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; arachidonic acid secretion [GO:0050482]; blood vessel diameter maintenance [GO:0097746]; blood vessel remodeling [GO:0001974]; bradykinin catabolic process [GO:0010815]; brain development [GO:0007420]; cell proliferation in bone marrow [GO:0071838]; cellular response to aldosterone [GO:1904045]; cellular response to glucose stimulus [GO:0071333]; eating behavior [GO:0042755]; embryo development ending in birth or egg hatching [GO:0009792]; female pregnancy [GO:0007565]; heart contraction [GO:0060047]; hematopoietic stem cell differentiation [GO:0060218]; hormone catabolic process [GO:0042447]; kidney development [GO:0001822]; lung alveolus development [GO:0048286]; male gonad development [GO:0008584]; mononuclear cell proliferation [GO:0032943]; negative regulation of calcium ion import [GO:0090281]; negative regulation of gap junction assembly [GO:1903597]; negative regulation of gene expression [GO:0010629]; negative regulation of glucose import [GO:0046325]; negative regulation of protein binding [GO:0032091]; negative regulation of renal sodium excretion [GO:0035814]; neutrophil mediated immunity [GO:0002446]; peptide catabolic process [GO:0043171]; positive regulation of apoptotic process [GO:0043065]; positive regulation of inflammatory response [GO:0050729]; positive regulation of neurogenesis [GO:0050769]; positive regulation of peptidyl-cysteine S-nitrosylation [GO:2000170]; positive regulation of peptidyl-tyrosine autophosphorylation [GO:1900086]; positive regulation of protein binding [GO:0032092]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of systemic arterial blood pressure [GO:0003084]; positive regulation of vasoconstriction [GO:0045907]; posttranscriptional regulation of gene expression [GO:0010608]; proteolysis [GO:0006508]; regulation of angiotensin metabolic process [GO:0060177]; regulation of blood pressure [GO:0008217]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of renal output by angiotensin [GO:0002019]; regulation of smooth muscle cell migration [GO:0014910]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of vasoconstriction [GO:0019229]; response to dexamethasone [GO:0071548]; response to hypoxia [GO:0001666]; response to laminar fluid shear stress [GO:0034616]; response to lipopolysaccharide [GO:0032496]; response to nutrient levels [GO:0031667]; response to thyroid hormone [GO:0097066]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; spermatogenesis [GO:0007283]; vasoconstriction [GO:0042310]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE&keywords=ACE	9.422505174314292	246	6933.79	82	1.099114667861902	245	0.015748031496062992	0.010978043912175646	0.0807522123893806	0.018705035971223017	0.0016835016835016834	0.023688663282571906	0.01813236627379873	0.022838499184339316	0.005549389567147615	0.014421151021498161	0.011744253428626542	285	224	242	0.020385558928211474	0.5117361705896015	0.8037091264042651	0.7156114350240926	337	210	230
ACE2	angiotensin converting enzyme 2	No		ENSG00000130234	Q9BYF1	Peptidase M2 family	2	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P01019, Q495A1, Q695T7, Q9ULZ1	AGT, APLN, SLC6A19, TIGIT	AGT [HPRD:10969042;HPRD:11815627;InnateDB:10969042;IntAct:10969042;IntAct:11815627;SIGNOR:11815627], APLN [SIGNOR:11815627], SLC6A19 [IntAct:32132184;IntAct:34189428], TIGIT [Cellinker:32589946]	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cilium [GO:0005929]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	carboxypeptidase activity [GO:0004180]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; metallocarboxypeptidase activity [GO:0004181]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]	angiotensin maturation [GO:0002003]; angiotensin-mediated drinking behavior [GO:0003051]; blood vessel diameter maintenance [GO:0097746]; maternal process involved in female pregnancy [GO:0060135]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of signaling receptor activity [GO:2000272]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of amino acid transport [GO:0051957]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of L-proline import across plasma membrane [GO:1905737]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of cardiac conduction [GO:1903779]; regulation of cell population proliferation [GO:0042127]; regulation of cytokine production [GO:0001817]; regulation of inflammatory response [GO:0050727]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of transmembrane transporter activity [GO:0022898]; regulation of vasoconstriction [GO:0019229]; tryptophan transport [GO:0015827]; viral entry into host cell [GO:0046718]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2&keywords=ACE2	2.8058621382022473	346	2124.37	130	1.0597124445836892	253	0	0	0	0.01726618705035971	0.003367003367003367	0	9.066183136899365e-4	0	0	2.3367605821872085e-4	1.9316206297083252e-4	303	401	396	0.001996967895658415	0.833543949352311	0.8530218757959823	0.8496448562356858	208	190	165
ADA2	adenosine deaminase 2	No		ENSG00000093072	Q9NZK5	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, ADGF subfamily	2	ligand	extracellular, intracellular, ligand, secreted	NA	NA	NA	azurophil granule lumen [GO:0035578]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	adenosine deaminase activity [GO:0004000]; adenosine receptor binding [GO:0031685]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; protein homodimerization activity [GO:0042803]; proteoglycan binding [GO:0043394]; zinc ion binding [GO:0008270]	adenosine catabolic process [GO:0006154]; inosine biosynthetic process [GO:0046103]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2&keywords=ADA2	38.47955101358123	109	NA	NA	3.161162433505948	105	0.06299212598425197	0.024950099800399184	0.00995575221238938	0.010791366906474817	0.013468013468013466	0.1455160744500844	0.10607434270172234	0.08646003262642751	0.13799482056973655	0.10128188009079893	0.06644774966196444	97	104	135	0.06963020531566028	1.858526170855314	1.3974832747155301	0.9600345667692262	38	63	113
ADAM12	ADAM metallopeptidase domain 12	No		ENSG00000148848	O43184	NA	1	adhesion, cell_surface_enzyme, cell_surface_ligand	adhesion, cell_adhesion, cell_surface, cell_surface_enzyme, cell_surface_ligand, ecm_regulator, intracellular, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane, transmembrane_predicted	P01133, P05556, P12931, P31431, P42336, Q13797	EGF, ITGA9, ITGB1, PIK3CA, SDC4, SRC	SDC4 [Adhesome:12509413;CellTalkDB:12509413;LRdb:12509413;SIGNOR:12509413;connectomeDB2020:12509413], SRC [Adhesome:11127814;HPRD:11127814], PIK3CA [Adhesome:11313349], ITGB1 [Adhesome:15242759;CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520], ITGA9 [CellTalkDB:10944520;LRdb:10944520;connectomeDB2020:10944520], EGF [HPRD:11786904]	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; SH3 domain binding [GO:0017124]	cell adhesion [GO:0007155]; myoblast fusion [GO:0007520]; positive regulation of angiogenesis [GO:0045766]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM12&keywords=ADAM12	3.2351247516853934	330	NA	NA	1.9748710179594415	158	0	0.11526946107784418	0.00663716814159292	0.1952038369304565	0.011784511784511783	0.023688663282571906	0.022665457842248413	0.011419249592169658	0.035516093229744694	0.008746161036186386	0.013675874058334826	196	250	236	0.04041877063415102	0.9027608697565999	0.3718091655231419	0.4695845170468721	182	352	338
ADAM17	ADAM metallopeptidase domain 17	No		ENSG00000151694	P78536	NA	1	adhesion, cell_surface_enzyme, cell_surface_ligand	adhesion, cell_adhesion, cell_surface, cell_surface_enzyme, cell_surface_ligand, ecm_regulator, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane, transmembrane_predicted	O14944, P01135, P01375, P05067, P05556, P07359, P08581, P08648, P08887, P15514, P15941, P46531, Q15303, Q6PJF5, Q99075	APP, AREG, ERBB4, EREG, GP1BA, HBEGF, IL6R, ITGA5, ITGB1, MET, MUC1, NOTCH1, RHBDF2, TGFA, TNF	AREG [SIGNOR:26284334], MUC1 [CellTalkDB:12441351;SIGNOR:12441351], NOTCH1 [ACSN:19601831;ACSN:19704010;ACSN:19726682;CellTalkDB:10882063;Cellinker:10882063;Cellinker:9620803;HPRD-phos:10882063;HPRD-phos:9620803;HPRD:10882063;HPRD:9620803;LRdb:10882063;LRdb:96;SIGNOR:10882063;connectomeDB2020:10882063;connectomeDB2020:9620803], EREG [SIGNOR:26284334], TGFA [HPRD:11823465;SIGNOR:26284334], TNF [HPRD-phos:10799478;HPRD-phos:12135369;HPRD:10799478;HPRD:12135369;SIGNOR:9034190], APP [SIGNOR:9774383], GP1BA [SIGNOR:25297919], HBEGF [ACSN:16054021;ACSN:18372913;SIGNOR:26284334], ITGB1 [CellTalkDB:14970227;IntAct:22413019;IntAct:30455686;LRdb:14970227;connectomeDB2020:14970227], RHBDF2 [CellTalkDB:28104813], IL6R [CellTalkDB:22575642;InnateDB:24790088], MET [CellTalkDB:22689693], ERBB4 [Baccin2019:15534001;CellTalkDB:26554003;HPRD:15534001;LRdb:15534001;ProtMapper:10744726;ProtMapper:15746097;ProtMapper:17486069;ProtMapper:9685416], ITGA5 [CellTalkDB:14970227;LRdb:14970227;connectomeDB2020:14970227]	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; interleukin-6 receptor binding [GO:0005138]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; Notch binding [GO:0005112]; PDZ domain binding [GO:0030165]; peptidase activity [GO:0008233]; SH3 domain binding [GO:0017124]	amyloid precursor protein catabolic process [GO:0042987]; B cell differentiation [GO:0030183]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell motility [GO:0048870]; cellular response to high density lipoprotein particle stimulus [GO:0071403]; defense response to Gram-positive bacterium [GO:0050830]; epidermal growth factor receptor signaling pathway [GO:0007173]; germinal center formation [GO:0002467]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neutrophil mediated immunity [GO:0002446]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular component movement [GO:0051272]; positive regulation of chemokine production [GO:0032722]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein processing [GO:0016485]; proteolysis [GO:0006508]; receptor transactivation [GO:0035624]; regulation of mast cell apoptotic process [GO:0033025]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to xenobiotic stimulus [GO:0009410]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; wound healing, spreading of epidermal cells [GO:0035313]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17&keywords=ADAM17	23.23813452735503	161	1738.32	137	2.207756680797452	142	0.13385826771653542	0.16217564870259557	0.1294247787610621	0.10863309352518088	0.12289562289562306	0.14382402707275788	0.13417951042611026	0.07504078303425782	0.09027007029226762	0.09206836693817623	0.06911338613096178	134	111	133	0.11468032322686623	0.8042172790153733	0.8186405384308664	0.6345298446733121	221	202	269
ADAM23	ADAM metallopeptidase domain 23	No		ENSG00000114948	O75077	NA	1	adhesion, cell_surface_enzyme, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_enzyme, cell_surface_ligand, ecm_regulator, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P05106, P08648, P13612	ITGA4, ITGA5, ITGB3	ITGA4 [connectomeDB2020:28913673], ITGA5 [LRdb:10749942;connectomeDB2020:10749942], ITGB3 [LRdb:10749942;connectomeDB2020:10749942]	extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]	integrin binding [GO:0005178]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	cell adhesion [GO:0007155]; cellular response to leukemia inhibitory factor [GO:1990830]; central nervous system development [GO:0007417]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM23&keywords=ADAM23	1.2523511258426967	427	NA	NA	0.17375036391390833	553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAM28	ADAM metallopeptidase domain 28	No		ENSG00000042980	Q9UKQ2	NA	1	adhesion, cell_surface_enzyme, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_enzyme, cell_surface_ligand, ecm_regulator, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P13612	ITGA4	ITGA4 [CellTalkDB:11724793;HPRD:11724793;LRdb:11724793;connectomeDB2020:11724793]	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	spermatogenesis [GO:0007283]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM28&keywords=ADAM28	5.493158071327743	286	NA	NA	1.9682842118517747	161	0.09448818897637795	0.011976047904191614	0	0	0.003367003367003367	0	0	0	0	0	0	303	409	401	0.009984658204324813	0.5003838393311092	0.5003838393311092	0.5003838393311092	341	321	327
ADAM9	ADAM metallopeptidase domain 9	No		ENSG00000282230, ENSG00000168615	Q13443	NA	1	adhesion, cell_surface_enzyme, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_enzyme, cell_surface_ligand, ecm_regulator, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	P05556, P06756, P18084, P21802, P23229, P26006	FGFR2, ITGA3, ITGA6, ITGAV, ITGB1, ITGB5	FGFR2 [SIGNOR:22632802], ITGA3 [CellTalkDB:15361064;HPRD:15361064;LRdb:15361064;connectomeDB2020:15361064], ITGAV [CellTalkDB:11162558;HPMR:11162558;HPRD:15361064;LRdb:11162558;LRdb:15;connectomeDB2020:11162558;connectomeDB2020:15361064], ITGB5 [CellTalkDB:11162558;HPMR:11162558;LRdb:11162558;connectomeDB2020:11162558], ITGB1 [CellTalkDB:10825303;LRdb:10825303;connectomeDB2020:10825303], ITGA6 [CellTalkDB:10825303;HPRD:15361064;LRdb:10825303;LRdb:15;connectomeDB2020:10825303;connectomeDB2020:15361064]	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]	collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]	amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM9&keywords=ADAM9	115.66810449647755	44	NA	NA	4.079109372291703	88	0.3307086614173226	0.8143712574850288	0.08296460176991159	0.28944844124700414	0.3265993265993263	0.15905245346869698	0.18585675430643647	0.12398042414355646	0.1387347391786897	0.0897983709440517	0.14019702530422382	96	114	89	0.24379200507856805	0.5860497423181039	0.39322897864003425	0.5918114924767877	304	347	287
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	No		ENSG00000156140	O15072	NA	1	ecm, ligand, receptor, secreted_enzyme	ecm, ecm_regulator, extracellular, intracellular, ligand, receptor, secreted, secreted_enzyme, secreted_peptidase	Q6UXH8	CCBE1	CCBE1 [CellTalkDB:27159393]	extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	endopeptidase activity [GO:0004175]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	collagen biosynthetic process [GO:0032964]; collagen catabolic process [GO:0030574]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; in utero embryonic development [GO:0001701]; positive regulation of vascular endothelial growth factor signaling pathway [GO:1900748]; protein processing [GO:0016485]; supramolecular fiber organization [GO:0097435]; vascular endothelial growth factor production [GO:0010573]	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS3&keywords=ADAMTS3	0.414652027266259	542	NA	NA	0.36605255778349655	435	0	4.99001996007984e-4	0.0022123893805309734	0.029016786570743396	0.0016835016835016834	0	0	0	0	0	1.1589723778249952e-4	303	409	398	0.003047961533506049	0.7664032404081554	0.7664032404081554	0.7752856422672415	235	228	202
